代码,名称,最高,每股收益,每股净资,调整后净资,每股公积,每股未分配,权益比,净益率%%,销售毛利率%%,今开,净利润率%%
002207,准油股份,--  ,-0.053㈡,2.41,0,0.92,0.39,57.96,         -2.19㈡,16.27,--  ,-9.48
002208,合肥城建,11.95,-0.060㈡,4.5,0,0.91,1.81,20.97,         -1.32㈡,31.69,10.9,-7.54
002209,达 意 隆,14.75,0.033㈡,3.36,0,1.14,1.06,42.59,          0.98㈡,27.19,13.43,1.62
002210,飞马国际,--  ,0.170㈡,1.43,1.43,0.01,0.25,5.28,         11.74㈡,0.66,--  ,0.58
002211,宏达新材,7.24,-0.059㈡,1.85,0,2.4,-1.62,66.94,         -3.19㈡,11.27,7.24,-7.55
002212,南洋股份,--  ,0.055㈡,3.47,0,1.07,1.25,57.61,          1.60㈡,13.69,--  ,3.06
002213,特 尔 佳,11.84,0.032㈡,1.69,0,0,0.58,79.62,          1.92㈡,39.7,10.26,7.39
002214,大立科技,--  ,0.041㈡,2.05,0,0.43,0.54,73.03,          2.00㈡,47.18,--  ,12.49
002215,诺 普 信,12.16,0.247㈡,1.9,0,0.06,0.74,63.56,         12.99㈡,40.18,10.46,15.58
002216,三全食品,9.5,0.077㈡,2.37,0,0.31,1.01,62.15,          3.23㈡,34.71,8.36,2.68
002217,合力泰,--  ,0.092㈡,1.76,0,0.38,0.35,48.71,          5.19㈡,16.53,--  ,5.6
002218,拓日新能,7.9,0.020㈡,4.16,0,3.11,0.03,64.62,          0.47㈡,33.2,7.27,5.26
002219,恒康医疗,--  ,0.130㈡,4.92,0,3.4,0.44,63.02,          2.18㈡,49.06,--  ,19.12
002220,天宝股份,8.14,0.166㈡,3.92,0,1.08,1.68,41.79,          4.24㈡,21.09,7.48,11.72
002221,东华能源,21.6,0.115㈡,4.16,0,2.55,0.46,20.75,          2.77㈡,2.83,19.18,1.08
002222,福晶科技,12.88,0.108㈡,2.16,0,0.74,0.28,90.6,          5.00㈡,56.05,11.45,28.71
002223,鱼跃医疗,29.87,0.431㈡,3.42,0,0.03,2.19,66.57,         12.58㈡,41.36,26,23.08
002224,三 力 士,--  ,0.150㈡,1.94,0,0.16,0.68,88.38,          7.75㈡,39.03,--  ,22.44
002225,濮耐股份,6.96,0.110㈡,2.91,0,1.09,0.74,50.9,          3.78㈡,30.17,6.35,6.61
002226,江南化工,9.6,0.064㈡,3.61,3.61,1.41,0.47,65.88,          1.76㈡,48.69,9.6,7.99
002227,奥 特 迅,20.65,-0.041㈡,3.39,0,1.31,0.82,76.81,         -1.20㈡,36.28,17.92,-6.38
002228,合兴包装,--  ,0.190㈡,4.08,0,1.83,1.18,53.05,          4.35㈡,20.77,--  ,4.76
002229,鸿博股份,12.99,-0.023㈡,2.87,0,1.12,0.63,61.95,         -0.79㈡,23.51,11.51,-2.14
002230,科大讯飞,27.07,0.111㈡,3.18,3.18,1.29,0.71,70.12,          3.71㈡,49.37,24.2,13.77
002231,奥维通信,12.1,-0.025㈡,1.79,0,0.43,0.29,71.19,         -1.41㈡,20.86,10.6,-9.26
002232,启明信息,11.33,0.004㈡,2.46,0,0.64,0.69,63.85,          0.17㈡,18.39,10,0.35
002233,塔牌集团,8.99,0.208㈡,4.66,0,1.2,2.22,77.38,          4.46㈡,23.24,8.2,10.09
002234,民和股份,9.5,-0.446㈡,3.5,0,2.85,-0.74,52.99,        -12.74㈡,-9.83,8.82,-30.11
002235,安妮股份,--  ,0.030㈡,1.84,0,0.87,-0.13,51.59,          1.65㈡,25.61,--  ,2.77
002236,大华股份,35.83,0.400㈡,4.76,4.76,1.19,2.53,66.18,          8.33㈡,38.16,33.3,13.37
002237,恒邦股份,8.9,0.128㈡,3.97,0,1.08,1.62,31.2,          3.23㈡,5.85,8.18,1.75
002238,天威视讯,--  ,0.272㈡,4.72,0,0.8,2.53,77.39,          5.75㈡,35.79,--  ,20.56
002239,奥特佳,--  ,0.130㈡,3.43,0,2.19,0.24,68.36,          2.30㈡,24.32,--  ,12.2
002240,威华股份,--  ,-0.013㈡,3.21,0,1.94,0.1,58.59,         -0.40㈡,12.04,--  ,-0.94
002241,歌尔声学,24.48,0.340㈡,5.72,0,1.37,2.79,51.64,          5.94㈡,25.98,22.74,9.57
002242,九阳股份,19.73,0.416㈡,3.85,0,1.21,1.16,63.48,         10.79㈡,31.97,17.26,10.08
002243,通产丽星,9.55,-0.034㈡,3.91,0,2.08,0.74,77.45,         -0.88㈡,15.14,8.42,-2.64
002244,滨江集团,7.06,0.192㈡,3.06,0,0.21,2.1,20.92,          6.26㈡,27.1,6.4,8.72
002245,澳洋顺昌,6.15,0.136㈡,1.55,0,0.06,0.45,60.25,          8.76㈡,22.26,5.78,17.64
002246,北化股份,9.7,0.053㈡,2.71,0,0.73,0.88,66.53,          1.97㈡,13.78,8.5,2.6
002247,帝龙新材,--  ,0.158㈡,3.84,0,1.64,1.16,79.74,          4.10㈡,23.5,--  ,10.21
002248,华东数控,--  ,-0.160㈡,3.36,0,2.39,-0.24,43.38,         -4.76㈡,4.1,--  ,-54.64
002249,大洋电机,11.65,0.086㈡,2.04,0,0.64,0.35,51.97,          4.22㈡,19.29,10.13,6.22
002250,联化科技,19.32,0.362㈡,4.75,0,1.08,2.48,66.02,          7.63㈡,37.72,18.19,15.72
002251,步 步 高,13.39,0.320㈡,6.35,0,3.83,1.27,42.72,          4.88㈡,22.15,12.21,3
002252,上海莱士,77.4,0.610㈡,7.23,0,5.02,1.11,92.39,          8.34㈡,61.5,72.28,101.83
002253,川大智胜,28.5,0.094㈡,5.9,0,3.18,1.39,77.44,          1.60㈡,42.94,24.75,15.91
002254,泰和新材,11.97,0.091㈡,3.16,0,0.55,1.3,76,          2.89㈡,20.02,11.05,7.17
002255,海陆重工,8.2,0.101㈡,3.08,0,0.67,1.27,52.26,          3.27㈡,21.41,7.21,7.88
002256,彩虹精化,--  ,0.106㈡,1.81,0,0.26,0.46,42.59,          5.84㈡,37.14,--  ,12.48
002258,利尔化学,17.95,0.437㈡,6.17,0,2.1,2.64,56.02,          7.09㈡,24.39,16.3,10.95
002259,升达林业,--  ,0.012㈡,1.32,0,0.14,0.15,44.2,          0.87㈡,23.92,--  ,3.28
002260,德奥通航,20.1,-0.073㈡,1.25,0,0.04,0.18,46.64,         -5.83㈡,14.99,17.02,-7.18
002261,拓维信息,24.4,0.277㈡,3.78,3.78,1.74,1.07,79.73,          7.35㈡,56.77,21,42.44
002262,恩华药业,25.32,0.302㈡,3.51,0,1.1,1.23,63.97,          8.60㈡,41.65,23.5,10.89
002263,大 东 南,8.34,0.005㈡,3.23,0,1.99,0.2,69.99,          0.16㈡,13.6,7.96,1.06
002264,新 华 都,6.43,-0.044㈡,1.94,0,0.6,0.2,29.94,         -2.27㈡,20.97,5.91,-0.71
002265,西仪股份,--  ,-0.036㈡,1.73,0,0.49,0.15,63.25,         -2.09㈡,6.73,--  ,-4.09
002266,浙富控股,8.83,0.014㈡,1.45,0,0.07,0.33,53.34,          1.00㈡,19.85,7.76,9.76
002267,陕天然气,12.08,0.330㈡,4.25,0,1.16,1.73,50.49,          7.75㈡,18.26,11,11.07
002268,卫 士 通,37.96,-0.015㈡,2.81,0,0.68,1.03,68.21,         -0.55㈡,39.74,33.51,-1.7
002269,美邦服饰,6.47,-0.038㈡,1.36,0,0.08,0.1,54.76,         -2.75㈡,45.7,5.91,-3.41
002270,法因数控,11.8,0.012㈡,3.09,0,1.15,0.79,80.11,          0.39㈡,30.59,10.4,2.31
002271,东方雨虹,17.42,0.350㈡,4.38,4.38,1.69,1.68,67.51,          7.79㈡,40.73,15.7,12.93
002272,川润股份,--  ,0.011㈡,2.92,0,1.52,0.35,66.8,          0.39㈡,18.95,--  ,1.27
002273,水晶光电,20.64,0.190㈡,3.25,0,1.02,1.2,72.11,          5.85㈡,32.08,17.81,15.46
002274,华昌化工,8.07,0.006㈡,4.35,4.35,1.24,0.39,30.89,          0.17㈡,10.8,7.13,0.17
002275,桂林三金,19.23,0.370㈡,3.7,0,1.15,1.06,86.15,          9.98㈡,73.88,17.7,35.92
002276,万马股份,16.89,0.115㈡,2.96,0,0.84,0.98,61.82,          3.89㈡,17.34,14.82,4.42
002277,友阿股份,11.51,0.442㈡,5.6,0,1.18,3.02,35.21,          7.89㈡,17.5,10.5,7.8
002278,神开股份,--  ,0.100㈡,3.28,0,1.32,0.81,66.28,          3.04㈡,38.73,--  ,10.55
002279,久其软件,30.49,0.037㈡,6.31,0,3.87,1.22,95.87,          0.58㈡,77.01,26.51,4.58
002280,联络互动,25,0.199㈡,1.32,0,-0.2,0.51,80.51,         15.10㈡,72.05,21.7,51.19
002281,光迅科技,33,0.546㈡,11.99,0,7.05,3.61,64.31,          4.55㈡,25.5,30.2,7.83
002282,博深工具,8.88,0.047㈡,2.34,0,0.91,0.4,76.4,          2.00㈡,31.73,8.15,6.45
002283,天润曲轴,12,0.146㈡,5.83,0,3.27,1.42,66.5,          2.51㈡,23.19,10.5,9.54
002284,亚太股份,9.55,0.140㈡,3.45,0,1.54,0.75,60.67,          4.07㈡,16.9,8.51,6
002285,世联行,12.2,0.130㈡,2.26,0,0.67,0.41,54.06,          5.00㈡,27.6,10.43,8.51
002286,保龄宝,--  ,0.079㈡,3.97,0,2.17,0.72,75.83,          1.98㈡,15,--  ,4.7
002287,奇正藏药,28.3,0.375㈡,3.69,0,1.01,1.39,84.61,         10.16㈡,78.92,25.3,33.78
002288,超华科技,7.07,0.024㈡,1.89,0,0.61,0.26,75.24,          1.27㈡,16.95,6.23,4.99
002289,宇顺电子,--  ,-0.139㈡,8.78,0,9.63,-1.93,39.18,         -1.59㈡,9.46,--  ,-1.75
002290,禾盛新材,17.97,0.106㈡,3.94,0,2.11,0.63,61.73,          2.68㈡,12.26,15.65,3.89
002291,星期六,8.05,0.070㈡,5.11,5.11,2.46,1.02,56.3,          1.46㈡,48.5,7.15,3.2
002292,奥飞动漫,24.83,0.202㈡,2.18,0,0.19,0.93,62.77,          9.27㈡,52.93,24.83,20.27
002293,罗莱家纺,14.35,0.262㈡,3.32,0,0.49,1.52,77.97,          7.89㈡,48.32,12.61,14.7
002294,信立泰,26.16,0.592㈡,3.77,0,0.17,2.28,86.78,         15.71㈡,74.31,23.99,37.34
002295,精艺股份,16.85,0.011㈡,4.22,0,2.37,0.73,81.81,          0.27㈡,3.77,16.85,0.19
002296,辉煌科技,14.58,0.082㈡,3.74,0,1.69,0.92,69.89,          2.20㈡,47.32,12.83,16.84
002297,博云新材,10.8,-0.073㈡,2.77,0,1.62,0.1,62.99,         -2.63㈡,21.03,9.31,-18.44
002298,鑫龙电器,12.15,0.020㈡,3.2,3.2,0.9,0.5,59.63,          0.67㈡,39.69,10.81,3.51
002299,圣农发展,15.72,-0.360㈡,4.74,0,3.56,0.04,48.09,         -6.71㈡,-1.84,14.3,-11.07
002300,太阳电缆,8.7,0.200㈡,2.9,0,0.77,0.78,39.8,          6.88㈡,12.98,7.93,5.34
002301,齐心集团,--  ,-0.053㈡,2.95,0,1.01,0.83,51.06,         -1.80㈡,19.35,--  ,-3.13
002302,西部建设,15.98,0.098㈡,7.2,0,3.04,2.98,32.92,          1.36㈡,11.09,14,1.15
002303,美盈森,--  ,0.101㈡,1.64,0,0.36,0.72,73.78,          6.19㈡,33.28,--  ,16.24
002304,洋河股份,58.4,2.113㈡,13.77,0,0.49,11.92,68.14,         15.34㈡,60.69,55.5,33.27
002305,南国置业,5,-0.082㈡,1.91,0,0.01,0.81,20.66,         -4.29㈡,45.05,4.69,-19.75
002306,*ST云网,--  ,-0.130㈡,-0.24,0,0.27,-1.55,-21.92,--  ,58.61,--  ,-53.73
002307,北新路桥,10.75,0.027㈡,2.31,0,0.6,0.6,11.84,          1.17㈡,18.76,9.44,0.99
002308,威创股份,--  ,0.022㈡,2.47,0,0.69,0.6,86.88,          0.87㈡,47.53,--  ,5.23
002309,中利科技,14,-0.362㈡,6.98,0,4.04,1.73,24.09,         -5.19㈡,17.93,12.9,-6.21
002310,东方园林,--  ,0.156㈡,5.74,0,1.7,2.75,42.84,          2.72㈡,33.79,--  ,7.04
002311,海大集团,12.2,0.187㈡,3,0,0.92,1.02,51.48,          6.24㈡,10.74,11,2.98
002312,三泰控股,17.13,-0.119㈡,1.96,0,0.62,0.26,52.53,         -6.08㈡,26.27,14.54,-21.93
002313,日海通讯,--  ,-0.097㈡,6.09,0,3.68,1.23,42.37,         -1.59㈡,24.25,--  ,-2.46
002314,雅致股份,9.2,-0.070㈡,2.4,2.4,1.06,0.13,38.25,         -2.85㈡,17.77,8.26,-9.9
002315,焦点科技,58.3,0.930㈡,16.73,0,9.83,3.26,84.32,          5.56㈡,62.7,50.02,47.34
002316,键桥通讯,--  ,0.043㈡,2.15,0,0.61,0.48,41.45,          2.01㈡,24.41,--  ,6.16
002317,众生药业,11.5,0.202㈡,2.65,0,1.12,0.89,60.64,          7.61㈡,62.27,10.4,19.78
002318,久立特材,29.61,0.219㈡,7.17,0,3.49,2.4,63.63,          3.06㈡,20.09,26.61,5.66
002319,乐通股份,12.56,0.011㈡,2.8,0,0.96,0.64,51.73,          0.40㈡,28.01,11.25,0.97
002320,海峡股份,--  ,0.237㈡,4.82,0,2.39,1.13,89.44,          4.92㈡,40.98,--  ,24.82
002321,华英农业,7.77,0.049㈡,3.48,0,2.08,0.31,32.67,          1.42㈡,14.3,7.4,2.27
002322,理工监测,13.6,0.010㈡,4.18,4.18,1.67,1.42,95.5,          0.24㈡,59.27,12.02,4.15
002323,雅百特,26.91,0.050㈡,7.98,7.98,2.25,0.62,88.64,          0.60㈡,15.19,23.33,3.55
002324,普利特,18.2,0.584㈡,6.43,0,2.14,2.97,59.64,          9.08㈡,23.9,16.5,11.76
002325,洪涛股份,--  ,0.152㈡,3.02,0,1.14,1.02,47.92,          5.04㈡,21.09,--  ,9.59
002326,永太科技,13.5,0.139㈡,2.24,0,0.71,0.49,50.02,          6.18㈡,28.38,11.75,15.29
002327,富安娜,9.56,0.212㈡,2.68,0,0.12,1.51,81.79,          7.92㈡,52.04,8.8,21.2
002328,新朋股份,8.48,0.120㈡,4.95,0,2.71,1.13,56.68,          2.43㈡,11.35,7.5,2.58
002329,皇氏集团,27.19,0.194㈡,5.48,0,3.49,0.94,67.76,          3.55㈡,33.24,24.27,8.45
002330,得利斯,10.05,0.049㈡,2.61,0,0.96,0.6,81.33,          1.88㈡,17.62,8.72,3.14
002331,皖通科技,15.28,0.080㈡,4.05,0,2.06,0.89,72.78,          1.98㈡,23.22,13.03,8.1
002332,仙琚制药,10.78,0.083㈡,2.35,0,0.8,0.35,42.67,          3.52㈡,43.95,9.9,3.59
002333,罗普斯金,14.79,0.389㈡,5.42,0,2.81,1.38,83.43,          7.18㈡,8.14,13.88,19.14
002334,英威腾,7.88,0.087㈡,2.05,0,0.25,0.72,80.08,          4.22㈡,42.77,7.13,12.94
002335,科华恒盛,20,0.073㈡,5.06,0,1.88,1.98,50.17,          1.45㈡,35.82,17.81,3.2
002336,人人乐,11.33,0.113㈡,6.92,0,6.19,-0.52,42.7,          1.64㈡,23.87,10.4,0.77
002337,赛象科技,7.42,-0.040㈡,2.14,0,0.74,0.31,74.18,         -1.86㈡,28.04,6.96,-12.86
002338,奥普光电,43.65,0.263㈡,6.19,0,3.05,1.79,76.85,          4.25㈡,47.92,38.9,20.7
002339,积成电子,17.1,0.052㈡,3.56,0,1.21,1.2,67.63,          1.45㈡,40.09,14.71,4.8
002340,格林美,9.91,0.110㈡,3.63,0,1.99,0.62,34.33,          3.03㈡,18.35,9.1,5.86
002341,新纶科技,10.02,0.061㈡,4.2,0,2.1,1,43.71,          1.46㈡,30.92,8.8,4.12
002342,巨力索具,6.04,0.031㈡,2.51,0,0.7,0.69,59.83,          1.25㈡,23.59,5.5,4.19
002343,禾欣股份,--  ,0.249㈡,6.31,0,3.23,1.55,67.99,          3.95㈡,23.13,--  ,5.82
002344,海宁皮城,13.68,0.458㈡,4.42,0,0.39,2.79,52.27,         10.36㈡,73.91,12.42,42.31
002345,潮宏基,--  ,0.167㈡,2.91,0,1.07,0.72,56.29,          5.73㈡,36.33,--  ,10.11
002346,柘中股份,13.67,0.219㈡,3.47,0,1,1.33,76.23,          6.33㈡,30.15,12,47.12
002347,泰尔重工,--  ,0.036㈡,5.37,0,3.32,0.91,69.49,          0.67㈡,35.06,--  ,4.4
002348,高乐股份,--  ,0.064㈡,2.51,0,0.92,0.49,97.69,          2.54㈡,30.31,--  ,13.16
002349,精华制药,23.5,0.121㈡,5.34,0,3.45,0.77,77.81,          2.26㈡,44.49,20.89,10.72
002350,北京科锐,17.25,0.057㈡,4.85,0,2.26,1.3,63.43,          1.17㈡,23.02,14.92,2.36
002351,漫步者,17.81,0.182㈡,5.66,0,3.44,1.08,93.59,          3.22㈡,31.06,15.99,17.21
002352,鼎泰新材,19.98,0.119㈡,6.27,0,4.97,0.39,81.24,          1.89㈡,13.39,17.56,3.88
002353,杰瑞股份,--  ,0.106㈡,8.1,8.1,3.93,3.07,67.3,          1.30㈡,31.66,--  ,8.26
002354,天神娱乐,71.77,0.640㈡,3.5,0,-0.96,2.68,57.37,         18.28㈡,74.06,66.8,44.7
002355,兴民钢圈,7.26,0.029㈡,3.82,0,1.91,0.8,64.84,          0.76㈡,13.34,6.08,2.53
002356,浩宁达,16.8,0.186㈡,4.84,0,3.17,0.6,59.06,          3.83㈡,35.31,15.86,11.13
002357,富临运业,16.65,0.369㈡,4.11,0,0.88,2.02,57.75,          8.97㈡,37.25,14.79,23.48
002358,森源电气,--  ,0.118㈡,2.62,0,0.53,0.96,49.59,          4.50㈡,33.81,--  ,13.51
002359,齐星铁塔,17.9,0.002㈡,2.23,0,1.09,0.08,67.15,          0.10㈡,19.98,15.68,0.27
002360,同德化工,8.04,0.114㈡,2.4,0,0.16,1.05,70.2,          4.76㈡,45.91,7.3,14.78
002361,神剑股份,--  ,0.136㈡,3.23,0,1.41,0.72,65.15,          4.21㈡,21.25,--  ,9.29
002362,汉王科技,16.5,0.002㈡,3.43,0,4.56,-2.24,85.1,          0.07㈡,50.32,14.6,0.28
002363,隆基机械,13.99,0.125㈡,4.45,0,2.38,0.97,55.39,          2.80㈡,17.57,12.2,5.21
002364,中恒电气,16.5,0.124㈡,2.01,0,0.05,0.88,81.64,          6.16㈡,41.88,14.85,20.22
002365,永安药业,12.94,0.066㈡,5.93,0,3.23,1.39,92.67,          1.11㈡,17.27,11.85,4.09
002366,丹甫股份,51.02,0.090㈡,5.58,5.58,1.09,0.24,80.04,          1.54㈡,15.32,42.3,4.26
002367,康力电梯,23.08,0.271㈡,2.77,0,0.47,1.16,55.64,          9.78㈡,35.04,23.08,13.63
002368,太极股份,--  ,0.060㈡,4.81,0,2.29,1.35,47.3,          0.82㈡,16.82,--  ,1
002369,卓翼科技,--  ,-0.049㈡,2.8,0,1.31,0.38,47.57,         -1.74㈡,4.8,--  ,-1.33
002370,亚太药业,--  ,0.155㈡,3.73,0,1.68,0.85,84.75,          4.15㈡,45.85,--  ,15.81
002371,七星电子,21.39,0.057㈡,5.26,0,2.38,1.72,45.24,          1.08㈡,46.49,19.25,6.29
002372,伟星新材,15.3,0.329㈡,3.63,0,1.58,0.82,80.86,          9.07㈡,42.69,13.6,17.06
002373,千方科技,24.6,0.217㈡,2.01,0,-0.27,1.23,43.94,         10.79㈡,28.33,21.93,15.15
002374,丽鹏股份,11.88,0.154㈡,5.82,0,4.12,0.65,61.12,          2.64㈡,21.82,10.63,8.18
002375,亚厦股份,14.25,0.361㈡,5.11,0,1.36,2.57,36.75,          7.07㈡,18.19,12.7,9.07
002376,新北洋,11.06,0.102㈡,3.04,0,0.53,1.25,63.18,          3.35㈡,46.27,10.08,13.06
002377,国创高新,6.42,0.010㈡,1.72,0,0.41,0.3,36.74,          0.59㈡,11.97,5.77,0.96
002378,章源钨业,8.88,-0.031㈡,2.2,0,0.62,0.41,63.87,         -1.39㈡,9.96,8,-3.89
002379,鲁丰环保,4.29,-0.070㈡,1.34,0,0.61,-0.28,29.07,         -5.20㈡,3.36,4,-7.26
002380,科远股份,35,0.243㈡,9.35,0,6.05,1.99,82.38,          2.60㈡,45.88,29.69,14.85
002381,双箭股份,9.18,0.149㈡,3.25,0,0.81,1.26,75.29,          4.58㈡,28.27,8.1,11.35
002382,蓝帆医疗,19.38,0.340㈡,4.38,0,2.05,1.24,74.24,          7.58㈡,24.58,17.3,10.87
002383,合众思壮,29.87,0.019㈡,8.76,0,6.54,1,75.91,          0.22㈡,44.9,26.37,1.23
002384,东山精密,--  ,0.063㈡,3.19,0,1.94,0.23,43.63,          1.98㈡,16.23,--  ,2.92
002385,大北农,12.34,0.083㈡,2.37,0,0.21,1.08,56.52,          3.48㈡,23.04,11.2,2.81
002386,天原集团,5.69,-0.126㈡,5.82,0,2.76,1.7,27.25,         -2.16㈡,9.58,5.25,-3.11
002387,黑牛食品,9.93,-0.160㈡,2.76,0,1.16,0.56,64.26,         -5.80㈡,25.6,8.5,-29.92
002388,新亚制程,6.73,0.004㈡,1.41,0,0.7,0.18,69.63,          0.25㈡,18.09,6.2,0.57
002389,南洋科技,11.75,0.076㈡,3.71,0,2.09,0.57,71.72,          2.05㈡,32.74,10.9,10.77
002390,信邦制药,10.63,0.065㈡,1.96,0,0.59,0.33,40.48,          3.32㈡,20.93,9.8,4.56
002391,长青股份,13.19,0.390㈡,7.73,0,4.58,1.85,86.52,          4.70㈡,28.66,12.28,13.9
002392,北京利尔,--  ,0.081㈡,2.5,0,0.83,0.62,69.75,          3.23㈡,33.63,--  ,10.42
002393,力生制药,32.2,0.584㈡,16.22,0,9.28,4.1,88.98,          3.60㈡,59.28,29.75,22.97
002394,联发股份,12,0.362㈡,8.27,0,3.33,3.55,60.48,          4.38㈡,19.74,11.3,6.85
002395,双象股份,16.48,0.035㈡,4.41,0,2.36,0.89,66.05,          0.79㈡,8.71,14.22,1.34
002396,星网锐捷,16.32,0.040㈡,4.05,4.05,1.15,1.66,61.6,          1.01㈡,41.91,14.11,1.62
002397,梦洁家纺,7.87,0.084㈡,1.92,0,0.35,0.46,72.67,          4.38㈡,47.17,7.08,9.39
002398,建研集团,12.1,0.319㈡,5.56,0,1.68,2.8,76.9,          5.74㈡,38.75,11.1,16.85
002399,海普瑞,--  ,0.344㈡,10.48,0,6.6,1.75,82.39,          3.28㈡,35.67,--  ,22.86
002400,省广股份,--  ,0.219㈡,2.47,0,0.2,1.17,36.95,          8.84㈡,16.14,--  ,5.14
002401,中海科技,--  ,0.102㈡,2.26,0,0.28,0.85,62.5,          4.51㈡,22.22,--  ,10.98
002402,和而泰,13.5,0.103㈡,2.88,0,1.32,0.48,72.72,          3.59㈡,20.7,11.82,6.83
002403,爱仕达,13.81,0.240㈡,6.92,0,4.39,1.36,60.75,          3.47㈡,39.46,12.78,5.76
002404,嘉欣丝绸,6.29,0.070㈡,2.39,0,0.62,0.59,60.18,          2.95㈡,19.23,5.8,3.71
002405,四维图新,24.26,0.103㈡,3.6,0,1.42,1.05,76.31,          2.86㈡,75.61,21.11,10.53
002406,远东传动,7.38,0.114㈡,3.84,0,1.59,1.1,87.93,          2.96㈡,32.5,6.66,13.25
002407,多氟多,24.49,0.041㈡,6.23,0,4.05,1.01,44.62,          0.66㈡,16.26,20.15,0.97
002408,齐翔腾达,10.99,0.230㈡,6.38,6.38,3.22,1.7,67.34,          2.63㈡,13.89,10.03,5.99
002409,雅克科技,--  ,0.233㈡,7.79,0,4.52,2.06,78.67,          2.99㈡,23.77,--  ,7.46
002410,广联达,--  ,0.049㈡,2.27,0,0.41,0.73,95.06,          2.16㈡,96.72,--  ,10.62
002411,九九久,10.26,0.015㈡,2.43,0,0.71,0.64,50.72,          0.62㈡,20.47,9.45,1.16
002412,汉森制药,--  ,0.182㈡,3.96,0,1.49,1.3,85.41,          4.60㈡,69.73,--  ,15.16
002413,常发股份,--  ,0.140㈡,6.35,0,4,1.21,77.57,          1.58㈡,12.09,--  ,2.94
002414,高德红外,--  ,0.061㈡,4.1,0,2.48,0.53,95.49,          1.49㈡,47.97,--  ,13.82
002415,海康威视,--  ,0.550㈡,3.81,0,0.38,2.23,66.78,         14.24㈡,42.94,--  ,22.52
002416,爱施德,8.55,0.080㈡,4.4,0,1.52,1.66,41.96,          1.82㈡,3.17,7.81,0.35
002417,*ST元达,12.52,-0.243㈡,1.3,0,1.51,-1.31,38.69,        -18.61㈡,15.96,12.23,-44.27
002418,康盛股份,--  ,0.050㈡,5.6,0,3.66,0.81,66.79,          0.78㈡,13.48,--  ,1.68
002419,天虹商场,10.99,0.263㈡,5.64,0,2.14,2,42.45,          4.66㈡,23.3,10,2.37
002420,毅昌股份,7.12,0.028㈡,4.01,0,2.01,0.92,42.17,          0.69㈡,12.5,6.55,0.74
002421,达实智能,--  ,0.076㈡,3.01,0,1.35,0.61,62.18,          2.54㈡,27.47,--  ,7.17
002422,科伦药业,16.42,0.284㈡,7.69,0,3.08,3.81,51.36,          3.69㈡,41.06,14.86,10.67
002423,中原特钢,9.7,-0.048㈡,4,0,2.12,0.79,58.59,         -1.20㈡,11.03,8.86,-4.23
002424,贵州百灵,56.12,0.382㈡,5.12,0,2.29,1.57,68.21,          7.46㈡,59.33,50.3,22.09
002425,凯撒股份,--  ,0.037㈡,4.41,0,2.78,0.52,67.11,          0.83㈡,34.78,--  ,5.59
002426,胜利精密,--  ,0.098㈡,3.06,0,1.44,0.56,55.48,          3.19㈡,14.33,--  ,6.71
002427,尤夫股份,10.97,0.200㈡,5.22,0,3.37,0.75,59.79,          3.13㈡,18.17,9.22,6.34
002428,云南锗业,10.71,0.086㈡,2.43,0,0.5,0.81,73.39,          3.54㈡,39.29,9.8,21.6
002429,兆驰股份,8.41,0.168㈡,2.94,0,0.31,1.5,55.84,          5.72㈡,11.82,7.57,10.21
002430,杭氧股份,8.09,0.074㈡,4.32,0,1.06,1.89,36.7,          1.71㈡,16.97,7.13,2.1
002431,棕榈园林,--  ,0.250㈡,8.15,8.15,4.21,2.67,41.37,          2.86㈡,21.46,--  ,6.02
002432,九安医疗,13.9,-0.107㈡,1.91,0,0.81,0.06,74.87,         -5.61㈡,29.28,12.47,-20.53
002433,太安堂,11.15,0.103㈡,5.22,0,3.39,0.77,84.01,          1.97㈡,30.46,10,8.38
002434,万里扬,12.36,0.246㈡,4.37,0,1.78,1.43,52.11,          5.63㈡,32.95,11.71,16.14
002435,长江润发,--  ,0.089㈡,4.32,0,2.15,1.03,58.71,          2.07㈡,13.28,--  ,3.41
002436,兴森科技,--  ,0.101㈡,4.23,0,2.02,1.08,63.88,          2.39㈡,29.1,--  ,4.98
002437,誉衡药业,23.75,0.442㈡,4.47,0,1.74,1.6,44.4,          9.89㈡,63.76,21.75,25.6
002438,江苏神通,--  ,0.083㈡,4.54,0,1.96,1.4,73.44,          1.82㈡,35.3,--  ,8.57
002439,启明星辰,19.71,0.021㈡,1.8,0,0.26,0.51,66.72,          1.18㈡,72.88,17,3.7
002440,闰土股份,15.81,0.782㈡,7.68,0,2.04,4.27,71.41,         10.19㈡,42.93,14.8,24.63
002441,众业达,13.45,0.248㈡,4.9,0,2.01,1.7,56.76,          5.07㈡,12.9,12.47,3.71
002442,龙星化工,8.28,-0.038㈡,2.33,0,0.86,0.4,38.46,         -1.64㈡,13.4,7.21,-2.04
002443,金洲管道,--  ,0.105㈡,3.72,0,1.49,1.1,77.58,          2.81㈡,11.7,--  ,4.04
002444,巨星科技,13.2,0.200㈡,3.83,0,0.95,1.45,71.13,          5.22㈡,24.68,11.9,15.71
002445,中南重工,--  ,0.070㈡,2.67,0,1.65,0.47,55.52,          2.62㈡,32.62,--  ,12.17
