代码	名称	涨幅%%	涨跌	最高%%	现价	开盘%%	现量	投资收益	市现率	市净率	市盈(动)	每股未分配	每股未分配	昨收	资产负债率%%	人均持股	净利润率%%	细分行业	流通股本(万)	地区	振幅%%	
000739	普洛药业	1.90	0.12	8.57	6.42	-0.48	3096	-110.16	55.30	          3.02	    27.71	          0.88	          0.88	6.30	54.26	          8936	          6.07	化学制药	      75394.20	浙江	12.70	
000748	长城信息	--  	--  	--  	34.88	--  	0	2169.70	-86.37	          8.76	   354.42	          0.57	          0.57	34.88	32.01	         28723	          4.42	电脑设备	      75112.43	湖南	0.00	
000750	国海证券	-1.12	-0.11	0.51	9.75	-5.07	43560	24689.90	3.08	          2.99	    12.44	          0.54	          0.54	9.86	86.97	         20239	         43.71	证券	     231035.91	广西	7.00	
000751	锌业股份	-4.86	-0.26	3.36	5.09	-6.17	9659	0.00	-147.13	          3.62	    75.49	         -0.79	         -0.79	5.35	38.85	          6760	          2.28	铅锌	     140984.13	辽宁	9.53	
000752	西藏发展	-9.96	-1.28	2.88	11.57	-9.96	1314	-599.87	57.95	          3.88	   131.92	          1.70	          1.70	12.85	12.72	          6325	          5.87	啤酒	      26375.09	西藏	12.84	
000753	漳州发展	--  	--  	--  	6.43	--  	0	-18.93	-119.78	          3.97	--  	          0.31	          0.31	6.43	56.84	          9334	         -2.08	汽车服务	      69902.88	福建	0.00	
000755	山西三维	-9.95	-0.96	-0.10	8.69	-9.43	465	0.00	-245.35	          2.75	--  	         -0.53	         -0.53	9.65	74.22	          7878	         -8.80	化工原料	      46925.58	山西	9.84	
000756	新华制药	--  	--  	--  	12.13	--  	0	270.63	75.71	          3.02	   107.26	          1.08	          1.08	12.13	56.77	          8350	          1.33	化学制药	      30731.27	山东	0.00	
000757	浩物股份	-1.71	-0.14	5.36	8.07	-4.99	2015	119.19	-847.44	          6.64	   100.55	         -1.78	         -1.78	8.21	35.74	         12400	          7.41	汽车配件	      31280.26	四川	12.42	
000758	中色股份	0.36	0.05	3.79	14.02	-8.38	6057	6780.17	-90.87	          2.94	    35.45	          1.58	          1.58	13.97	68.17	          9646	          2.26	铅锌	      90156.15	北京	12.31	
000759	中百集团	-4.24	-0.28	2.88	6.32	-2.27	686	313.92	19.45	          1.44	    99.04	          1.38	          1.38	6.60	65.90	         21339	          0.25	超市连锁	      68067.20	湖北	8.48	
000760	斯太尔	--  	--  	--  	7.52	--  	0	1376.62	-112.80	          3.80	--  	         -0.13	         -0.13	7.52	9.88	         12503	        -19.07	汽车配件	      33159.32	江苏	0.00	
000761	本钢板材	-1.02	-0.05	1.63	4.86	-2.24	2270	658.42	-6.50	          0.99	    59.53	          0.68	          0.68	4.91	65.21	         39295	          0.78	钢加工	     273594.34	辽宁	7.33	
000762	西藏矿业	-9.84	-1.08	3.37	9.90	-8.93	7317	-195.50	119.58	          2.89	   208.64	         -0.16	         -0.16	10.98	23.75	         11231	          2.70	小金属	      47595.44	西藏	13.21	
000766	通化金马	-10.00	-0.83	-1.33	7.47	-10.00	1128	2477.54	-45.15	          3.43	   254.59	         -1.40	         -1.40	8.30	28.74	         10921	          9.22	中成药	      44901.44	吉林	8.67	
000767	漳泽电力	-6.59	-0.38	2.25	5.39	-6.41	11487	4355.56	10.46	          2.10	    14.55	          0.51	          0.51	5.77	78.71	          7453	          9.17	火力发电	     157371.63	山西	10.57	
000768	中航飞机	-10.00	-2.58	1.90	23.23	-9.26	3480	387.04	-23.47	          5.20	--  	          0.26	          0.26	25.81	63.71	         15019	         -1.29	航空	     247760.17	陕西	11.89	
000776	广发证券	1.44	0.20	2.74	14.09	-5.33	108842	610333.50	1.92	          1.48	     6.39	          2.78	          2.78	13.89	85.57	         35596	         42.64	证券	     591929.13	广东	8.42	
000777	中核科技	-7.45	-1.61	4.53	20.01	-9.20	3663	1458.40	-139.86	          7.05	   109.74	          0.94	          0.94	21.62	38.10	          3849	          6.70	机械基件	      38336.03	江苏	13.74	
000778	新兴铸管	--  	--  	--  	12.92	--  	0	68765.96	338.27	          2.78	    67.45	          1.35	          1.35	12.92	64.87	         16150	          1.30	钢加工	     364181.09	河北	0.00	
000779	三毛派神	-4.38	-0.58	4.84	12.65	-8.39	332	0.00	-477.99	          8.82	--  	         -1.48	         -1.48	13.23	60.95	         13571	        -18.38	纺织	      18644.09	甘肃	14.44	
000780	平庄能源	-4.81	-0.24	2.00	4.75	-4.21	3514	0.00	-4541.81	          1.03	--  	          1.52	          1.52	4.99	23.27	         15950	         -5.32	煤炭开采	     101430.63	内蒙	8.42	
000782	美达股份	--  	--  	--  	28.33	--  	0	8618.91	-297.09	         11.42	    77.82	          0.18	          0.18	28.33	46.23	         14511	          6.62	化纤	      40450.87	广东	0.00	
000783	长江证券	4.04	0.39	6.11	10.05	-5.28	64946	25526.11	2.32	          3.00	     9.73	          1.03	          1.03	9.66	88.08	         16430	         50.40	证券	     474236.72	湖北	12.84	
000785	武汉中商	-5.73	-0.47	3.66	7.73	-6.10	936	406.17	125.62	          2.30	    41.13	          1.22	          1.22	8.20	64.66	         14768	          1.05	百货	      25109.36	湖北	10.00	
000786	北新建材	--  	--  	--  	18.58	--  	0	2368.38	51.03	          3.60	    34.33	          2.60	          2.60	18.58	39.16	         32548	         10.52	其他建材	     115030.00	北京	0.00	
000788	北大医药	-3.94	-0.40	3.44	9.76	-4.53	2484	-231.30	51.13	          5.89	--  	          0.25	          0.25	10.16	77.06	         18515	        -13.10	化学制药	      55877.44	重庆	11.61	
000789	万年青	-2.44	-0.15	4.39	6.00	-2.76	4592	1032.81	26.07	          1.48	    18.81	          2.43	          2.43	6.15	52.89	         12825	          3.85	水泥	      61334.98	江西	11.87	
000790	华神集团	-10.00	-1.13	-3.10	10.17	-10.00	158	-0.07	-79.33	          7.01	   514.65	          0.18	          0.18	11.30	39.01	         10252	          1.74	中成药	      42839.98	四川	6.90	
000791	甘肃电投	-6.94	-0.69	5.73	9.25	-9.96	3216	2885.66	18.16	          1.89	--  	          0.96	          0.96	9.94	72.51	          6017	        -12.22	水力发电	      11477.80	甘肃	15.69	
000792	盐湖股份	5.57	1.03	6.38	19.52	-3.73	16696	2051.36	-42.98	          1.74	    43.00	          5.35	          5.35	18.49	73.63	         27553	          8.36	农药化肥	     156637.67	青海	11.30	
000793	华闻传媒	-9.99	-1.68	-9.99	15.13	-9.99	114210	3931.60	136.37	          3.78	    38.26	          1.13	          1.13	16.81	26.87	         21202	         19.53	出版业	     167404.48	海南	0.00	
000795	太原刚玉	--  	--  	--  	11.99	--  	0	0.00	-26.07	          5.65	--  	         -1.19	         -1.19	11.99	43.60	          7010	        -15.12	矿物制品	      27680.00	山西	0.00	
000796	易食股份	-4.21	-0.77	8.76	17.50	-6.95	1301	367.75	228.92	          7.74	   148.93	         -0.30	         -0.30	18.27	49.51	          7416	          4.76	食品	      24652.30	陕西	18.23	
000797	中国武夷	-9.28	-1.57	2.25	15.35	-9.99	1323	5159.10	67.06	          5.30	    41.77	          1.41	          1.41	16.92	84.72	         13690	          7.14	全国地产	      33436.17	福建	12.23	
000798	中水渔业	-6.60	-0.59	2.46	8.35	-8.05	1009	1965.09	-34.19	          3.15	    67.63	          0.51	          0.51	8.94	21.76	         18441	          7.97	渔业	      31944.91	北京	10.74	
000799	*ST酒鬼	--  	--  	--  	20.77	--  	0	183.19	61.44	          3.95	    85.44	          0.08	          0.08	20.77	19.16	          4273	         12.88	白酒	      22420.16	湖南	0.00	
000800	一汽轿车	-9.90	-1.56	1.46	14.20	-9.77	4762	9086.98	234.63	          2.60	    70.37	          2.32	          2.32	15.76	53.28	         16722	          1.19	汽车整车	     141175.41	吉林	11.48	
000801	四川九洲	-10.00	-2.07	3.33	18.63	-10.00	1056	0.00	-89.26	          4.63	    69.88	          1.38	          1.38	20.70	49.43	         22767	          5.42	通信设备	      45988.44	四川	13.33	
000802	北京文化	-9.98	-1.91	1.67	17.22	-8.52	571	423.55	78.68	          7.27	   995.34	          0.24	          0.24	19.13	36.81	         18505	          3.88	旅游服务	      37478.60	北京	11.66	
000803	金宇车城	0.71	0.10	2.13	14.20	-8.51	5121	0.03	-140.67	         12.60	--  	         -0.22	         -0.22	14.10	68.44	         12119	        -15.63	纺织	       9769.28	四川	10.78	
000806	银河投资	--  	--  	--  	26.90	--  	0	10315.57	-369.71	         14.64	   147.45	         -0.21	         -0.21	26.90	19.61	         11521	         27.61	电气设备	      59533.21	广西	0.00	
000807	云铝股份	-4.91	-0.23	1.50	4.45	-4.70	2735	3034.76	26.67	          1.50	--  	         -0.18	         -0.18	4.68	76.09	         11913	         -1.00	铝	     153908.25	云南	8.97	
000809	铁岭新城	-2.33	-0.15	3.58	6.28	-4.20	2148	0.88	-48.06	          1.01	--  	          4.83	          4.83	6.43	44.60	         12987	       -354.71	区域地产	      54986.08	辽宁	8.71	
000810	创维数字	-10.02	-1.37	1.32	12.30	-10.02	304	282.66	-52.64	          6.02	    40.85	          1.04	          1.04	13.67	46.54	         17762	          9.57	元器件	      25933.14	四川	11.34	
000811	烟台冰轮	-3.33	-0.34	4.21	9.88	-7.05	5082	23307.88	-108.94	          2.39	    10.21	          2.07	          2.07	10.22	38.30	         12099	         23.04	工程机械	      39458.87	山东	11.25	
000812	陕西金叶	--  	--  	--  	19.05	--  	0	0.00	1140.56	          9.75	   196.45	          0.71	          0.71	19.05	38.84	         10998	          8.34	广告包装	      44626.89	陕西	0.00	
000813	天山纺织	--  	--  	--  	11.25	--  	0	0.00	281.99	          4.95	   470.72	         -1.12	         -1.12	11.25	30.47	         17533	          2.32	纺织	      36345.07	新疆	0.00	
000815	*ST美利	-5.00	-0.85	-0.65	16.16	-5.00	19	0.00	1755.83	        -16.09	--  	         -3.34	         -3.34	17.01	121.73	         11536	        -50.47	造纸	      31677.99	宁夏	4.35	
000816	智慧农业	-3.47	-0.20	6.59	5.57	-5.55	7865	1008.00	-107.49	          2.33	   138.50	          0.41	          0.41	5.77	45.93	          8579	          2.89	机械基件	     108877.75	江苏	15.25	
000818	方大化工	--  	--  	--  	14.19	--  	0	308.26	76.52	          4.77	   119.80	          0.09	          0.09	14.19	18.38	         11076	          3.20	化工原料	      68000.00	辽宁	0.00	
000819	岳阳兴长	-10.00	-2.14	2.48	19.27	-8.92	2287	-126.45	206.34	          7.26	    90.84	          0.78	          0.78	21.41	14.03	         10455	          3.22	石油加工	      24609.36	湖南	12.47	
000820	金城股份	--  	--  	--  	16.96	--  	0	0.00	591.47	         19.67	--  	         -2.10	         -2.10	16.96	64.72	         12375	         -2.43	造纸	      22087.72	辽宁	0.00	
000821	京山轻机	-9.54	-0.93	4.10	8.82	-8.72	4769	4079.46	353.50	          2.58	    74.15	          0.30	          0.30	9.75	33.05	          6532	          6.35	轻工机械	      34521.94	湖北	14.05	
000822	山东海化	-4.28	-0.25	3.60	5.59	-4.97	4626	-15.28	38.20	          2.24	    29.06	         -0.56	         -0.56	5.84	37.23	         11898	          4.96	化工原料	      89508.31	山东	11.13	
000823	超声电子	2.13	0.17	4.12	8.17	-3.75	3393	0.00	30.23	          1.54	    38.66	          1.24	          1.24	8.00	33.28	         13168	          3.13	元器件	      53687.28	广东	10.25	
000825	太钢不锈	-10.04	-0.48	-0.84	4.30	-6.90	24253	2098.06	162.48	          0.98	   191.59	          1.86	          1.86	4.78	65.91	         19641	          0.18	特钢	     569595.31	山西	9.21	
000826	桑德环境	-0.03	-0.01	0.60	33.36	-4.85	10268	-447.01	-129.58	          5.08	    37.20	          2.84	          2.84	33.37	54.18	         25063	         15.50	环境保护	      84167.57	湖北	6.92	
000828	东莞控股	-5.71	-0.57	4.30	9.42	-7.81	4328	24785.31	-11.57	          2.34	    11.82	          1.47	          1.47	9.99	38.69	         23425	         83.06	路桥	     103951.70	广东	12.51	
000829	天音控股	-6.42	-0.52	4.81	7.58	-8.27	7725	-669.32	13.15	          3.38	--  	          0.88	          0.88	8.10	74.86	         13018	         -0.39	其他商业	      94679.18	江西	13.58	
000830	鲁西化工	2.46	0.15	4.10	6.25	-5.25	19401	504.87	10.60	          1.46	    16.47	          1.59	          1.59	6.10	69.90	         14355	          4.03	农药化肥	     146398.02	山东	12.13	
000831	五矿稀土	-6.05	-0.95	3.89	14.75	-6.11	12337	-6.95	-75.98	          5.81	  4964.35	          0.57	          0.57	15.70	0.44	          8483	          0.44	小金属	      74521.88	山西	11.53	
000833	贵糖股份	-9.97	-1.01	2.07	9.12	-9.28	1049	-203.74	-41.05	          3.17	   767.26	          0.42	          0.42	10.13	25.62	          7077	          0.61	造纸	      29606.53	广西	12.04	
000835	长城动漫	-9.73	-0.97	3.01	9.00	-7.72	5415	0.00	108.78	          8.64	   515.58	         -0.04	         -0.04	9.97	78.73	          5657	          1.53	影视音像	      30537.00	四川	12.74	
000836	鑫茂科技	-0.57	-0.08	4.18	14.04	-4.39	3010	0.00	86.32	          3.94	--  	         -0.04	         -0.04	14.12	46.86	         12891	         -7.75	软件服务	      29248.98	天津	13.31	
000837	秦川机床	-9.99	-1.34	2.91	12.07	-9.77	6350	1039.43	-48.78	          2.82	--  	          1.05	          1.05	13.41	46.95	          4924	         -4.52	机床制造	      25562.42	陕西	12.90	
000838	国兴地产	-9.97	-1.72	0.87	15.53	-9.68	138	13.78	42.41	          5.85	    20.61	          0.94	          0.94	17.25	83.71	         20447	         13.58	区域地产	      18099.97	北京	10.84	
000839	中信国安	--  	--  	--  	23.37	--  	0	31816.16	-477.67	          5.20	   101.89	          1.14	          1.14	23.37	38.12	         21878	         17.94	综合类	     156760.28	北京	0.00	
000848	承德露露	5.99	0.71	6.83	12.57	-2.19	6284	-41.02	56.37	          6.44	    18.40	          0.64	          0.64	11.86	15.71	         19040	         16.35	软饮料	      75246.20	河北	11.13	
000850	华茂股份	--  	--  	--  	10.93	--  	0	24066.25	28.60	          1.74	    38.43	          1.62	          1.62	10.93	38.20	         18540	         14.87	纺织	      94320.02	安徽	0.00	
000851	高鸿股份	--  	--  	--  	13.37	--  	0	203.46	-217.23	          3.05	   154.65	          0.33	          0.33	13.37	56.83	          9261	          0.86	软件服务	      48491.64	贵州	0.00	
000852	石化机械	-9.97	-1.60	1.37	14.45	-9.60	416	127.26	-81.93	          2.61	  1123.29	          1.77	          1.77	16.05	70.58	          6787	          0.12	化工机械	      13011.95	湖北	11.34	
000856	冀东装备	-7.11	-0.63	2.71	8.23	-7.67	1308	-28.93	-10321.60	          5.13	--  	         -1.11	         -1.11	8.86	81.47	         13714	         -8.42	机械基件	      22700.00	河北	12.75	
000858	五 粮 液	--  	--  	--  	25.73	--  	0	1194.43	31.34	          2.41	    14.81	          7.54	          7.54	25.73	12.78	         16935	         29.40	白酒	     379568.19	四川	0.00	
000859	国风塑业	-4.17	-0.20	5.00	4.60	-1.46	7301	573.15	-1190.70	          2.47	--  	         -0.01	         -0.01	4.80	28.38	         12859	         -1.70	塑料	      73944.82	安徽	11.25	
000860	顺鑫农业	4.29	0.66	5.66	16.03	-2.86	5535	174.46	21.36	          1.74	    18.49	          2.78	          2.78	15.37	67.12	         16450	          4.31	白酒	      56299.92	北京	10.02	
000861	海印股份	-8.70	-0.49	2.49	5.14	-9.24	11854	1967.81	65.41	          3.87	    63.69	          0.70	          0.70	5.63	53.78	         20307	         10.78	房产服务	     186047.06	广东	11.90	
000862	银星能源	-4.25	-0.28	2.58	6.31	-5.92	1297	20.33	8.28	          2.01	   179.64	         -1.01	         -1.01	6.59	79.95	          7898	          1.53	新型电力	      28306.80	宁夏	8.50	
000863	三湘股份	-10.03	-1.04	0.96	9.33	-10.03	643	23646.99	-4.28	          2.90	    50.50	          1.71	          1.71	10.37	75.17	         41224	         40.61	区域地产	      73869.09	上海	10.99	
000868	安凯客车	-6.53	-0.39	3.85	5.58	-9.38	5934	-50.49	-5.45	          3.06	    64.07	          0.21	          0.21	5.97	73.49	         16231	          1.76	汽车整车	      69555.97	安徽	13.23	
000869	张  裕Ａ	4.06	1.46	4.06	37.46	-4.17	3104	0.00	27.69	          3.39	    17.21	          8.75	          8.75	36.00	17.43	         11794	         26.40	红黄药酒	      45346.07	山东	8.22	
000875	吉电股份	-10.04	-1.12	2.15	10.04	-9.95	2751	919.96	24.65	          3.85	    93.68	         -0.25	         -0.25	11.16	77.63	          3643	          3.73	火力发电	     111558.85	吉林	12.19	
000876	新 希 望	--  	--  	--  	18.99	--  	0	127946.07	25.25	          2.11	    17.09	          5.50	          5.50	18.99	31.29	         21612	          3.93	饲料	     172830.80	四川	0.00	
000877	天山股份	-6.58	-0.54	4.99	7.67	-7.43	6681	1641.18	50.29	          1.00	--  	          2.01	          2.01	8.21	69.18	         11066	        -12.02	水泥	      88000.95	新疆	14.86	
000878	云南铜业	--  	--  	--  	24.50	--  	0	2201.68	545.68	          6.42	  1112.09	         -0.56	         -0.56	24.50	73.04	          9429	          0.05	铜	     141639.20	云南	0.00	
000880	潍柴重机	10.00	0.98	10.00	10.78	-4.18	401	1538.55	44.32	          2.33	    67.37	          1.23	          1.23	9.80	62.18	          7425	          1.82	机械基件	      13513.50	山东	17.04	
000881	大连国际	--  	--  	--  	13.15	--  	0	73.37	60.48	          4.95	--  	          0.57	          0.57	13.15	80.64	          7715	        -82.24	综合类	      30796.41	辽宁	0.00	
000882	华联股份	--  	--  	--  	8.75	--  	0	20276.77	406.67	          3.28	   272.85	          0.06	          0.06	8.75	52.19	         10548	          5.60	百货	     188468.69	北京	0.00	
000883	湖北能源	3.00	0.21	5.14	7.21	-5.00	75206	50824.53	18.54	          2.46	    13.92	          0.83	          0.83	7.00	50.46	         23893	         35.21	火力发电	     534607.25	湖北	11.29	
000885	同力水泥	-2.26	-0.30	2.71	13.00	-10.00	5561	63.90	40.76	          2.79	    48.82	          0.94	          0.94	13.30	53.30	         21026	          3.98	水泥	      42679.92	河南	12.71	
000886	海南高速	-2.65	-0.12	2.88	4.40	-5.31	4807	3208.33	-66.52	          1.56	    47.39	          0.50	          0.50	4.52	13.85	          9814	         46.33	路桥	      96461.99	海南	11.50	
000887	中鼎股份	--  	--  	--  	24.75	--  	0	0.00	86.22	          8.50	    35.70	          1.46	          1.46	24.75	49.07	         54618	         12.15	橡胶	     111377.75	安徽	0.00	
000888	峨眉山Ａ	-0.63	-0.06	5.07	9.41	-4.86	670	-26.70	46.24	          2.80	    45.20	          1.30	          1.30	9.47	15.43	         10471	         11.72	旅游景点	      52681.85	四川	11.62	
000889	茂业物流	-9.99	-0.98	1.02	8.83	-9.89	1932	24.00	32.58	          2.50	    30.08	          0.68	          0.68	9.81	26.21	         13280	          7.87	批发业	      33852.69	河北	11.01	
000890	法 尔 胜	--  	--  	--  	11.80	--  	0	849.21	85.74	          4.29	   759.67	          0.31	          0.31	11.80	63.22	         12371	          0.40	钢加工	      37955.67	江苏	0.00	
000892	*ST星美	--  	--  	--  	11.32	--  	0	0.00	-2730.56	       3625.95	--  	         -1.21	         -1.21	11.32	3.99	         12616	--  	通信设备	      30693.76	重庆	0.00	
000893	东凌粮油	--  	--  	--  	10.70	--  	0	4861.66	-10.42	          8.71	--  	         -0.87	         -0.87	10.70	92.79	         11318	         -0.60	食品	      39261.08	广东	0.00	
000895	双汇发展	3.47	0.64	4.45	19.06	-3.09	48896	9393.78	27.28	          4.35	    15.87	          2.45	          2.45	18.42	28.15	         19066	          9.74	食品	     181742.91	河南	7.82	
000897	津滨发展	-4.56	-0.21	3.69	4.40	-4.56	7615	110.60	379.74	          5.25	--  	         -0.39	         -0.39	4.61	72.14	         10562	        -17.07	区域地产	     161711.09	天津	11.50	
000898	鞍钢股份	9.32	0.49	10.08	5.75	-6.84	69151	22700.00	24.60	          0.87	   134.19	          0.78	          0.78	5.26	46.78	         38304	          0.53	普钢	     614893.19	辽宁	18.63	
000899	赣能股份	-3.29	-0.29	3.52	8.52	-4.09	1773	6397.37	10.61	          2.37	    10.31	          1.26	          1.26	8.81	59.73	          9161	         22.84	火力发电	      55518.26	江西	9.31	
000900	现代投资	4.52	0.32	5.51	7.40	-2.40	6342	9255.30	13.16	          1.12	    15.67	          3.84	          3.84	7.08	62.96	         10877	          8.60	路桥	     101125.17	湖南	9.32	
000901	航天科技	--  	--  	--  	52.88	--  	0	1133.10	-174.01	         12.70	   547.13	          1.02	          1.02	52.88	30.49	          8692	          1.92	航空	      32362.41	黑龙江	0.00	
000902	新洋丰	-1.52	-0.30	2.59	19.40	-6.19	402	0.00	47.70	          3.06	    15.77	          3.61	          3.61	19.70	26.65	         11556	          7.35	农药化肥	      25800.00	湖北	10.66	
000903	云内动力	-5.00	-0.34	2.94	6.46	-6.62	3668	250.00	29.62	          1.42	    26.79	          0.93	          0.93	6.80	46.37	         12464	          6.64	机械基件	      68076.00	云南	10.00	
000905	厦门港务	-6.65	-0.64	3.64	8.98	-6.65	3393	-33.31	22.16	          1.83	    26.17	          2.96	          2.96	9.62	45.61	          9551	          2.67	港口	      53100.00	福建	12.27	
000906	物产中拓	-10.03	-1.20	5.68	10.77	-7.85	1501	2395.65	-53.18	          3.16	    37.27	          0.70	          0.70	11.97	79.19	         18214	          0.60	批发业	      33060.57	湖南	15.71	
000908	景峰医药	0.76	0.10	8.32	13.20	-3.89	1409	132.45	152.61	          5.39	    48.49	          0.72	          0.72	13.10	35.77	         13191	         11.29	化学制药	      24678.25	湖南	13.97	
000909	数源科技	-5.99	-0.56	4.71	8.79	-9.09	1217	687.93	-11.16	          3.37	    65.13	          0.58	          0.58	9.35	81.78	         12282	          3.22	综合类	      29400.00	浙江	14.01	
000910	大亚科技	-2.82	-0.40	5.63	13.80	-3.17	757	1145.65	17.51	          2.71	    51.21	          3.03	          3.03	14.20	62.94	         24001	          1.96	家居用品	      52750.00	江苏	12.61	
000911	南宁糖业	-10.02	-1.27	3.39	11.40	-8.29	2447	-0.94	-4.51	          2.34	    77.57	         -1.09	         -1.09	12.67	64.72	          6866	          1.68	食品	      28664.00	广西	13.42	
000912	*ST天化	-5.04	-0.25	-1.01	4.71	-5.04	110	16660.85	22.38	          3.90	--  	         -2.27	         -2.27	4.96	91.66	         16239	         -0.67	农药化肥	      58500.00	四川	4.03	
000913	钱江摩托	-6.08	-0.40	5.32	6.18	-5.62	2760	261.93	-53.31	          1.32	   207.27	          0.31	          0.31	6.58	40.35	         13281	          0.57	摩托车	      45343.62	浙江	12.61	
000915	山大华特	-8.42	-2.30	3.63	25.00	-6.34	3913	91.60	39.09	          4.45	    35.34	          4.21	          4.21	27.30	19.07	         14942	         11.95	生物制药	      17937.64	山东	12.60	
000916	华北高速	-1.35	-0.07	4.45	5.10	-1.74	2769	748.33	50.31	          1.21	    18.49	          1.11	          1.11	5.17	25.47	         15959	         32.16	路桥	     108997.39	北京	7.93	
000917	电广传媒	--  	--  	--  	42.83	--  	0	14167.05	-318.48	          6.03	   205.65	          1.50	          1.50	42.83	37.43	         12705	          5.79	影视音像	     106191.22	湖南	0.00	
000918	嘉凯城	-4.86	-0.22	2.87	4.31	-5.30	5672	24633.26	-7.00	          1.90	--  	          1.65	          1.65	4.53	84.65	         26222	        -10.54	全国地产	     180419.16	湖南	10.82	
000919	金陵药业	2.66	0.36	2.66	13.91	-5.61	3228	4201.58	83.28	          2.98	    30.24	          2.12	          2.12	13.55	22.91	         17698	          7.39	中成药	      50322.44	江苏	11.88	
000920	南方汇通	-10.01	-1.36	3.68	12.23	-8.02	947	444.77	44.18	          5.41	    60.02	          0.44	          0.44	13.59	29.70	         15585	         10.00	运输设备	      42200.00	贵州	13.69	
000921	海信科龙	10.00	0.78	10.00	8.58	-1.92	2077	29051.27	-58.71	          2.95	    11.56	          0.22	          0.22	7.80	72.51	         28018	          3.72	家用电器	      90171.78	广东	15.38	
000922	佳电股份	-7.85	-0.87	7.76	10.21	-9.84	3095	520.56	-184.83	          2.68	--  	          0.77	          0.77	11.08	39.15	          9841	         -6.65	电气设备	      29843.50	黑龙江	17.60	
000923	河北宣工	-9.99	-1.23	2.92	11.08	-9.99	1379	1640.74	-186.74	          5.33	--  	         -0.11	         -0.11	12.31	72.45	         12692	        -34.95	工程机械	      19799.91	河北	12.92	
000925	众合科技	-9.05	-1.22	3.71	12.26	-6.97	2309	207.60	-12.19	          3.34	   176.45	         -0.24	         -0.24	13.48	68.05	         11289	          1.45	专用机械	      30133.81	浙江	13.72	
000926	福星股份	2.54	0.23	3.31	9.30	-4.63	5810	3338.23	27.04	          1.10	    13.28	          5.58	          5.58	9.07	77.90	         10193	          6.66	区域地产	      53021.37	湖北	8.38	
000927	*ST夏利	-4.91	-0.28	0.00	5.42	-4.91	202	17559.20	-11.95	          8.82	--  	         -1.53	         -1.53	5.70	84.76	         35100	        -26.29	汽车整车	     159517.09	天津	4.91	
000928	中钢国际	-3.86	-0.54	3.79	13.46	-3.21	701	2331.87	29.97	          3.31	    17.44	          0.21	          0.21	14.00	78.55	          9090	          4.83	建筑施工	      28289.90	吉林	9.50	
000929	兰州黄河	-1.98	-0.24	1.90	11.86	-4.55	4068	19781.22	38.60	          2.58	     6.58	          2.42	          2.42	12.10	25.31	          8345	         42.01	啤酒	      18563.25	甘肃	8.26	
000930	中粮生化	-9.99	-1.64	5.85	14.78	-9.99	6655	0.00	-23.00	          5.64	--  	          0.48	          0.48	16.42	65.70	          5699	         -9.26	食品	      96441.10	安徽	15.83	
000931	中 关 村	1.03	0.09	5.16	8.81	-9.40	5452	20650.90	-155.88	          7.64	    19.86	         -1.40	         -1.40	8.72	64.57	          4368	         37.51	区域地产	      50651.39	北京	14.56	
000932	华菱钢铁	-2.88	-0.09	0.64	3.04	-5.43	6113	2848.67	6.16	          0.91	--  	         -0.27	         -0.27	3.13	80.77	         22631	         -0.72	普钢	     301491.41	湖南	6.39	
000933	神火股份	-5.09	-0.22	1.85	4.10	-3.47	6937	-648.23	102.20	          1.17	--  	          1.03	          1.03	4.32	79.82	         14814	         -2.93	煤炭开采	     190041.81	河南	7.87	
000935	四川双马	-0.70	-0.04	4.05	5.64	-2.82	945	-8.89	-132.69	          1.60	--  	          1.16	          1.16	5.68	41.36	         10872	         -6.41	水泥	      31941.00	四川	7.04	
000936	华西股份	-9.99	-0.84	3.21	7.57	-7.85	1693	4669.73	-62.91	          2.54	    50.83	          0.90	          0.90	8.41	30.39	         14746	          5.93	化纤	      74768.59	江苏	13.20	
000937	冀中能源	-3.85	-0.20	0.96	4.99	-3.66	5710	17487.97	-53.17	          0.97	  1380.64	          2.44	          2.44	5.19	51.61	         22213	          0.09	煤炭开采	     286918.53	河北	6.55	
000938	紫光股份	-4.38	-2.24	6.34	48.90	-6.14	1831	7396.20	-25.86	          4.46	    53.26	          2.02	          2.02	51.14	55.38	          9123	          1.66	软件服务	      20607.46	北京	14.43	
000939	凯迪电力	--  	--  	--  	10.96	--  	0	92.66	15.95	          1.77	    50.65	          0.94	          0.94	10.96	79.04	         17178	         12.15	火力发电	      94117.39	湖北	0.00	
000948	南天信息	-10.02	-1.49	4.84	13.38	-9.01	1722	-201.96	-7.77	          2.42	--  	          1.00	          1.00	14.87	41.66	          8111	         -6.19	软件服务	      23127.77	云南	14.86	
000949	新乡化纤	-9.92	-0.59	1.34	5.36	-9.92	2837	-80.87	58.24	          2.26	    46.51	          0.27	          0.27	5.95	51.84	         14875	          4.42	化纤	     102652.95	河南	11.26	
000950	建峰化工	10.05	0.55	10.05	6.02	0.18	418	33.80	58.98	          1.92	--  	          0.16	          0.16	5.47	72.55	         14977	        -11.36	农药化肥	      59879.92	重庆	18.46	
000951	中国重汽	6.22	0.79	6.22	13.50	-2.68	2271	0.00	7.13	          1.27	    15.91	          6.88	          6.88	12.71	72.93	         12675	          1.72	汽车整车	      41942.55	山东	11.41	
