代码	名称	涨幅%%	涨跌	最高%%	现价	开盘%%	现量	投资收益	市现率	市净率	市盈(动)	每股未分配	每股未分配	昨收	资产负债率%%	人均持股	净利润率%%	细分行业	流通股本(万)	地区	振幅%%	
000035	中国天楹	-7.14	-0.89	1.76	11.58	-7.78	1116	0.00	83.23	          2.44	    53.77	          0.60	          0.60	12.47	57.56	         12840	         24.60	通信设备	      35362.69	江苏	11.07	
000036	华联控股	-3.41	-0.21	6.83	5.94	-4.55	7733	289.48	-20.56	          3.50	--  	          0.45	          0.45	6.15	53.61	         11673	        -16.30	全国地产	     112388.02	深圳	12.52	
000037	深南电Ａ	-8.64	-0.64	2.70	6.77	-9.99	1564	-88.33	12.80	          3.49	--  	         -0.22	         -0.22	7.41	75.73	          8143	        -15.76	火力发电	      33889.51	深圳	12.69	
000038	深大通	-10.00	-2.87	0.66	25.84	-8.05	66	0.00	1792.48	         22.83	--  	         -0.16	         -0.16	28.71	76.90	          5137	         -0.92	区域地产	       2803.19	深圳	10.66	
000039	中集集团	5.76	1.12	6.53	20.57	-4.88	75236	74498.30	-88.37	          2.20	    18.20	          6.45	          6.45	19.45	68.38	         12655	          4.65	轻工机械	     125597.10	深圳	12.90	
000040	宝安地产	--  	--  	--  	9.67	--  	0	-325.61	173.42	          3.53	   110.19	          0.76	          0.76	9.67	69.45	          8819	          4.21	全国地产	      46458.83	深圳	0.00	
000042	中洲控股	-4.30	-0.60	2.44	13.36	-4.73	1206	545.31	-12.75	          1.75	     7.64	          4.51	          4.51	13.96	82.23	         17620	         18.00	全国地产	      47879.07	深圳	9.31	
000043	中航地产	-9.95	-0.88	3.05	7.96	-8.94	1635	53.75	-7.11	          1.60	--  	          3.02	          3.02	8.84	81.64	         25537	         -6.91	全国地产	      66696.14	深圳	13.01	
000045	深纺织Ａ	-2.95	-0.27	3.61	8.87	-9.19	2876	4759.18	1046.53	          2.07	   292.96	          0.03	          0.03	9.14	22.66	         16413	          1.23	纺织	      40556.39	深圳	12.80	
000046	泛海控股	8.86	0.98	8.95	12.04	-7.59	34471	12839.87	9.85	          5.52	    41.51	          0.50	          0.50	11.06	86.76	         71949	         30.75	全国地产	     454933.41	深圳	16.82	
000048	康达尔	-3.91	-0.95	8.60	23.35	-9.05	2614	365.98	32.71	         13.78	    31.63	          0.55	          0.55	24.30	63.61	         17785	         11.71	饲料	      38606.83	深圳	17.65	
000049	德赛电池	1.88	0.68	5.43	36.78	-4.16	863	1219.90	63.53	          9.25	    32.82	          2.73	          2.73	36.10	68.31	          7693	          3.03	电气设备	      20524.36	深圳	11.25	
000050	深天马Ａ	-6.40	-0.93	3.72	13.60	-5.44	3027	-200.55	18.39	          1.86	    29.91	          0.17	          0.17	14.53	51.37	         13460	          5.01	元器件	      57422.05	深圳	12.87	
000055	方大集团	-4.67	-0.29	3.54	5.92	-4.99	4320	154.78	-16.31	          3.55	    43.66	          0.50	          0.50	6.21	67.35	          9267	          4.46	其他建材	      42017.94	深圳	9.66	
000056	深国商	-1.23	-0.26	0.47	20.85	-9.00	594	0.00	348.24	          2.89	   349.30	          5.64	          5.64	21.11	62.82	          6967	          4.64	房产服务	      14305.55	深圳	10.00	
000058	深 赛 格	-10.04	-0.94	1.71	8.42	-9.08	1889	545.18	-67.03	          4.60	    94.65	          0.05	          0.05	9.36	34.42	          7976	          9.32	元器件	      53831.10	深圳	11.75	
000059	*ST华锦	-5.04	-0.34	-0.44	6.41	-5.04	1933	575.34	2.00	          1.17	    21.58	          0.35	          0.35	6.75	69.23	         17494	          1.39	石油加工	     120050.17	辽宁	4.59	
000060	中金岭南	0.84	0.09	2.25	10.77	-6.37	48513	3442.61	64.25	          3.23	    74.45	          1.46	          1.46	10.68	48.96	         12008	          2.38	铅锌	     206142.25	深圳	10.39	
000061	农 产 品	-4.48	-0.67	-0.33	14.28	-6.09	2313	2216.04	49.40	          5.00	   273.24	          0.21	          0.21	14.95	58.14	         28557	          5.11	农业综合	     160768.09	深圳	8.70	
000062	深圳华强	-3.77	-1.16	5.66	29.60	-10.01	6698	10033.98	-671.40	          7.77	    59.26	          2.20	          2.20	30.76	36.93	         21477	         28.27	商贸代理	      66694.96	深圳	15.67	
000063	中兴通讯	0.30	0.05	1.57	16.64	-5.06	96078	36226.80	45.52	          2.00	    21.24	          2.99	          2.99	16.59	68.04	         17271	          3.52	通信设备	     336230.25	深圳	6.93	
000065	北方国际	-9.97	-2.61	4.62	23.56	-7.22	1253	69.12	-12.92	          3.61	    54.10	          1.96	          1.96	26.17	67.08	         13527	          4.57	建筑施工	      25340.18	深圳	14.64	
000066	长城电脑	--  	--  	--  	21.54	--  	0	50744.06	-47.75	         11.50	--  	          0.44	          0.44	21.54	78.43	         16140	         -0.32	电脑设备	     132357.02	深圳	0.00	
000068	*ST华赛	-5.00	-0.50	0.60	9.51	-5.00	130	-235.99	-329.29	         16.35	--  	         -1.76	         -1.76	10.01	4.25	         34819	       -127.78	元器件	      89667.14	深圳	5.59	
000069	华侨城Ａ	0.62	0.05	3.32	8.18	-5.66	121229	21932.38	389.87	          2.05	    21.03	          2.60	          2.60	8.13	66.05	         17619	         13.92	旅游景点	     311246.41	深圳	10.70	
000070	特发信息	-9.99	-1.84	3.15	16.57	-9.72	391	55.40	-139.25	          4.08	    59.00	          0.71	          0.71	18.41	52.69	          9077	          3.33	通信设备	      25857.63	深圳	13.15	
000078	海王生物	-10.03	-1.28	2.66	11.48	-7.45	21556	35.27	-20.25	          5.16	    78.34	         -0.93	         -0.93	12.76	81.93	          8033	          1.02	生物制药	      73076.79	深圳	12.70	
000088	盐 田 港	8.92	0.58	9.08	7.08	-1.23	16442	15445.36	548.35	          2.65	    44.07	          0.96	          0.96	6.50	29.21	         21769	        129.14	港口	     194214.56	深圳	13.69	
000089	深圳机场	-1.84	-0.12	3.53	6.40	-3.37	8498	-19.40	22.14	          1.32	    30.32	          2.13	          2.13	6.52	20.88	         21989	         14.66	机场	     205067.45	深圳	8.13	
000090	天健集团	-1.49	-0.20	3.50	13.21	-5.22	4018	141.92	-20.15	          1.83	    16.53	          2.42	          2.42	13.41	63.50	         17777	          8.06	建筑施工	      55253.07	深圳	12.53	
000096	广聚能源	-6.27	-0.92	6.00	13.75	-8.93	3307	20955.07	87.27	          3.56	    19.37	          1.57	          1.57	14.67	12.30	          8647	         35.20	石油贸易	      51084.80	深圳	14.93	
000099	中信海直	-7.94	-1.12	3.47	12.99	-9.99	5976	0.00	-67.21	          2.88	    47.59	          1.48	          1.48	14.11	39.00	         10693	         14.66	空运	      60607.03	深圳	13.47	
000100	TCL 集团	0.72	0.03	1.67	4.22	-4.53	229605	62482.20	11.07	          2.11	    15.91	          0.49	          0.49	4.19	68.38	         13655	          3.47	家用电器	     899541.56	广东	7.40	
000150	宜华健康	--  	--  	--  	52.70	--  	0	0.00	99.69	         14.41	 10428.33	          0.41	          0.41	52.70	57.66	         22810	          0.27	医疗保健	      32400.00	广东	0.00	
000151	中成股份	-10.01	-2.01	5.73	18.06	-9.87	1106	0.00	-22.49	          5.66	    37.91	          0.32	          0.32	20.07	65.79	          8108	         13.48	商贸代理	      26654.40	北京	15.74	
000153	丰原药业	-6.84	-0.62	3.20	8.45	-6.28	1791	109.94	133.43	          2.30	    70.73	          0.76	          0.76	9.07	47.13	          7961	          2.39	化学制药	      29664.51	安徽	11.91	
000155	*ST川化	-5.05	-0.33	-0.77	6.20	-5.05	1500	0.00	182.59	         -3.12	--  	         -5.37	         -5.37	6.53	179.82	         13872	        -75.02	农药化肥	      47000.00	四川	4.29	
000156	华数传媒	10.00	2.78	10.00	30.57	-6.62	1464	-0.94	166.51	          4.89	    87.36	          0.81	          0.81	27.79	26.12	          5143	         19.71	影视音像	      11832.76	浙江	18.24	
000157	中联重科	-6.96	-0.40	0.17	5.35	-4.35	26117	4951.24	-9.86	          1.03	--  	          2.17	          2.17	5.75	59.32	         10543	         -2.93	工程机械	     626189.31	湖南	7.13	
000158	常山股份	-9.57	-1.08	4.26	10.20	-8.42	8509	175.66	131.79	          2.56	--  	          0.32	          0.32	11.28	47.27	         16911	         -0.73	纺织	      71886.10	河北	13.92	
000159	国际实业	-3.77	-0.27	3.63	6.89	-5.73	1806	6941.12	-32.96	          1.53	    32.93	          2.54	          2.54	7.16	28.70	          7861	         16.37	石油贸易	      48113.92	新疆	10.75	
000166	申万宏源	-3.84	-0.36	1.81	9.02	-4.05	24959	350081.94	1.27	          2.90	     9.11	          1.21	          1.21	9.38	89.05	          7690	         43.14	证券	     327824.72	新疆	7.14	
000301	东方市场	-5.36	-0.25	3.86	4.41	-4.51	8815	559.42	153.74	          1.67	    29.88	          0.93	          0.93	4.66	21.88	          9325	         27.65	综合类	     121823.64	江苏	9.66	
