代码,名称,卖量,未匹配量,流通股本(万),流通市值,AB股总市值,强弱度%%,活跃度,每笔均量,每笔换手,财务更新,上市日期,总股本(万),B股(或A),H股,总资产(万)
300443,金雷风电,6,--  ,1407,         11.42亿,         45.67亿,2.6,1231,6,0.0043,20150731,20150422,5626,0,0,105138.36
300444,双杰电气,2,--  ,3448.63,         10.53亿,         42.10亿,-5.66,2160,13,0.0039,20150825,20150423,13794.55,0,0,108374.61
300445,康斯特,36,--  ,1020,          5.95亿,         23.81亿,-0.74,987,7,0.0064,20150819,20150424,4080,0,0,36100.98
300446,乐凯新材,58,--  ,1540,          9.00亿,         35.87亿,0.92,933,6,0.004,20150818,20150423,6140,0,0,44762.8
300447,全信股份,19,--  ,2025,          9.03亿,         36.12亿,-4.21,1254,9,0.0044,20150826,20150422,8100,0,0,61272.68
300448,浩云科技,8,--  ,2000,          8.99亿,         35.94亿,-0.8,1792,9,0.0044,20150826,20150424,8000,0,0,58886.21
300449,汉邦高科,1,--  ,1770,          8.73亿,         34.86亿,-2.67,1362,9,0.0051,20150825,20150422,7070,0,0,83932.6
300450,先导股份,45,--  ,1700,         19.58亿,         78.34亿,-1.23,1952,8,0.0046,20150902,20150518,6800,0,0,127240.38
300451,创业软件,171,--  ,1700,         14.35亿,         57.41亿,-8.94,1328,6,0.0034,20150825,20150514,6800,0,0,68461.13
300452,山河药辅,88,--  ,1160,          6.20亿,         24.80亿,7.09,1485,15,0.0134,20150826,20150515,4640,0,0,43288.26
300453,三鑫医疗,1,--  ,1986,          6.63亿,         26.51亿,-2.6,2011,12,0.0061,20150807,20150515,7936,0,0,56194.76
300455,康拓红外,105,--  ,3500,          8.77亿,         35.08亿,-7.81,1677,16,0.0046,20150817,20150515,14000,0,0,65829.81
300456,耐威科技,0,--  ,2100,         21.67亿,         86.69亿,1.06,0,--  ,--  ,20150826,20150514,8400,0,0,66520.88
300457,赢合科技,32,--  ,1950,         11.21亿,         44.84亿,2.81,1668,10,0.0052,20150820,20150514,7800,0,0,76391.31
300458,全志科技,23,--  ,4000,         22.44亿,         89.76亿,-1.81,1599,12,0.003,20150810,20150515,16000,0,0,163650.88
300459,浙江金科,173,--  ,6625,         22.21亿,         88.83亿,-4.89,1618,11,0.0017,20150902,20150515,26500,0,0,73935.81
300460,惠伦晶体,683,--  ,4208,          7.82亿,         31.28亿,-5.8,1958,17,0.0039,20150825,20150515,16827.41,0,0,90406.31
300461,田中精机,466,--  ,1668,          5.17亿,         20.67亿,-8.93,1061,11,0.0065,20150826,20150519,6668,0,0,34532.6
300462,华铭智能,38,--  ,1722,          6.83亿,         27.32亿,-8.94,1845,15,0.0088,20150825,20150527,6888,0,0,61103.57
300463,迈克生物,14,--  ,3750,         25.31亿,        125.55亿,6.28,1681,17,0.0045,20150818,20150528,18600,0,0,236262.72
300464,星徽精密,8522,--  ,2067,          7.09亿,         28.37亿,-8.93,1781,38,0.0184,20150820,20150610,8267,0,0,71843.8
300465,高伟达,70,--  ,3334,         11.15亿,         44.59亿,-7.6,1712,16,0.0047,20150826,20150528,13334,0,0,87395.8
300466,赛摩电气,0,--  ,2000,          5.46亿,         21.82亿,1.06,0,--  ,--  ,20150829,20150528,8000,0,0,61517.21
300467,迅游科技,0,--  ,1000,         21.89亿,         87.56亿,1.06,0,--  ,--  ,20150828,20150527,4000,0,0,47363.55
300468,四方精创,31,--  ,2500,         10.31亿,         41.26亿,0.58,1864,7,0.0029,20150813,20150527,10000,0,0,78248.82
300469,信息发展,27,--  ,1670,          6.54亿,         26.15亿,-7.15,939,9,0.0053,20150825,20150611,6680,0,0,57872.41
300470,日机密封,94,--  ,1334,          8.19亿,         32.76亿,-5.3,2045,16,0.0123,20150806,20150612,5334,0,0,89307.82
300471,厚普股份,3,--  ,1480,         11.97亿,         57.60亿,1.97,1768,7,0.005,20150817,20150611,7120,0,0,203656.25
300472,新元科技,3,--  ,1667,          5.28亿,         21.13亿,-8.16,1367,16,0.0098,20150806,20150611,6667,0,0,48415.23
300473,德尔股份,25,--  ,2500,         10.64亿,         42.54亿,2.39,1924,13,0.0052,20150816,20150612,10000,0,0,183904.56
300475,聚隆科技,256,--  ,5000,          9.11亿,         36.44亿,-7.11,2274,21,0.0042,20150818,20150610,20000,0,0,120696.52
300476,胜宏科技,23,--  ,3667,         10.47亿,         41.89亿,-0.42,2048,17,0.0047,20150820,20150611,14667,0,0,177712.69
300477,合纵科技,8,--  ,2600,          7.10亿,         29.53亿,-3.25,1446,18,0.0068,20150812,20150610,10818,0,0,142344.56
300478,杭州高新,250,--  ,1667,          5.28亿,         21.13亿,-3.6,1198,13,0.0079,20150825,20150610,6667,0,0,61163.51
300479,神思电子,3,--  ,2000,          7.32亿,         29.29亿,-4.68,1244,11,0.0054,20150819,20150612,8000,0,0,45274.3
300480,光力科技,3807,--  ,2300,          7.44亿,         29.75亿,-8.93,2590,17,0.0074,20150824,20150702,9200,0,0,48583.3
300481,濮阳惠成,21,--  ,2000,          5.24亿,         20.94亿,-1.98,1659,16,0.0082,20150827,20150630,8000,0,0,46459.78
300482,万孚生物,2,--  ,2200,         13.55亿,         54.21亿,1.88,2496,19,0.0084,20150825,20150630,8800,0,0,74513.53
300483,沃施股份,2,--  ,1550,          5.36亿,         21.27亿,0.57,1262,13,0.0081,20150818,20150630,6150,0,0,55847.05
