代码,名称,卖量,未匹配量,流通股本(万),流通市值,AB股总市值,强弱度%%,活跃度,每笔均量,每笔换手,财务更新,上市日期,总股本(万),B股(或A),H股,总资产(万)
000001,平安银行,3379,--  ,1180405.5,       1397.60亿,       1694.15亿,3.39,4427,636,0.0005,20150814,19910403,1430867.63,0,0,257050800
000002,万  科Ａ,5013,--  ,971771.56,       1381.86亿,       1384.05亿,0.99,4366,526,0.0005,20150817,19910129,1104805.75,0,131495.55,53693768
000004,国农科技,865,--  ,8387.54,         21.92亿,         21.94亿,-8.08,2692,23,0.0028,20150827,19910114,8397.66,0,0,34866.01
000005,世纪星源,0,--  ,91374.29,         53.73亿,         53.76亿,1.06,0,--  ,--  ,20150725,19901210,91433.35,0,0,134159.73
000006,深振业Ａ,6513,--  ,134148.73,        126.50亿,        127.30亿,-0.2,3848,141,0.0011,20150829,19920427,134999.5,0,0,1177059.88
000007,零七股份,0,--  ,20588.71,         60.06亿,         67.37亿,1.06,0,--  ,--  ,20150829,19920413,23096.53,0,0,52609.05
000008,神州高铁,390,--  ,21359.4,         43.79亿,        164.64亿,-2.01,2560,33,0.0015,20150829,19920507,80314.42,0,0,327846.84
000009,中国宝安,130,--  ,148966.91,        145.99亿,        156.03亿,-0.45,4345,223,0.0015,20150828,19910625,159210.73,0,0,1534307.5
000010,深华新,323,--  ,35815.75,         21.60亿,         35.46亿,-5.45,2759,66,0.0018,20150818,19951027,58806.98,0,0,188770.95
000011,深物业A,1201,--  ,17586.25,         15.09亿,         51.14亿,-6.18,2874,57,0.0032,20150816,19920330,59597.91,6760.52,0,375656.88
000012,南  玻Ａ,5638,--  ,130255.21,        115.02亿,        183.25亿,-2.96,2795,78,0.0006,20150818,19920228,207533.56,76247.36,0,1532177.5
000014,沙河股份,3745,--  ,20170.51,         31.87亿,         31.87亿,-8.91,3214,42,0.0021,20150822,19920602,20170.51,0,0,212902.91
000016,深康佳Ａ,0,--  ,59991.5,        180.93亿,        363.12亿,1.06,0,--  ,--  ,20150829,19920327,120397.27,40561.23,0,1613279.88
000017,深中华A,472,--  ,30297.88,         26.09亿,         47.47亿,-6.36,2243,46,0.0015,20150820,19920331,55134.78,24836.3,0,5630.58
000018,中冠A,324,--  ,9972.04,         18.95亿,         32.14亿,-6.3,1051,32,0.0032,20150829,19920616,16914.24,6942.18,0,17323.35
000019,深深宝Ａ,18,--  ,25225.24,         20.71亿,         24.72亿,-5.11,1719,47,0.0019,20150825,19921012,30108.01,3136.32,0,110760.47
000020,深华发Ａ,2444,--  ,6467.54,          8.32亿,         36.41亿,-8.95,1938,24,0.0037,20150825,19920428,28316.11,10199.58,0,117277.86
000021,深科技,4636,--  ,146981.44,        117.59亿,        117.70亿,3.1,3526,111,0.0008,20150828,19940202,147125.94,0,0,1431806.75
000022,深赤湾Ａ,0,--  ,46486.73,        122.59亿,        170.02亿,1.06,0,--  ,--  ,20150827,19930505,64476.37,17952.9,0,671161.06
000023,深天地Ａ,0,--  ,13875.62,         42.36亿,         42.36亿,1.06,0,--  ,--  ,20150805,19930429,13875.62,0,0,145998.92
000024,招商地产,0,--  ,102641.64,        324.76亿,        815.03亿,1.06,0,--  ,--  ,20150825,19930607,257595.06,21235.74,0,16880926
000025,特  力Ａ,15048,--  ,17929.46,         38.37亿,         63.62亿,-8.95,2626,47,0.0026,20150826,19930621,29728.16,2640,0,114397.47
000026,飞亚达Ａ,1502,--  ,31107,         27.53亿,         34.76亿,-5.09,2505,41,0.0013,20150814,19930603,39276.78,8164.79,0,382085
000027,深圳能源,476,--  ,143752.5,        140.59亿,        387.73亿,-7.88,4309,172,0.0012,20150821,19930903,396449.16,0,0,4877652.5
000028,国药一致,161,--  ,23326.17,        138.30亿,        215.00亿,2.24,1415,15,0.0006,20150820,19930809,36263.19,5488.56,0,1381265.63
000029,深深房Ａ,275,--  ,89166,         91.75亿,        104.10亿,-2.68,4147,109,0.0012,20150829,19930915,101166,12000,0,446255.59
000030,富奥股份,919,--  ,56056.17,         48.43亿,        111.74亿,6.55,2892,78,0.0014,20150826,19930929,129325.14,3415.63,0,733050.06
000031,中粮地产,5430,--  ,181372.02,        289.83亿,        289.83亿,-2.96,4466,337,0.0019,20150829,19931008,181373.16,0,0,4955406
000032,深桑达Ａ,1558,--  ,23286.32,         28.90亿,         28.90亿,-8.95,1954,42,0.0018,20150730,19931028,23286.42,0,0,129097.51
000034,深信泰丰,34246,--  ,34006.42,         32.31亿,         34.01亿,-8.89,2472,195,0.0057,20150818,19940509,35797.35,0,0,44637.65
000035,中国天楹,408,--  ,35362.69,         40.95亿,         71.71亿,-6.08,1862,34,0.001,20150805,19940408,61927.89,0,0,397917.28
000036,华联控股,4673,--  ,112388.02,         66.76亿,         67.74亿,-2.35,3405,129,0.0011,20150831,19940617,114048.77,0,0,543445.69
000037,深南电Ａ,1881,--  ,33889.51,         22.94亿,         40.81亿,-7.58,2458,57,0.0017,20150825,19940701,60276.26,26385.44,0,514827.5
000038,深大通,1769,--  ,2803.19,          7.24亿,         24.87亿,-8.94,2192,45,0.0162,20150827,19940808,9622.79,0,0,63186.73
000039,中集集团,688,--  ,125597.1,        258.35亿,        258.48亿,6.82,3395,140,0.0011,20150828,19940408,268708.5,0,143048.05,9559349
000040,宝安地产,0,--  ,46458.83,         44.93亿,         45.41亿,1.06,0,--  ,--  ,20150826,19940808,46959.33,0,0,421361.69
000042,中洲控股,405,--  ,47879.07,         63.97亿,         63.98亿,-3.24,1791,36,0.0008,20150829,19940921,47892.6,0,0,2052834.38
000043,中航地产,18179,--  ,66696.14,         53.09亿,         53.09亿,-8.89,3341,79,0.0012,20150821,19940928,66696.14,0,0,2230940
000045,深纺织Ａ,23,--  ,40556.39,         35.97亿,         44.93亿,-1.89,2513,63,0.0015,20150828,19940815,50652.17,4943.02,0,281181.53
000046,泛海控股,884,--  ,454933.41,        547.74亿,        548.70亿,9.92,3066,172,0.0004,20150828,19940912,455731.19,0,0,10111917
000048,康达尔,1258,--  ,38606.83,         90.15亿,         91.24亿,-2.85,3296,35,0.0009,20150828,19941101,39076.87,0,0,208751.05
000049,德赛电池,511,--  ,20524.36,         75.49亿,         75.49亿,2.94,1966,20,0.001,20150825,19950320,20524.36,0,0,326852.78
000050,深天马Ａ,1449,--  ,57422.05,         78.09亿,        153.92亿,-5.34,2648,51,0.0009,20150823,19950315,113173.84,0,0,1788467
000055,方大集团,295,--  ,42017.94,         24.87亿,         44.81亿,-3.61,2091,57,0.0014,20150829,19960415,75690.99,33595.12,0,404475.84
000056,深国商,477,--  ,14305.55,         29.83亿,         55.27亿,-0.17,1676,39,0.0027,20150826,19960708,26508.14,12161.73,0,789204.56
000058,深 赛 格,5384,--  ,53831.1,         45.33亿,         66.08亿,-8.98,3501,70,0.0013,20150829,19961226,78479.89,24646.13,0,249594.63
000059,*ST华锦,7804,--  ,120050.17,         76.95亿,        102.52亿,-3.98,2587,88,0.0007,20150818,19970130,159944.25,0,0,3039676
000060,中金岭南,655,--  ,206142.25,        222.02亿,        238.30亿,1.9,4027,180,0.0009,20150826,19970123,221262.8,0,0,1546198
000061,农 产 品,568,--  ,160768.09,        229.58亿,        242.33亿,-3.42,2913,69,0.0004,20150829,19970110,169696.41,0,0,1469859.13
000062,深圳华强,24,--  ,66694.96,        197.42亿,        197.42亿,-2.71,3702,53,0.0008,20150818,19970130,66694.97,0,0,413841.19
000063,中兴通讯,2649,--  ,336230.25,        559.49亿,        560.69亿,1.36,4103,270,0.0008,20150827,19971118,412504.97,0,75550.25,11314359
000065,北方国际,356,--  ,25340.18,         59.70亿,         64.64亿,-8.91,2441,27,0.0011,20150812,19980605,27437.17,0,0,605140.69
000066,长城电脑,0,--  ,132357.02,        285.10亿,        285.10亿,1.06,0,--  ,--  ,20150829,19970626,132359.39,0,0,3815046.5
000068,*ST华赛,17929,--  ,89667.14,         85.27亿,         95.73亿,-3.94,1171,196,0.0022,20150828,19970611,100667.14,0,0,63707.63
000069,华侨城Ａ,2764,--  ,311246.41,        254.60亿,        594.80亿,1.67,4099,408,0.0013,20150820,19970910,727134.25,0,0,9666571
000070,特发信息,3110,--  ,25857.63,         42.85亿,         44.90亿,-8.93,3321,37,0.0014,20150825,20000511,27100,0,0,275058.94
000078,海王生物,3736,--  ,73076.79,         83.89亿,         86.39亿,-8.97,3931,104,0.0014,20150825,19981218,75251.38,0,0,1141511.63
000088,盐 田 港,1285,--  ,194214.56,        137.50亿,        137.51亿,9.98,2700,107,0.0006,20150816,19970728,194220,0,0,732046.06
000089,深圳机场,449,--  ,205067.45,        131.24亿,        131.25亿,-0.78,3299,139,0.0007,20150821,19980420,205076.95,0,0,1257051.38
000090,天健集团,212,--  ,55253.07,         72.99亿,         72.99亿,-0.43,2739,53,0.001,20150825,19990721,55253.07,0,0,1093174.75
000096,广聚能源,5,--  ,51084.8,         70.24亿,         72.60亿,-5.21,3602,39,0.0008,20150829,20000724,52800,0,0,234573.16
000099,中信海直,5890,--  ,60607.03,         78.73亿,         78.73亿,-6.88,3987,83,0.0014,20150818,20000731,60607.03,0,0,452754.34
000100,TCL 集团,14363,--  ,899541.56,        379.61亿,        515.88亿,1.78,4526,841,0.0009,20150814,20040130,1222454.88,0,0,11230920
000150,宜华健康,0,--  ,32400,        170.75亿,        235.99亿,1.06,0,--  ,--  ,20150826,20000807,44780.48,0,0,387027.28
000151,中成股份,3555,--  ,26654.4,         48.14亿,         53.45亿,-8.95,4051,73,0.0027,20150822,20000906,29598,0,0,277933.5
000153,丰原药业,162,--  ,29664.51,         25.07亿,         26.38亿,-5.78,2662,42,0.0014,20150828,20000920,31214.11,0,0,222951.41
000155,*ST川化,269,--  ,47000,         29.14亿,         29.14亿,-3.99,1708,81,0.0017,20150829,20000926,47000,0,0,125314.4
000156,华数传媒,0,--  ,11832.76,         36.17亿,        438.18亿,11.06,2391,29,0.0025,20150825,20000906,143335.19,0,0,1213175.25
000157,中联重科,29412,--  ,626189.31,        335.01亿,        335.76亿,-5.9,4171,202,0.0003,20150829,20001012,770595.38,0,143002.89,10078849
000158,常山股份,637,--  ,71886.1,         73.32亿,        129.69亿,-8.51,2953,65,0.0009,20150829,20000724,127144.22,0,0,875708.13
000159,国际实业,1361,--  ,48113.92,         33.15亿,         33.15亿,-2.71,2873,54,0.0011,20150825,20000926,48113.92,0,0,307059.03
000166,申万宏源,955,--  ,327824.72,        295.70亿,       1340.08亿,-2.78,4185,170,0.0005,20150831,20150126,1485674.5,0,0,43512768
000301,东方市场,2860,--  ,121823.64,         53.72亿,         53.72亿,-4.3,2897,81,0.0007,20150829,20000529,121823.64,0,0,411941.53
000333,美的集团,1191,--  ,223937.06,        643.82亿,       1226.39亿,0.78,4269,151,0.0007,20150831,19931112,426571.44,0,0,14178269
000338,潍柴动力,137,--  ,209216.98,        209.22亿,        351.29亿,5.88,3976,233,0.0011,20150828,20070430,399861.94,0,48576,11517082
000400,许继电气,211,--  ,73749.88,        132.60亿,        181.30亿,0.95,3572,88,0.0012,20150828,19970418,100832.72,0,0,1055210.88
000401,冀东水泥,8988,--  ,134708.59,        124.61亿,        124.65亿,7.87,3543,106,0.0008,20150825,19960614,134752.3,0,0,4582175
000402,金 融 街,248,--  ,298699.69,        271.82亿,        271.99亿,2.28,3572,214,0.0007,20150829,19960626,298893,0,0,9168218
000403,ST生化,0,--  ,18176.3,         35.57亿,         53.34亿,1.06,0,--  ,--  ,20150828,19960628,27257.75,0,0,123484.17
000404,华意压缩,1792,--  ,39762.16,         24.18亿,         34.03亿,-3.19,2624,75,0.0019,20150808,19960619,55962.39,0,0,719475.94
000407,胜利股份,835,--  ,64490.39,         35.47亿,         42.57亿,-6.35,2733,88,0.0014,20150801,19960703,77404.88,0,0,451492.69
000408,金谷源,147,--  ,25230.06,         26.90亿,         26.90亿,-8.91,2441,46,0.0018,20150818,19960628,25230.15,0,0,52219.67
000409,山东地矿,663,--  ,35758.94,         22.74亿,         30.06亿,-5.13,3056,68,0.0019,20150828,19960627,47270.92,0,0,362142.22
000410,沈阳机床,41906,--  ,73982.43,        122.07亿,        126.30亿,-8.92,4402,153,0.0021,20150829,19960718,76547.09,0,0,2123544.25
000411,英特集团,223,--  ,20363.83,         29.53亿,         30.08亿,-0.1,1847,28,0.0014,20150821,19960716,20744.99,0,0,618828.5
000413,东旭光电,1050,--  ,201870.59,        159.68亿,        210.57亿,0.68,4464,285,0.0014,20150829,19960925,266208,25000,0,1583377.38
000415,渤海租赁,5111,--  ,311553.69,        212.48亿,        242.01亿,-0.39,3933,175,0.0006,20150829,19960716,354860.69,0,0,9073622
000416,民生控股,676125,--  ,53161.03,         61.08亿,         61.11亿,-8.96,383,22,0.0004,20150728,19960719,53187.14,0,0,102137.46
000417,合肥百货,688,--  ,77861.07,         62.13亿,         62.23亿,3.9,2470,105,0.0014,20150808,19960812,77988.42,0,0,764885.19
000418,小天鹅Ａ,601,--  ,43774.67,         87.94亿,        127.07亿,5.7,2196,30,0.0007,20150806,19970328,63248.78,19103.58,0,1123015.75
000419,通程控股,1209,--  ,54329,         34.61亿,         34.63亿,-7.55,3059,74,0.0014,20150816,19960816,54358.26,0,0,364130.19
000420,吉林化纤,684,--  ,31830.68,         18.43亿,         41.49亿,0.89,1880,53,0.0017,20150817,19960802,71660.34,0,0,240198.47
000421,南京中北,176,--  ,35166.69,         27.78亿,         45.24亿,-6.54,3292,71,0.002,20150811,19960806,57264.69,0,0,568842.56
000422,湖北宜化,2177,--  ,87402.95,         55.76亿,         57.28亿,-4.28,2519,77,0.0009,20150730,19960815,89786.67,0,0,3854489.5
000423,东阿阿胶,626,--  ,65371.94,        282.34亿,        282.47亿,1.13,2794,51,0.0008,20150812,19960729,65402.14,0,0,798109.5
000425,徐工机械,8201,--  ,235650.2,        250.02亿,        250.55亿,-8.64,4587,311,0.0013,20150829,19960828,236142.92,0,0,4844573
000426,兴业矿业,0,--  ,48163.26,         46.91亿,         58.14亿,1.06,0,--  ,--  ,20150829,19960828,59694.44,0,0,383186.44
000428,华天酒店,249,--  ,71876.02,         42.26亿,         42.27亿,-6.05,2748,72,0.001,20150812,19960808,71892.6,0,0,911479.88
000429,粤高速Ａ,166,--  ,46865.1,         26.99亿,         72.41亿,-2.94,2523,53,0.0011,20150804,19980220,125711.77,34875,0,1240020.38
000430,张家界,707,--  ,20902.96,         18.81亿,         28.88亿,-2.37,2529,41,0.002,20150818,19960829,32083.51,0,0,76117.36
000488,晨鸣纸业,16013,--  ,110503.72,         75.70亿,        108.52亿,6.77,3419,125,0.0011,20150828,20001120,193640.55,47092.35,35220.35,6374981
000498,山东路桥,2283,--  ,35417.01,         20.26亿,         64.07亿,-4.55,2781,54,0.0015,20150825,19970609,112013.9,0,0,971190.81
000501,鄂武商Ａ,974,--  ,50718.42,         83.84亿,         87.45亿,5.15,1588,51,0.001,20150829,19921120,52902.55,0,0,1614823
000502,绿景控股,0,--  ,18332.91,         26.42亿,         26.63亿,11.06,411,88,0.0048,20150816,19921123,18481.96,0,0,29617.61
000503,海虹控股,1777,--  ,89796.7,        180.04亿,        180.21亿,-8.95,4366,170,0.0019,20150822,19921130,89882.21,0,0,136027.41
000504,南华生物,1001,--  ,30997.25,         35.03亿,         35.21亿,-1.86,2974,49,0.0016,20150828,19921208,31157.39,0,0,9250.74
000505,珠江控股,5163,--  ,36044.53,         25.77亿,         30.51亿,-8.89,3031,63,0.0018,20150829,19921221,42674.53,6497.5,0,158808.44
000506,中润资源,6787,--  ,92831.09,         59.50亿,         59.55亿,-8.91,2795,122,0.0013,20150821,19930312,92901.77,0,0,386504.97
000507,珠海港,2388,--  ,77214.38,         44.01亿,         45.00亿,-1.67,2962,59,0.0008,20150828,19930326,78954.09,0,0,553998.81
000509,华塑控股,1296,--  ,60563.23,         25.92亿,         35.33亿,-7.49,2970,121,0.002,20150829,19930507,82548.31,0,0,55616.71
000510,*ST金路,52767,--  ,60912.3,         65.24亿,         65.24亿,-3.91,1655,84,0.0014,20150820,19930507,60918.23,0,0,156533.98
000511,烯碳新材,0,--  ,115482.22,        102.89亿,        102.90亿,1.06,0,--  ,--  ,20150829,19930518,115483.2,0,0,356115.56
000513,丽珠集团,0,--  ,25010.56,        133.43亿,        133.43亿,1.06,0,--  ,--  ,20150827,19931028,39569.69,0,14559.13,793924.44
000514,渝 开 发,4858,--  ,84377.09,         50.63亿,         50.63亿,-1.22,2446,50,0.0006,20150829,19930712,84377.09,0,0,772408.06
000516,国际医学,631,--  ,70428.36,         91.13亿,        102.02亿,-6.38,3692,86,0.0012,20150801,19930809,78841.96,0,0,498930.56
000517,荣安地产,4486,--  ,101181.82,        118.69亿,        124.49亿,-8.92,2627,83,0.0008,20150901,19930806,106130.75,0,0,655976.25
000518,四环生物,3200,--  ,102953.57,         44.06亿,         44.07亿,-2.54,3559,113,0.0011,20150819,19930908,102955.63,0,0,84789.25
000519,江南红箭,0,--  ,45795.89,         85.04亿,        191.87亿,1.06,0,--  ,--  ,20150824,19931008,103322.4,0,0,494319.06
000520,长航凤凰,0,--  ,101208.34,         25.61亿,         25.61亿,1.06,0,--  ,--  ,20150829,19931025,101208.34,0,0,59625.95
000521,美菱电器,1588,--  ,59296.64,         35.28亿,         45.44亿,0.56,2145,62,0.001,20150812,19931018,76373.92,16219.95,0,1046729.19
000523,广州浪奇,879,--  ,44496.21,         52.33亿,         52.35亿,-7.85,3982,71,0.0016,20150813,19931108,44516.35,0,0,324205.25
000524,岭南控股,476,--  ,26967.16,         37.08亿,         37.08亿,-3.92,2530,34,0.0013,20150816,19931118,26967.38,0,0,84377.36
000525,红 太 阳,573,--  ,50698.3,         70.52亿,         70.56亿,6.12,1309,48,0.0009,20150731,19931028,50724.67,0,0,824670.88
000526,银润投资,2141,--  ,9619.5,         34.63亿,         34.63亿,-4.2,3256,38,0.004,20150829,19931101,9619.5,0,0,20077.4
000528,柳    工,3940,--  ,112508.75,         90.01亿,         90.02亿,3.49,2791,111,0.001,20150827,19931118,112524.21,0,0,1965533.75
000529,广弘控股,0,--  ,56719.78,         80.03亿,         82.37亿,1.06,0,--  ,--  ,20150822,19931118,58379.03,0,0,162672.13
000530,大冷股份,63,--  ,21579.05,         27.41亿,         45.74亿,-3.59,1897,32,0.0015,20150821,19931208,36016.5,11500,0,412211.41
000531,穗恒运Ａ,1139,--  ,68508.13,         52.07亿,         52.07亿,-0.24,1996,59,0.0009,20150812,19940106,68508.28,0,0,764432.06
000532,力合股份,2429,--  ,34293.08,         40.29亿,         40.50亿,-8.97,2327,59,0.0017,20150829,19940103,34470.83,0,0,117317.26
000533,万 家 乐,442,--  ,68490.24,         40.48亿,         40.83亿,-3,2234,51,0.0007,20150816,19940103,69081.6,0,0,385147.63
000534,万泽股份,0,--  ,49104.12,         46.40亿,         46.47亿,1.06,0,--  ,--  ,20150828,19940110,49178.51,0,0,374486.38
000536,华映科技,259,--  ,25086.58,         24.79亿,         76.98亿,-7.54,2760,70,0.0028,20150812,19931126,77910.28,0,0,1015181.88
000537,广宇发展,6295,--  ,51271.33,         33.22亿,         33.22亿,-6.24,2874,90,0.0018,20150715,19931210,51271.76,0,0,508788.94
000538,云南白药,66,--  ,104135.47,        743.32亿,        743.35亿,0.82,2727,45,0.0004,20150820,19931215,104139.96,0,0,1768386.38
000539,粤电力Ａ,0,--  ,255390.92,        206.61亿,        424.75亿,11.13,3840,263,0.001,20150829,19931126,525028.38,79840.79,0,7251976
000540,中天城投,0,--  ,321361.63,        235.88亿,        316.04亿,1.06,0,--  ,--  ,20150828,19940202,430569.38,0,0,4324834.5
000541,佛山照明,0,--  ,97493.5,        112.80亿,        147.19亿,1.06,0,--  ,--  ,20150828,19931123,127213.28,29278.73,0,531442.75
000543,皖能电力,8561,--  ,102515.75,        127.63亿,        131.12亿,0.9,2971,120,0.0012,20150825,19931220,105317.4,0,0,2364895.5
000544,中原环保,318,--  ,26945.98,         33.84亿,         33.84亿,0.51,1799,25,0.0009,20150807,19931208,26945.98,0,0,233505.84
000545,金浦钛业,0,--  ,40657.14,         43.38亿,        105.30亿,1.06,0,--  ,--  ,20150826,19931215,98683.31,0,0,239650.95
000546,金圆股份,2855,--  ,16937.44,         12.35亿,         43.63亿,0.51,1774,52,0.0031,20150829,19931215,59843.94,0,0,407613.5
000547,航天发展,342,--  ,83483.88,        123.39亿,        211.30亿,-5.75,3942,104,0.0012,20150820,19931130,142962.89,0,0,419927.69
000548,湖南投资,14195,--  ,49920.1,         37.94亿,         37.94亿,-8.89,3803,96,0.0019,20150829,19931220,49921.57,0,0,201881.56
000550,江铃汽车,0,--  ,51742.8,        130.24亿,        217.27亿,11.07,2101,38,0.0007,20150828,19931201,86321.39,34400,0,1955978.63
000551,创元科技,20,--  ,40008.03,         30.25亿,         30.25亿,-2.39,2001,68,0.0017,20150825,19940106,40008.03,0,0,323627
000552,靖远煤电,7039,--  ,35412.51,         28.79亿,         92.97亿,7.75,1849,74,0.0021,20150811,19940106,114348.54,0,0,860987.38
000553,沙隆达Ａ,0,--  ,36389.12,         38.94亿,         63.55亿,1.06,0,--  ,--  ,20150805,19931203,59392.32,22999.58,0,323290.22
000554,泰山石油,9912,--  ,36264.96,         30.32亿,         40.19亿,-8.95,3926,118,0.0032,20150829,19931215,48079.32,0,0,104312.88
000555,神州信息,39,--  ,11710.58,         36.54亿,        143.18亿,-8.95,2658,30,0.0025,20150826,19940408,45890.6,0,0,697557.13
000557,*ST广夏,0,--  ,66800.49,         38.14亿,         39.18亿,6.02,836,300,0.0045,20150729,19940617,68613.39,0,0,27413.4
000558,莱茵体育,27807,--  ,62979.5,        102.97亿,        140.53亿,-8.96,3947,91,0.0015,20150816,19940509,85948.27,0,0,433728.91
000559,万向钱潮,208,--  ,228990.09,        359.51亿,        360.21亿,2.15,4534,256,0.0011,20150826,19940110,229429.95,0,0,1037404.38
000560,昆百大Ａ,1177,--  ,16542.36,         27.38亿,         77.03亿,-8.95,1379,20,0.0012,20150901,19940202,46542.78,0,0,589363.81
000561,烽火电子,11370,--  ,59399.19,         49.18亿,         49.34亿,-8.94,3741,58,0.001,20150826,19940509,59584.46,0,0,186613.06
000563,陕国投Ａ,1061,--  ,121466.72,        111.99亿,        111.99亿,5.95,2258,87,0.0007,20150821,19940110,121466.72,0,0,577893.25
000564,西安民生,4153,--  ,33580.85,         27.03亿,         60.61亿,-4.68,3773,88,0.0026,20150825,19940110,75292.63,0,0,764131.88
000565,渝三峡Ａ,16485,--  ,43359.21,         41.80亿,         41.80亿,-8.93,3763,72,0.0017,20150828,19940408,43359.21,0,0,107021.21
000566,海南海药,0,--  ,49434.3,        247.02亿,        272.51亿,1.06,0,--  ,--  ,20150829,19940525,54534.03,0,0,448102.94
000567,海德股份,208,--  ,15036.08,         19.02亿,         19.13亿,-5.72,2474,37,0.0024,20150806,19940525,15120,0,0,21852.39
000568,泸州老窖,75,--  ,140052.55,        304.75亿,        305.13亿,2.74,3289,99,0.0007,20150825,19940509,140225.25,0,0,1359022.13
000570,苏常柴Ａ,2220,--  ,41137.42,         31.10亿,         42.44亿,-5.14,2051,53,0.0013,20150820,19940701,56137.42,15000,0,339372.59
000571,新大洲Ａ,1871,--  ,73575.04,         37.01亿,         40.95亿,-1.84,2422,65,0.0009,20150826,19940525,81406.39,0,0,488855.56
000572,海马汽车,9661,--  ,164209.52,         95.90亿,         96.05亿,4.24,3428,134,0.0008,20150829,19940808,164463.64,0,0,1513222.75
000573,粤宏远Ａ,1844,--  ,62228.57,         27.19亿,         27.21亿,-2.47,2464,79,0.0013,20150828,19940815,62275.55,0,0,321473.72
000576,广东甘化,100,--  ,25617.61,         23.88亿,         41.27亿,-4.32,2168,53,0.0021,20150816,19940907,44286.12,0,0,155411.27
000581,威孚高科,404,--  ,84775.64,        196.76亿,        236.79亿,3.04,3209,87,0.001,20150825,19980924,102020.1,17238,0,1545258.25
000582,北部湾港,8,--  ,14205.9,         23.07亿,        154.94亿,6.65,1304,25,0.0018,20150819,19951102,95404.57,0,0,1203193.63
000584,友利控股,2591,--  ,61061.48,         58.99亿,         59.25亿,-8.58,3295,69,0.0011,20150829,19951128,61332.42,0,0,318831.97
000585,东北电气,931,--  ,60942.1,         30.90亿,         31.20亿,-7.42,4201,124,0.002,20150818,19951213,87337,0,25795,49261.78
000586,汇源通信,0,--  ,19344,         38.09亿,         38.09亿,1.06,0,--  ,--  ,20150819,19951220,19344,0,0,46485.89
000587,金叶珠宝,0,--  ,55713.46,        109.20亿,        109.20亿,1.06,0,--  ,--  ,20150829,19960425,55713.46,0,0,334599.78
000589,黔轮胎Ａ,2860,--  ,74540.72,         42.19亿,         43.89亿,-3.33,3092,94,0.0013,20150829,19960308,77546.42,0,0,1128800.25
000590,*ST古汉,0,--  ,22323.61,         45.56亿,         45.58亿,1.06,0,--  ,--  ,20150820,19960119,22333.13,0,0,57575.31
000591,桐 君 阁,667,--  ,27463.09,         34.96亿,         34.96亿,-7.49,2161,42,0.0015,20150725,19960208,27463.09,0,0,328309.72
000592,平潭发展,14901,--  ,83770.46,        102.87亿,        104.06亿,-8.91,4080,134,0.0016,20150829,19960327,84740.7,0,0,239807.13
000593,大通燃气,9154,--  ,22317.48,         18.03亿,         22.62亿,-8.96,3187,70,0.0032,20150829,19960312,27994.01,0,0,74654.68
000595,宝塔实业,0,--  ,21681.03,         24.43亿,         41.97亿,1.06,0,--  ,--  ,20150827,19960419,37244.01,0,0,131186.38
000596,古井贡酒,64,--  ,38359.91,        114.35亿,        150.12亿,1.43,2189,26,0.0007,20150824,19960927,50360,12000,0,703417.38
000597,东北制药,419,--  ,43854.91,         30.48亿,         32.99亿,-2.14,2129,46,0.0011,20150831,19960523,47465.51,0,0,873394
000598,兴蓉环境,1745,--  ,298621.88,        190.52亿,        190.52亿,1.37,3678,246,0.0008,20150731,19960529,298621.88,0,0,1270079.63
000599,青岛双星,1314,--  ,52481.05,         33.48亿,         43.04亿,-5.12,3120,59,0.0011,20150826,19960430,67457.89,0,0,555444.19
000600,建投能源,970,--  ,109005.09,         99.30亿,        163.22亿,6.74,2785,93,0.0008,20150829,19960606,179162.64,0,0,2466041
000601,韶能股份,0,--  ,99395.35,        125.24亿,        136.15亿,1.06,0,--  ,--  ,20150828,19960830,108055.15,0,0,854991.69
000603,盛达矿业,290,--  ,44077.07,         59.94亿,         68.68亿,5.84,2651,45,0.001,20150828,19960823,50498.87,0,0,139277.2
000605,渤海股份,658,--  ,11843.54,         15.92亿,         26.21亿,-8.31,1534,31,0.0027,20150827,19960913,19499.1,0,0,234640.66
000606,青海明胶,289,--  ,40596.35,         26.06亿,         30.31亿,-4.53,2112,63,0.0015,20150801,19961004,47211.35,0,0,127766.42
000607,华媒控股,926,--  ,48773.19,         37.36亿,         77.96亿,-2.34,2612,63,0.0013,20150813,19960830,101769.84,0,0,210893
000608,阳光股份,452,--  ,74991.32,         32.17亿,         32.17亿,-1.44,2888,92,0.0012,20150805,19960919,74991.32,0,0,1047800.19
000609,绵世股份,17215,--  ,27411.89,         27.96亿,         30.41亿,-8.91,3346,73,0.0027,20150814,19961010,29809.55,0,0,195881.88
000610,西安旅游,2523,--  ,19508.15,         19.51亿,         23.67亿,-5.39,2147,40,0.0021,20150808,19960926,23674.78,0,0,103979.61
000611,*ST蒙发,264165,--  ,31906.42,         26.20亿,         26.42亿,-3.92,156,19,0.0006,20150828,19961008,32182.19,0,0,69138.15
000612,焦作万方,3796,--  ,95778.11,         57.28亿,         71.93亿,5.97,2859,98,0.001,20150826,19960926,120284.46,0,0,912948.13
000613,大东海A,784,--  ,26102.67,         28.40亿,         39.61亿,0.97,2826,100,0.0038,20150831,19970128,36410,8800,0,10992.03
000615,湖北金环,1256,--  ,21167.21,         19.07亿,         19.07亿,-2.68,2526,42,0.002,20150807,19961016,21167.73,0,0,123467.8
