代码,名称,营业利润,投资收益,利润总额,税后利润,净利润,未分利润,经营现金流,总现金流,股东人数,人均持股,人均市值,换手%%,涨速%%,最低,昨收
002276,万马股份,10530.53,15.46,12145.71,10742.5,10815.96,91908,-15680.65,-37287.21,36184,23133,34.37万,8.97,-1.52,14.82,16.47
002277,友阿股份,34243.48,4278.85,33328.98,24239.63,25012.5,170824.41,-68023.47,-10083.51,46916,12067,13.49万,3.98,-0.62,10.3,10.97
002278,神开股份,3879.01,284.26,4327.51,3790.2,3639.68,29352.53,-4326.41,-5190.24,26740,9550,15.37万,0,--  ,--  ,16.09
002279,久其软件,590.02,763.28,1022.3,465.1,726.53,24055.34,-5956.75,-3556.62,13349,6719,18.44万,7.48,-0.18,26.5,28.77
002280,联络互动,16745.73,220.36,16755.73,14189.1,14004.01,35712.64,44.02,-30010.55,33422,3299,7.31万,7.12,1.37,21.38,23.76
002281,光迅科技,12022.07,0,12998.03,11449.82,11449.82,75769.68,3383.37,-43465.98,11561,14084,45.76万,2.46,0.43,29.6,31.49
002282,博深工具,1524.77,-111.91,1936.43,1577.27,1577.27,13488.79,3512.23,1970.55,27931,6673,5.41万,2.43,-0.73,7.91,8.49
002283,天润曲轴,8511.38,0,9646.16,8268.23,8186.56,79639.11,31484.36,-951.28,27976,19996,21.00万,2.51,-1.03,10.49,11.65
002284,亚太股份,11982.61,1282.77,12420.75,10790.17,10353.13,55593.3,10308.67,10089.37,47240,11060,9.57万,1.56,-0.91,8.41,9.14
002285,世联行,23176.85,475.72,23102.35,17011.53,16295.2,59120.61,5651.75,172186.02,48968,24948,29.51万,2.31,-0.16,10.35,11.38
002286,保龄宝,3129.9,754.43,3398.59,2905.28,2905.28,26517.05,-8957.46,14317.05,22774,11671,16.92万,0,--  ,--  ,14.5
002287,奇正藏药,16588.1,1093.85,16802.64,15162.45,15226.09,56235.17,24621.56,8267.92,10879,37320,96.47万,0.7,-0.19,24.55,26.69
002288,超华科技,2564.67,0,2769.83,2489.01,2245.93,24585.93,3162.33,-568.31,49703,13283,8.24万,7.3,0,6.2,6.89
002289,宇顺电子,-2866.48,42.06,-2652.26,-2604.23,-2603.59,-36075.23,-15502.38,-18344.74,11359,11056,49.70万,0,--  ,--  ,44.95
002290,禾盛新材,2349.2,-2.88,2523.24,2227.7,2227.7,13258.8,2407.53,-7016.61,13885,9823,15.47万,6.2,-0.19,15.59,16.99
002291,星期六,3260.37,-24.15,3768.93,2799.87,2702.4,40529.28,663.9,40802.48,18424,19722,14.87万,1.19,-1.17,7.05,7.61
002292,奥飞动漫,27546.63,7915.81,29351.24,24967.6,25518.78,117654.92,-3999.28,-26696.88,24275,26681,66.25万,9.92,0,24.83,27.59
002293,罗莱家纺,20569.4,1845.8,21728.73,18722.56,18377,106829.57,7058.82,-2722.11,59596,11743,16.84万,1.17,0.56,12.61,13.6
002294,信立泰,72706.55,471,73117.53,62041.3,61907.82,238600.84,39128.1,-32162.61,45716,10044,26.23万,3.33,0.07,23.5,25.17
002295,精艺股份,479.12,-28.61,560,285.45,285.45,18110.82,6882.41,3061.4,15849,11494,19.37万,0.07,0,16.85,18.72
002296,辉煌科技,3197.21,-53.33,3664.18,3102.01,3102.01,34566.35,1040.55,6523.01,33441,8606,11.04万,13.15,-0.15,12.83,14.25
002297,博云新材,-3136.9,-2345.29,-2790.03,-2804.12,-2907.7,4100.45,-1311.1,-2242.96,38743,9401,8.98万,3.48,-0.52,9.3,10.19
002298,鑫龙电器,285.78,-250.99,1258.83,963.53,909,31530.06,6085.71,-2521.45,26945,13166,13.94万,9.72,0,10.59,11.77
002299,圣农发展,-41488.44,-230.32,-40953.76,-40895.85,-35306.95,4687.16,-10014.86,46111.01,20781,43300,63.65万,1.02,-1.34,14.3,15.18
002300,太阳电缆,7372.07,285.76,12495.48,9357.57,9032.85,35088.96,-4626.7,9864.48,31102,14540,11.85万,0.81,-0.48,7.81,8.27
002301,齐心集团,-2447.81,61.12,-1680.96,-1967.95,-1995.76,31242.05,-6478.5,-1296.57,20709,16714,43.29万,0,--  ,--  ,25.9
002302,西部建设,8519.05,0,8802.61,5452.81,5068.51,153937.42,-75648.9,-86054.21,31199,8683,12.05万,2.62,-0.35,13.85,15.39
002303,美盈森,17041.97,44.54,17510.27,14833,14489.72,102980,12017.1,-14161,24505,30819,36.00万,0,--  ,--  ,11.68
002304,洋河股份,424381.81,8750.88,424795.06,318474.41,318486.25,1796802.38,290323.59,113990.92,24171,50815,296.66万,0.76,0.03,55,57.34
002305,南国置业,-9242.25,198.41,-9239.41,-12140.07,-11942.96,117574.17,-193057.92,38987.46,47641,22980,10.78万,1.09,-0.21,4.61,4.88
002306,*ST云网,-9998.63,0.6,-10914.17,-11001.75,-10433.13,-124149.8,-2366.92,-6677.56,87163,7027,6.48万,0,--  ,--  ,9.22
002307,北新路桥,-219.33,480.78,561.18,584.05,1504.75,33303.4,-20332.11,27279.28,69716,7994,7.55万,6.06,0,9.44,10.49
002308,威创股份,359.65,36.36,2484.3,1784.7,1796.59,49942.65,8700.62,-46060.2,32270,25891,80.19万,0,--  ,--  ,30.97
002309,中利科技,-26867.65,1231.27,-26056.55,-27858.8,-20585.73,98460.65,4801.8,-85680.3,24831,14509,18.98万,4.88,0.38,12.3,13.01
002310,东方园林,17654.24,-86.66,17902.95,15449.07,15727.69,277551.44,-37546.73,-75708.53,34516,16079,61.58万,0,--  ,--  ,38.3
002311,海大集团,35464.95,3303.8,36659.1,29803.75,28796.65,157463.23,115803.72,63874.38,27550,21962,26.33万,3.52,0.58,10.81,11.41
002312,三泰控股,-12510.08,-101.54,-10552.5,-9201.28,-9201.28,20090.48,-14390.82,-38121.2,30377,17834,25.93万,8.49,0,14.54,16.15
002313,日海通讯,-1804.79,-95.72,-1364.35,-2819.24,-3025.7,38247.4,-11394.15,-9999.26,21937,14223,21.05万,0,--  ,--  ,14.8
002314,雅致股份,-11300.6,624.03,-10636.44,-12467.8,-11787,23771.23,23186.67,11198.01,45212,12825,10.30万,3.63,0,8.03,8.92
002315,焦点科技,12505.49,12205.05,13146.59,10879.3,10922.63,38271.51,-1886.56,8129.88,14931,4040,23.38万,9.31,-0.05,49.8,53
002316,键桥通讯,-290.1,0,1657.5,1135.95,1698.93,18712.34,11689.6,-6841.71,16916,18599,20.46万,0,--  ,--  ,11
002317,众生药业,16797.75,953.53,17003.25,14590.2,14898.44,65372.73,12758.92,-5044.93,20775,22818,26.01万,3.92,-0.52,10.2,11.16
002318,久立特材,7979.06,-20.01,8504.82,7104.58,7369.58,80912.43,5194.18,-3830.7,10694,30266,80.54万,5.8,0,26.61,29.57
002319,乐通股份,411.89,0,458.53,408.56,222.56,12899.49,3815.65,2559.57,16923,11815,13.06万,3.9,-1.33,11.05,12.25
002320,海峡股份,12773.73,0,13501.48,10178.82,10092.62,48329.44,16291.54,1560.79,21052,20230,55.49万,0,--  ,--  ,27.43
002321,华英农业,1532.31,19.31,2347.68,2235.03,2102.34,13243.75,14501.72,-16686.89,46228,9160,6.32万,4.19,1.47,6.8,7.55
002322,理工监测,-18.87,60,345.42,211.7,278.56,39368.18,112.45,-4166.49,24353,10765,13.13万,4.04,-0.48,11.92,13.02
002323,雅百特,73.83,84.17,612.03,518.56,518.56,15517.32,288.68,3897.46,8907,9375,22.02万,1.65,-0.46,22.52,24.91
002324,普利特,17689.59,10.45,18236.55,15755.05,15755.05,80176.5,-4033.31,-17225.5,14618,10702,17.96万,3.19,-0.41,16.1,17.35
002325,洪涛股份,17125.35,0,17585.1,14586.76,15236.73,102109.81,-32706.11,33722.2,30087,21199,52.74万,0,--  ,--  ,24.88
002326,永太科技,12770.46,1271.54,13250.59,11020.37,11066.12,39381.78,1102.87,46391.65,80823,5182,6.19万,4.43,-0.33,11.7,12.75
002327,富安娜,23071.59,1457.87,23390.15,18291.36,18291.38,129684.42,-4605.74,-39422.03,63900,7067,6.63万,5.71,-0.31,8.47,9.1
002328,新朋股份,11319.96,1744.98,11990.38,9280.86,5418.08,50918.62,1559.02,-12402.87,27223,12032,9.07万,6.58,-1.04,7.39,8.02
002329,皇氏集团,7999.81,84.37,8173.55,7272.15,5661.47,27514.7,1368.78,-7797.61,8160,17768,43.12万,7.33,0,24.27,26.97
002330,得利斯,2892.83,0,2875.11,2451.13,2456.6,30353.15,5864.16,724.16,26001,16812,14.66万,5.98,0,8.72,9.69
002331,皖通科技,2841.78,681.93,3144.87,2577.37,2340.1,26052.47,-3171.8,-12232,27817,6945,9.20万,9.7,0,13.03,14.44
002332,仙琚制药,4793.37,725.9,4824.87,4375.43,4239.37,17940.32,4998.14,-8712.45,29382,15915,16.85万,4.53,-0.18,9.59,10.28
002333,罗普斯金,-2199.63,-77.76,11806.19,9775.46,9775.46,34683.93,596.73,-14908,12529,19354,27.29万,0.92,0.35,12.8,14.1
002334,英威腾,5114.81,1256.58,7228.66,6574.81,6195.41,51187.7,-5497.03,-9417.32,69604,7338,5.31万,3.43,0,6.95,7.49
002335,科华恒盛,1591.71,77.22,2718.21,1883.7,1645.68,44419.69,-13962.82,-1507.49,12176,15024,26.38万,3.48,-0.45,17.56,19.51
002336,人人乐,7131.57,757.27,7462.28,4524.7,4524.7,-20889.13,-10762.51,4673.12,21470,18631,19.34万,1.83,-0.19,10.15,10.79
002337,赛象科技,-2579.82,312.07,-1957.06,-2115.66,-2374.57,18549.6,-19570.4,-24340.25,117799,4795,3.27万,1.92,0.14,6.6,7.2
002338,奥普光电,1776.76,0,4028.48,3440.43,3159.37,21537.15,-3481.48,-4786.33,6360,18583,71.36万,1.18,-0.36,38.38,42.52
002339,积成电子,2344.99,-2.39,2962.73,1904.57,1952.95,45578.03,-22896.53,-18200.47,29593,10012,14.70万,6.5,-0.33,14.65,16.26
002340,格林美,12687.8,87.04,18071.65,16323.7,13200.42,74358.21,-55697.51,-33404.8,83428,14007,13.73万,3.55,-0.6,8.91,9.56
002341,新纶科技,2873.79,-34.61,2273.42,1954.21,2295.86,37406.87,6679.38,-15226.25,25355,10114,9.56万,6.92,-0.52,8.72,9.37
002342,巨力索具,2784.62,133.15,3409.62,3016.5,3016.5,65815.93,6556.22,-3827.83,83241,9926,5.57万,3.35,-0.53,5.43,5.75
002343,禾欣股份,7100.56,1272.45,7192.12,6348.64,4937.55,30709.55,2679.32,6282.7,20356,7504,30.96万,0,--  ,--  ,41.26
002344,海宁皮城,67015.61,1521.64,70631.8,52913.18,51345.85,312304.41,7355.96,62876.28,39124,28190,38.14万,2.21,-0.29,12.33,13.11
002345,潮宏基,15735.9,750.76,17485.39,14151.23,14098.17,61036.28,18735.07,8152.57,33761,24647,48.26万,0,--  ,--  ,19.58
002346,柘中股份,12008.62,3275.28,12077.87,9682.46,9682.46,58834.82,6253.41,6206.9,14558,4808,6.57万,33.46,0,11.43,12.43
002347,泰尔重工,471.5,365.43,868,804.6,806.76,20335.07,-6991.61,-6647.12,16131,8995,19.80万,0,--  ,--  ,22.01
002348,高乐股份,3564.8,71.6,3549.16,3013.29,3013.29,23078.93,1603.2,-877.7,26498,13985,21.86万,0,--  ,--  ,15.63
002349,精华制药,4042.06,92,4225.26,3291.35,3138.17,19949.4,1448.27,-19126.3,12399,15942,32.83万,1.9,-0.14,20.3,22.31
002350,北京科锐,387.1,103,1518.93,1159.18,1237.31,28451.81,-14739.4,-16213.34,12919,16891,25.18万,3.27,0.06,14.71,16.34
002351,漫步者,6589.83,3058.9,6605.22,5220.39,5355.06,31640.5,2378.38,2762.93,14566,9191,14.52万,4.11,0.44,15.7,17.19
002352,鼎泰新材,1534.72,0.85,1592.52,1386.25,1386.25,4584.1,3940.96,-3196.57,6208,9838,17.41万,3.33,-0.05,17.31,18.93
002353,杰瑞股份,11443.63,2716.46,13050.73,10253.42,10123.95,294371.22,7158.32,13240.37,74997,8859,39.29万,0,--  ,--  ,44.35
002354,天神娱乐,14386.49,188.78,14386.26,13990.9,14273.02,59855.55,14955.75,-152.14,9465,6394,41.82万,2.09,2.18,63.12,69.36
002355,兴民钢圈,1795.17,64.37,2174.95,1497.58,1494.6,41206.81,4020.46,-3473.03,27711,12364,8.98万,3.63,0,6.08,6.6
002356,浩宁达,5493.18,2882.4,7135.25,5528.6,5762.28,18549.42,-27678.5,2485.25,22014,10902,17.43万,1.44,0.37,14.76,15.86
002357,富临运业,8436.24,1161.45,8757.87,7408,7230.55,39496.44,10982.48,26265.15,11600,16874,25.75万,4.18,-0.39,14.66,15.8
002358,森源电气,10729.44,199.38,11056.42,9499.99,9389.37,76136.93,16626.98,32549.14,35276,18940,35.78万,0,--  ,--  ,18.89
002359,齐星铁塔,18.6,5.61,91.35,89.42,94.33,3487.9,-4678.08,-6019.76,19934,16853,26.29万,6.69,-1.63,15.2,16.77
002360,同德化工,6501.21,-99.98,6765.12,5108.75,4472.1,41039.48,5212.14,-1442.92,18199,13467,9.74万,5.54,-1.63,7.01,7.78
002361,神剑股份,5509.16,-73,5969.93,5202.28,5194.05,27368.55,5712.37,2558.46,24325,8094,10.14万,0,--  ,--  ,12.53
002362,汉王科技,-644.85,611.47,127.43,99.92,51.08,-47946.37,-262.26,-13793.97,41612,4233,6.41万,4.34,-0.32,14.41,15.66
002363,隆基机械,3255.51,-19.02,4396.06,3603.28,3725.96,28887.1,13807.67,4744.55,32721,9128,11.05万,6.2,-0.08,12.11,13.46
002364,中恒电气,6768.31,-202.86,7528.97,6413.85,6477.12,45799.4,-4494,-11062.1,27582,15373,22.61万,1.9,-0.6,14.51,16.02
002365,永安药业,1256.56,720.03,1533.02,1205.79,1230.06,26043.39,2281.5,2599.49,19940,7337,8.60万,3.73,-0.5,11.5,12.47
002366,丹甫股份,1124.81,0,1236.7,1147.5,1147.5,10253.33,4187.71,4114.01,9471,11533,51.32万,1.74,-0.44,42.28,46.38
002367,康力电梯,24383,2564.78,24135.89,20067.17,20026.53,85447.75,3072.37,-1245.75,26847,17131,39.54万,0.01,0,23.08,25.64
002368,太极股份,75.76,-281.56,1854.56,1369.95,1639.89,56204.06,-54642.17,-46754.39,7349,49178,322.21万,0,--  ,--  ,65.52
002369,卓翼科技,-2637.43,0,-1743.25,-2455.23,-2388.62,18683.65,26195.45,5611.74,33351,12441,24.92万,0,--  ,--  ,20.03
002370,亚太药业,3688.21,35.92,3674.12,3156.56,3156.56,17259.75,2706.38,-1186.49,11759,14789,36.16万,0,--  ,--  ,24.45
002371,七星电子,1705.76,0,3911.56,3199.88,2002.9,60470.46,-8252.05,-7657.74,7076,47688,90.80万,1.3,0,19.04,21.15
002372,伟星新材,21678.65,690.93,22422.42,19043.25,19043.25,47304.25,11408.55,-17728.63,22584,22472,32.31万,1.31,-0.27,13.4,14.29
002373,千方科技,11897.32,1007.96,12857.17,11813.37,10954.87,62195.48,-19620.5,-22713.25,13065,16661,40.20万,3.56,0.16,21.65,23.41
002374,丽鹏股份,5797,439.97,6042.6,5190.27,5067.97,21376.57,-6587.18,-2924.91,7432,24855,25.92万,6.31,-0.85,10.43,11.57
002375,亚厦股份,59244.93,498,59549.4,50084.48,48342.06,343444.59,-89577.77,-136110.56,27666,40842,57.42万,3.22,0.14,12.58,13.52
002376,新北洋,7104.66,355.5,8994.17,7619.77,6105.62,74728.07,9798.53,17129.72,44312,12384,13.26万,2.89,-0.09,9.9,10.51
002377,国创高新,1243.3,138.03,1336,808.1,445.27,13099.75,-7897.65,-10340.12,22499,19155,11.07万,4.17,-0.51,5.65,6.15
002378,章源钨业,-4412.43,406.89,-2342.58,-2830.15,-2830.15,37794.56,12729.57,8580.98,25857,33122,26.46万,2.65,-0.37,7.89,8.65
002379,鲁丰环保,-7939.85,0,-7943.06,-6475.03,-6475.03,-25929.82,-11713.55,-24320.98,98642,6766,2.71万,3.97,-0.49,3.89,4.13
002380,科远股份,1637.06,0,2667.53,2475.68,2479.91,20288.07,-1254.57,-5324.98,7977,6437,19.21万,4.73,-0.79,29.66,32.77
002381,双箭股份,5885.85,5.86,6178.4,5132.45,5235.03,44128.78,10208.46,-6193.01,20147,10767,8.99万,2.95,-0.35,8.07,8.78
002382,蓝帆医疗,10713.45,260.2,10842.1,8089.32,8210.28,30736.65,15179.9,-1787.35,18221,13115,23.46万,2.37,-0.33,17,17.88
002383,合众思壮,-945.1,-435.08,474.15,334.73,372.17,19712.86,-5800.95,-11508.37,15500,8963,23.43万,4.92,0.03,26.13,29.03
002384,东山精密,4972.56,84.41,5511.65,5455.37,5351.71,19123.81,-18455.76,41061.71,17830,26489,58.86万,0,--  ,--  ,22.22
002385,大北农,20165.02,1273.35,24308.75,19670.76,20621.25,268566,-34171.75,-147741.77,143702,10712,13.07万,3.25,0.16,11.04,11.69
002386,天原集团,-7910.31,-409.67,-8518,-9882.92,-8459.19,113928.71,3264.54,-66966.47,48538,13838,7.46万,1.33,0,5.25,5.48
002387,黑牛食品,-7468.06,0,-7163.62,-7498.87,-7498.87,26251,-1821.03,-8627.32,49723,5804,5.76万,13.33,0,8.32,9.03
002388,新亚制程,204.88,8.72,332.88,166.83,141.03,7171.63,3016.13,1615.43,11443,31812,19.18万,7.77,0,6.03,6.7
002389,南洋科技,5712.99,-13.3,5993.93,5058.72,4421.25,33104.69,5210.83,271.73,35718,10823,11.26万,4.4,0,10.2,11.12
002390,信邦制药,10027.45,66.8,10918.33,8425.92,8141.58,41864.51,-5720.85,-4352.12,85431,8590,9.07万,5.36,0.28,9.5,10.56
002391,长青股份,15779.35,333.39,15558.4,13060.05,13150.12,67130.9,16332.65,5450.21,20493,10409,12.91万,2.35,-0.95,12.02,12.58
002392,北京利尔,10051.76,1161.15,10898.82,9723.99,9700.66,74656.31,-5447.18,-2222.03,72814,7708,5.57万,0,--  ,--  ,7.22
002393,力生制药,12092.94,1155.91,12195.94,10647.62,10647.49,74735.7,8963.86,-6201.85,16292,11158,35.48万,2.34,-0.12,29.56,30.91
002394,联发股份,16747.68,3512.31,17116.13,11919.26,11715.66,114822.7,14917.05,-5622.56,21200,15269,17.53万,2.23,-0.17,11,11.45
002395,双象股份,605.42,0,716.18,563.4,625.84,15860.45,8125.49,5857.74,9769,18303,26.03万,5.3,0,14.22,15.8
002396,星网锐捷,-5678.56,260.55,3314.06,3956.38,2162.48,89322.24,-29773.28,-80952.86,29153,18063,27.06万,3.12,-0.46,14.11,15.68
002397,梦洁家纺,6479,0,6782,5635.55,5634.81,31178.4,-10211.4,-20045.93,59340,5529,3.93万,2.41,0.14,7,7.61
002398,建研集团,13058.42,351.26,13513.25,11087.13,10937.25,95897.56,9400.98,-10772.3,20708,12212,13.86万,2.75,-0.08,11,11.83
002399,海普瑞,33457.65,1030.41,33749.28,27226,27507.85,140315.09,41344.32,27953.6,30999,25814,68.97万,0,--  ,--  ,26.72
002400,省广股份,24756.5,1056.1,26338.93,20352.14,19796.92,106089.38,18600.86,11608.44,32192,25043,57.35万,0,--  ,--  ,22.9
002401,中海科技,3923.93,-300.1,3925.25,3235.86,3090.26,25905.15,-2915.4,-7786.99,25131,11884,22.42万,0,--  ,--  ,18.87
002402,和而泰,3762.33,1062.45,3808.55,3464.1,3428.46,15881.01,1731.04,-5104.35,23830,10128,11.90万,3.86,0,11.75,13.06
002403,爱仕达,7202.55,1113.04,7496.46,5785.23,5760.5,32536.3,870.67,-6052.31,17959,12383,15.59万,2.35,-0.15,12.35,13.31
002404,嘉欣丝绸,5042.95,280.35,5283.87,3943.87,3666.33,30902.75,1441.81,-19.27,65099,6038,3.48万,3.26,0.17,5.61,6.05
002405,四维图新,5087.91,512.9,8405.05,6950.55,7118.52,72912.88,8963.42,-50709.7,52786,12484,26.24万,5.59,0,21.02,23.36
002406,远东传动,7096.27,345.86,7258.58,6380.93,6377.14,61624.08,5430.87,2389.35,60455,5819,4.03万,3.98,-0.28,6.6,7.07
002407,多氟多,64.41,275.66,638.37,190.07,951.05,23450.48,1458.12,21269.21,27372,6830,14.82万,15.45,-0.45,20.15,22.36
002408,齐翔腾达,14730.3,916.67,15764.67,12838.61,12707.32,134072.81,13338.7,13963.05,28912,25773,28.07万,2.81,-0.36,9.9,10.65
002409,雅克科技,5017.02,1721.84,4967.64,3870.88,3870.88,34237.46,6055.77,1577.58,7278,11340,24.90万,0,--  ,--  ,21.96
002410,广联达,-2195.01,287.06,6278.31,5949.31,5543.83,82090.28,-23602.27,-98999.53,49865,14357,36.05万,0,--  ,--  ,25.11
002411,九九久,87.15,-45.52,1390.99,1323.46,528.03,22421.75,-4776.39,-29.96,29222,8847,8.42万,3.06,0.74,9.3,9.9
002412,汉森制药,6317.83,0,6420.45,5506.83,5398.7,38354.84,1196.85,-4684.53,15133,18950,45.58万,0,--  ,--  ,24.05
002413,常发股份,4244.22,0,4129.23,3178.6,3178.6,38364.25,2053.83,1794.45,8341,26436,137.52万,0,--  ,--  ,52.02
002414,高德红外,2007.21,366.39,3969.71,3654.63,3654.63,31797.52,-10732.48,-15942.75,18044,25748,101.34万,0,--  ,--  ,39.36
002415,海康威视,217190.45,7916.46,261799.3,221809.02,220652.17,908903.31,-191915.91,-84477.32,129591,24311,78.74万,0,--  ,--  ,32.39
002416,爱施德,10340.96,135,9984.48,7801.4,8041.5,166388.77,23391.85,-1631.1,23198,41824,31.74万,1.68,-0.13,7.48,8.28
002417,*ST元达,-6772.07,-52.39,-6590.2,-6590.2,-6551.33,-35340.81,-5331.75,534.09,10955,19715,24.11万,3.36,0,12.23,12.87
002418,康盛股份,991.59,477.32,1772.75,1600.18,1647.31,30649.23,-16378.37,31069.7,10642,17340,49.87万,0,--  ,--  ,28.76
002419,天虹商场,35043.57,2636.87,33343.12,20987.2,21035.77,159811,-28757.5,-43214.01,21263,37633,41.32万,0.95,0.64,9.58,10.34
002420,毅昌股份,11.66,42.61,1209.2,1141.43,1115.1,37013.06,13380.32,20588.02,31263,12387,8.25万,1.45,-0.29,6.42,6.83
002421,达实智能,5411.58,0,6029.6,4945.28,4399.45,35132.05,-7991.12,11878.05,47630,9543,12.20万,0,--  ,--  ,12.78
002422,科伦药业,44357.44,2045.9,47864.07,40519.85,40925.21,548305.63,65206.71,-16950.11,39365,18063,29.23万,4.83,0,14.79,15.65
002423,中原特钢,-2967.9,548.37,-2513.96,-2407.74,-2407.74,39878.06,374.51,-27094.66,17680,26330,22.64万,1.8,0,8.6,9.56
002424,贵州百灵,20438.76,119.94,21699.6,18206.59,17970.53,73786.1,20345.35,3747.46,16194,13946,75.24万,6.25,0.14,49.46,54.95
002425,凯撒股份,169.24,859.89,843.14,-127.85,1591.43,22694.95,-9656.07,-136.44,13314,28452,66.66万,0,--  ,--  ,23.43
002426,胜利精密,11278.03,275.88,11669.07,10154.05,9615.11,54802.6,-30929.03,-60215.44,31001,19062,32.83万,0,--  ,--  ,17.22
002427,尤夫股份,8039.08,0,8144.11,6812.71,6508.72,29861.51,12933.99,96804.81,16802,19846,19.11万,3.14,-0.31,9.11,10.04
002428,云南锗业,4751.18,0,6790.68,5693.02,5613.15,52832.95,2987.03,-6288.72,46550,13601,14.16万,3.87,-0.38,9.58,10.29
002429,兆驰股份,29216.55,10163.3,31959.8,26920.02,26952.59,240984.7,-63139.8,-6082,41605,38121,29.51万,1.86,-0.25,7.52,8.14
002430,杭氧股份,8641.58,-144.65,10053.41,6964.58,6139.91,156983.8,18448.4,-7728.37,25514,31721,25.35万,1.55,-0.24,7.01,7.44
002431,棕榈园林,16615.11,1120.06,16946.85,13858.57,12803.32,147225.47,-54607.01,34784.39,20697,14650,24.57万,0,--  ,--  ,16.77
002432,九安医疗,-5243.47,-781.67,-4994.85,-3996.03,-3996.03,2270.16,-7056.72,6817.81,41379,8990,11.21万,4.72,0,12.47,13.86
002433,太安堂,8754.7,193.46,8889.21,7706.75,7475.77,56264.61,-25689.98,-9035.86,39260,17192,17.97万,1.45,-0.28,9.9,10.4
002434,万里扬,14449.92,-40.93,14996.07,12859.67,12559.96,72774.3,1131.46,1377.16,15837,31369,38.52万,1.55,9.44,11.21,12.34
002435,长江润发,2163.06,0,2245,1766.85,1766.85,20347.82,2261.1,-610.02,13631,13130,13.21万,0,--  ,--  ,10.06
002436,兴森科技,5339.12,240.17,5672.1,5572.85,5009.2,53636.35,-2474.18,10065.55,28455,11361,14.14万,0,--  ,--  ,12.45
002437,誉衡药业,39668.35,259.73,41026.96,34066.23,32369.46,116910.21,36050.28,-48195.39,35810,19548,46.13万,0.93,0.34,21.55,22.83
002438,江苏神通,1699.71,223.35,1927.17,1716.9,1716.9,29194.76,-3146.28,-4986.1,32203,4180,13.61万,0,--  ,--  ,32.56
002439,启明星辰,-7665.87,1466.6,1635.81,826.32,1763.36,42081.7,-22373.32,13471.97,72385,7624,12.96万,6.6,0,17,18.89
002440,闰土股份,72786.05,1290.02,73470,61558.8,59997.4,327298.13,43112.28,13566.02,48834,11770,18.53万,2.73,-0.25,14.7,15.44
002441,众业达,14779.75,687.37,14844.04,11580.05,11526.67,79072.07,-8005.25,-12770.67,22520,13817,17.52万,5.3,-0.15,11.7,12.73
002442,龙星化工,-2584.75,0,-2367.43,-1836.79,-1836.79,18987.26,9266.82,-184.65,22773,11041,8.61万,1.58,-0.88,7.21,7.89
002443,金洲管道,6425.62,-378.11,6351.08,5227.31,5446.75,57471.25,9662.88,411.92,48156,10197,11.68万,0,--  ,--  ,11.45
002444,巨星科技,25093.6,6889.72,24990.92,20144.85,20287.97,146532.31,15414.42,38482.65,40272,22459,29.47万,1.94,-0.15,11.58,12.45
002445,中南重工,5393.93,-1011.55,6567.07,5149.93,5174.75,34804.1,15733.07,1297.78,8747,57340,165.65万,0,--  ,--  ,28.89
002446,盛路通信,4956.35,189.16,5396.48,4804.56,4807.15,19627.9,-2523.58,-3356.56,17129,9810,15.90万,2.79,0,16.19,17.95
002447,壹桥海参,4546.18,0,5405.28,5340.68,5340.68,68233.43,4209.15,-14338.48,34680,16637,11.21万,6.09,0,6.74,7.49
002448,中原内配,11383.12,1718.88,11866.95,10025.05,10023.5,73185.45,2265.74,-3791.51,84224,5444,4.14万,2.4,-0.52,7.4,7.92
002449,国星光电,8205.74,0,9851.71,8450.46,8356.57,51955.51,485.64,20440.18,27367,12099,11.80万,3.54,0.2,9.31,10.15
002450,康得新,77935.05,0,78326.03,65606.93,65912.5,271377.72,35417.21,119708.75,71438,20004,56.37万,3.17,0,26.97,28.85
002451,摩恩电气,1953.14,-53.47,2122.36,1811.35,1625.75,16063.5,-8216.63,1264.2,23233,11891,9.61万,2.6,-0.12,8.06,8.74
002452,长高集团,3592.48,58.93,3816.65,3300.6,3317.4,38479.87,-4696.22,-18361.35,50358,6609,6.04万,0,--  ,--  ,9.14
002453,天马精化,3392.61,398.82,3526.96,2802.05,2737.38,26272.98,10593.91,-746.39,42041,12779,7.40万,0,--  ,--  ,5.79
002454,松芝股份,15094.8,616.52,17913.17,15213.73,13458.44,94413.06,12011.24,-17782.15,23547,10753,12.21万,2.98,-0.17,10.85,11.79
002455,百川股份,3525.66,0,3859.08,2756.98,2756.98,23659.2,16689.65,6215.18,45824,6350,5.30万,6.5,0,8.34,7.58
002456,欧菲光,22580.75,326.58,31178.14,26679.22,26679.22,172602.06,-19195.05,-646.84,60598,13531,26.26万,3.79,-0.46,18.48,19.84
002457,青龙管业,1731.49,1244.93,1955.14,1410.91,1617.75,53540.83,9424.23,13273.51,27622,9469,8.00万,5.85,0.83,8.37,9.02
002458,益生股份,-19311.97,-812.91,-19213.75,-19248.59,-19197.14,-23835.6,-12420.08,-10006.46,9656,14688,23.62万,1.28,-0.12,15.89,17.64
002459,天业通联,-1758.79,253.53,-1974.68,-1974.68,-1955.46,-57720.53,-6171.83,-46978.82,14281,13917,16.33万,1.43,-0.17,11.5,12.62
002460,赣锋锂业,5657.93,101.65,6274.06,5085.87,5101.83,26914.55,4649.46,-3708.61,35529,7155,12.84万,10.91,-0.33,16.98,18.41
