代码,名称,营业利润,投资收益,利润总额,税后利润,净利润,未分利润,经营现金流,总现金流,股东人数,人均持股,人均市值,换手%%,涨速%%,最低,昨收
000409,山东地矿,-4222.15,486.51,-4211.24,-4427.5,-4728.31,4821.75,-8915.99,23817.4,22843,15654,9.96万,5.84,-0.62,6.19,6.78
000410,沈阳机床,-29061.63,-132.36,-27808.41,-26623.83,-26641.83,28332.81,-119911.86,43950.45,130148,5684,9.38万,9.09,0,16.5,18.33
000411,英特集团,11091.03,22.62,10620.58,7723.5,3509.33,37135.98,-25376.9,26045.65,8183,24886,36.08万,2.57,-0.68,13.61,14.67
000413,东旭光电,33276.1,-2.8,54056.85,45386.6,43317.76,95549.71,7507.33,147205.91,229142,8810,6.97万,6.29,0,7.37,7.94
000415,渤海租赁,88886.5,44.4,95942.5,82286.7,63031.5,291773.91,336748.5,4563.56,128665,24214,16.51万,2.21,-0.58,6.4,6.92
000416,民生控股,3024.21,3289.87,3535.81,2664.35,2574.83,28839.55,-4393.72,-39181.5,42530,12500,14.36万,0.16,0,11.49,12.77
000417,合肥百货,26829,406.73,28014.05,20207.57,17554.64,163102.36,-6787.81,-34071.65,39927,19501,15.56万,3.34,-0.37,7.25,7.76
000418,小天鹅Ａ,56781.75,7182.05,57742.53,49850.9,43069.42,247246.77,136526.95,-41230.46,28708,15248,30.63万,1.5,0.8,18.41,19.2
000419,通程控股,10780.73,2302.48,11735.7,8682.92,8287.73,80197.86,-2780.7,-4549.83,31107,17465,11.13万,4.19,-0.31,6.27,6.97
000420,吉林化纤,-5135.53,431.57,-606.46,-639.58,551.96,-88616.75,-2677.88,-19916.09,62634,5082,2.94万,3.16,-0.85,5.5,5.8
000421,南京中北,1087.62,5206.12,16322.22,11731.9,9804.25,101169.11,38154.9,22231.93,31994,10992,8.68万,6.64,-0.75,7.7,8.55
000422,湖北宜化,614.45,1161.43,5568.41,3657.03,2514.01,299866.69,272214.41,115496.4,66303,13182,8.41万,2.23,-0.46,6.3,6.74
000423,东阿阿胶,91645.75,5356.8,92521.9,77429.96,77216.53,486306.44,-6470.27,-118733.21,67090,9744,42.08万,2.19,-0.04,41.3,43.16
000425,徐工机械,41.99,26428.26,2290.53,-2575.81,806.9,915076.63,22456.03,-72479.74,154314,15271,16.20万,6.05,-0.46,10.58,11.75
000426,兴业矿业,2610.4,805.21,2612.74,2021.78,2022,58829,-1013.44,-4352.97,30912,15581,15.18万,0,--  ,--  ,9.74
000428,华天酒店,6437.83,23296.53,6441.43,2527.11,4530.53,69434.71,9965.65,-17619.85,35402,20303,11.94万,2.75,0.17,5.82,6.33
000429,粤高速Ａ,31621.43,23167.17,32130.3,26729.84,23185.52,144689.16,51808.15,1861.39,85629,5473,3.15万,2.84,-0.68,5.41,6
000430,张家界,6242.1,0,6209.41,4845.49,4889.39,9937.21,6371.65,1969.68,24938,8382,7.54万,4.94,0,8.7,9.32
000488,晨鸣纸业,35536.55,4663.26,42712.45,25371.32,27638.8,467121.31,-222275.55,-27178.85,110656,9986,6.84万,3.87,-0.29,6.12,6.48
000498,山东路桥,16293.4,0,16379.73,11892.07,11916.71,138538.56,-46676,-43112.62,65221,5430,3.11万,4.21,-0.52,5.6,6.06
000501,鄂武商Ａ,58682.55,1324.21,59094.82,43712.37,43588.76,226122.22,22896.89,-76145.99,21155,23975,39.63万,1.61,-0.06,15.05,15.88
000502,绿景控股,-494.7,23.71,-481.98,-515.47,-538.37,-1605.4,2548.15,3949.93,17854,10268,14.80万,1.98,0,14.41,13.1
000503,海虹控股,-5231.22,94.35,-5231.77,-5277.62,-4415.24,50304.65,-7875.95,-12807.15,34636,25926,51.98万,8.25,0,20.05,22.28
000504,南华生物,-738.95,0,-743.45,-743.45,-735.4,-43388.98,-1075.49,-1148.93,24802,12498,14.12万,4.72,-0.61,10.62,11.64
000505,珠江控股,3418.15,12413.73,3449.53,1864.11,2149.25,-95899.38,-9496.26,3861.26,40122,8984,6.42万,5.34,0,7.15,7.94
000506,中润资源,-1883.9,0,-1851.28,-1158,513.32,40068.12,-5804.83,13843.5,49492,18757,12.02万,3.66,-0.15,6.41,7.12
000507,珠海港,5507.78,3578.31,6388.18,5319.58,4979.14,79351.68,12671.61,2359.01,122608,6298,3.59万,2.26,-0.34,5.5,5.86
000509,华塑控股,-2390.67,0,-2263.5,-2266.65,-2174.56,-99794.95,-3125.3,-6671.87,58736,10311,4.41万,5.93,-0.46,4.22,4.68
000510,*ST金路,-9439.69,-45.65,-7451.06,-7451.06,-7238.56,-10082.45,-9973.91,-15781,83096,7330,7.85万,2.29,0,10.71,11.27
