代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区,振幅%%,均价,内盘,外盘,内外比,买量
000001,平安银行,34.09,15.02,32.78,3.64,1.12,0.93,7.31,3273803264,1.4,银行,深圳,8.12,11.63,1539485,1276261,1.21,549520
000002,万  科Ａ,22.72,0.77,17.35,3.13,1.8,-23.08,16.21,3218100480,1.33,全国地产,深圳,6.04,14.02,1462468,832228,1.76,404907
000004,国农科技,117.08,125.75,10.98,36.85,26.93,-337.1,905.17,175093968,0.79,生物制药,深圳,15.82,27.89,29147,33636,0.87,48
000005,世纪星源,52.1,8.05,-64.57,148.17,8.32,155.1,--  ,0,0,区域地产,深圳,0,5.88,0,0,--  ,0
000006,深振业Ａ,311.53,425.18,17.93,6.29,3.01,-20.19,24.66,504695104,0.82,区域地产,深圳,13.82,9.3,318448,224092,1.42,3542
000007,零七股份,0.6,-89.72,-13.26,115.33,19.36,106.08,--  ,0,0,酒店餐饮,深圳,0,29.17,0,0,--  ,0
000008,神州高铁,245.04,710.43,16.21,33.02,5.9,-164.8,117.66,174404592,0.97,综合类,深圳,11.82,20.78,32875,51034,0.64,1710
000009,中国宝安,9.97,-48.53,11.1,7.82,4.18,-194.41,65.87,934755712,0.85,全国地产,深圳,11.76,9.67,522938,444144,1.18,49991
000010,深华新,279.01,125.34,2.68,8.73,6.47,-16.14,1090.76,114543728,0.61,建筑施工,北京,12.09,6.27,94768,87958,1.08,814
000011,深物业A,-32.43,-72.19,12.71,15.09,2.59,-23.04,82.04,143588000,0.77,区域地产,深圳,14.59,8.84,86911,75538,1.15,1384
000012,南  玻Ａ,1.85,-65.08,4.54,5.51,2.44,51.98,44.53,193229792,0.82,玻璃,深圳,10,8.87,116690,101175,1.15,8
000014,沙河股份,-4.24,-41.64,-2.84,17.32,4.71,-121.89,109.17,219321088,0.81,全国地产,深圳,12.54,16.33,69525,64762,1.07,0
000016,深康佳Ａ,6.61,-768.9,-4.72,4.06,9.56,518.42,--  ,0,0,家用电器,深圳,0,30.16,0,0,--  ,0
000017,深中华A,-10.66,-77.8,1.03,62.02,385.33,-844.95,5704.28,92336840,0.83,文教休闲,深圳,13.66,9.02,57267,45117,1.27,568
000018,中冠A,9.69,-182.42,-10.93,577.01,24.59,3524.96,--  ,65425576,0.78,纺织,深圳,12.14,19.29,18707,15213,1.23,18
000019,深深宝Ａ,38.14,122.74,0.82,15.13,2.53,112.8,232.43,68744408,0.54,软饮料,深圳,11.43,8.47,38074,43053,0.88,182
000020,深华发Ａ,-32.15,873.76,5.22,14.64,12.32,213.84,128.43,62347408,0.66,元器件,深圳,10.43,13.3,26622,20271,1.31,0
000021,深科技,-6.38,1699.63,2.26,1.63,2.25,68.05,42.46,304994272,0.96,电脑设备,深圳,11.73,7.79,230212,161190,1.43,1007
000022,深赤湾Ａ,0.55,2.82,39.03,19.3,4.1,46.52,35.13,0,0,港口,深圳,0,26.37,0,0,--  ,0
000023,深天地Ａ,-8.58,258.45,3.82,10.1,11.52,-115.6,196.34,0,0,建筑施工,深圳,0,30.53,0,0,--  ,0
000024,招商地产,12.01,20.17,19.3,4.53,2.49,-11.07,18.99,0,0,全国地产,深圳,0,31.64,0,0,--  ,0
000025,特  力Ａ,-30.7,38.56,5.36,40.14,7.64,187.87,415.79,270628288,0.73,汽车服务,深圳,10.89,22,38998,84010,0.46,0
000026,飞亚达Ａ,2.51,-17.19,5.58,2.06,2.08,20.18,23.77,92960400,0.74,其他商业,深圳,12.2,9.11,55193,46812,1.18,18
000027,深圳能源,-10.95,-0.68,23.14,7.06,1.75,21.4,18.89,755060288,0.89,火力发电,深圳,11.17,10.16,379066,363872,1.04,6546
000028,国药一致,10.34,10.91,3.77,1.68,4.23,47.97,27.76,120578224,0.69,医药商业,深圳,10.24,57.24,12676,8388,1.51,3
000029,深深房Ａ,100.24,436.7,21.74,9.07,4.43,22.83,27.92,484407328,0.98,区域地产,深圳,16.56,10.76,217776,232548,0.94,208
000030,富奥股份,-12.64,-12.16,13.96,4.86,2.51,51.99,19.35,183363136,1,汽车配件,吉林,15.63,8.15,121125,103987,1.16,1210
000031,中粮地产,18.42,43.28,12.3,10.4,5.07,21.05,73.74,2413062144,0.82,全国地产,深圳,16.58,16.03,775601,729440,1.06,85
000032,深桑达Ａ,-30.53,64.53,-1.02,5.77,3.3,-159.51,--  ,104646392,0.96,元器件,深圳,12.62,12.81,45444,36240,1.25,0
000034,深信泰丰,-13.1,-55.87,-3.93,16.22,18.05,-134.13,74.67,465637376,1.88,综合类,深圳,8.91,9.67,139905,341553,0.41,0
000035,中国天楹,57.52,10.36,26.77,26.45,2.44,83.23,53.77,76625840,0.54,通信设备,江苏,11.07,12,34817,29022,1.2,380
000036,华联控股,-15.97,-1346.03,-15.45,70.63,3.5,-20.56,--  ,270707904,0.84,全国地产,深圳,12.52,6.16,238383,201293,1.18,1921
000037,深南电Ａ,23.35,-36.28,-40.27,6.27,3.49,12.8,--  ,96746168,1.06,火力发电,深圳,12.69,6.91,77478,62538,1.24,490
000038,深大通,85.37,91.79,3.72,25.57,22.83,1792.48,--  ,261935280,1.45,区域地产,深圳,10.66,26.34,36971,62468,0.59,0
000039,中集集团,1.84,46.68,6.21,1.69,2.2,-88.37,18.2,951418304,1.48,轻工机械,深圳,12.9,20.02,268625,206572,1.3,59256
000040,宝安地产,44.06,150.51,7.37,9.29,3.53,173.42,110.19,0,0,全国地产,深圳,0,9.67,0,0,--  ,0
000042,中洲控股,72.95,49.01,25.39,2.75,1.75,-12.75,7.64,88874248,0.54,全国地产,深圳,9.31,13.64,31652,33514,0.94,310
000043,中航地产,-17.9,-325.29,-7.22,3.29,1.6,-7.11,--  ,216822096,0.76,全国地产,深圳,13.01,8.21,108386,155803,0.7,0
000045,深纺织Ａ,31.67,135.43,2.8,7.23,2.07,1046.53,292.96,138630864,0.8,纺织,深圳,12.8,8.8,79878,77723,1.03,94
000046,泛海控股,48.55,159.91,55.46,25.53,5.52,9.85,41.51,610612160,1.49,全国地产,深圳,16.82,11.57,313254,214714,1.46,193568
000048,康达尔,68.55,2489.12,16.09,7.41,13.78,32.71,31.63,287170048,0.86,饲料,深圳,17.65,24.73,55609,60502,0.92,53
000049,德赛电池,69.77,32.56,5.18,1.99,9.25,63.53,32.82,139390544,0.79,电气设备,深圳,11.25,36.05,19925,18738,1.06,780
000050,深天马Ａ,6.58,32.5,0.46,3,1.86,18.39,29.91,189096704,0.8,元器件,深圳,12.87,14.09,67550,66658,1.01,43
000055,方大集团,39.78,25.87,6.31,3.9,3.55,-16.31,43.66,72872640,0.69,其他建材,深圳,9.66,6.12,59844,59283,1.01,37
000056,深国商,356.26,108.16,-6.04,32.43,2.89,348.24,349.3,133839664,0.91,房产服务,深圳,10,20.52,31214,33999,0.92,12
000058,深 赛 格,18.48,-7.28,19.21,17.64,4.6,-67.03,94.65,213878432,0.77,元器件,深圳,11.75,8.71,124618,121066,1.03,0
000059,*ST华锦,-21.43,132.02,1.45,0.6,1.17,2,21.58,147265184,0.75,石油加工,辽宁,4.59,6.46,107586,120289,0.89,0
000060,中金岭南,-19.33,1.4,3.12,3.55,3.23,64.25,74.45,763981056,0.82,铅锌,深圳,10.39,10.55,407422,316458,1.29,62880
000061,农 产 品,3.15,45.46,8.61,27.95,5,49.4,273.24,291547072,0.79,农业综合,深圳,8.7,14.45,123575,78234,1.58,5
000062,深圳华强,-67.85,-52.51,35.09,33.51,7.77,-671.4,59.26,571438272,1.06,商贸代理,深圳,15.67,28.91,103208,94478,1.09,761
000063,中兴通讯,21.76,43.2,0.17,1.5,2,45.52,21.24,1826960384,1.09,通信设备,深圳,6.93,16.5,626317,480980,1.3,110629
000065,北方国际,-2.85,47.61,5.37,4.94,3.61,-12.92,54.1,163342224,0.71,建筑施工,深圳,14.64,24.87,31979,33708,0.95,408
000066,长城电脑,-7.11,-23.74,-1.31,0.87,11.5,-47.75,--  ,0,0,电脑设备,深圳,0,21.54,0,0,--  ,0
000068,*ST华赛,-29.55,24.03,-169.3,563.34,16.35,-329.29,--  ,219232656,1.07,元器件,深圳,5.59,9.57,62451,166650,0.37,0
000069,华侨城Ａ,-25.27,-26.08,21.4,5.85,2.05,389.87,21.03,1354036352,1.55,旅游景点,深圳,10.7,8.11,1043876,626484,1.67,243030
000070,特发信息,50.77,45.21,4.62,3.93,4.08,-139.25,59,210339904,0.93,通信设备,深圳,13.15,17.12,60355,62502,0.97,0
000078,海王生物,14.97,4.16,1.52,1.6,5.16,-20.25,78.34,489639232,0.85,生物制药,深圳,12.7,11.98,200358,208490,0.96,0
000088,盐 田 港,-12.54,-30.25,147.7,113.81,2.65,548.35,44.07,195617360,1.16,港口,深圳,13.69,6.78,139872,148707,0.94,185
000089,深圳机场,4.52,72.56,19.99,8.89,1.32,22.14,30.32,298840192,0.99,机场,深圳,8.13,6.51,251850,207143,1.22,592
000090,天健集团,54.09,543.68,10.06,2.67,1.83,-20.15,16.53,190015344,0.9,建筑施工,深圳,12.53,12.97,81044,65479,1.24,2900
000096,广聚能源,11.53,169.29,45.76,13.64,3.56,87.27,19.37,204074416,0.66,石油贸易,深圳,14.93,14.39,72400,69438,1.04,1557
000099,中信海直,-3.88,-1.23,18.9,13.95,2.88,-67.21,47.59,436207936,0.75,空运,深圳,13.47,13.19,175672,155016,1.13,65
000100,TCL 集团,6.6,10.02,2.88,1.11,2.11,11.07,15.91,1584954112,1.11,家用电器,广东,7.4,4.16,1956657,1848998,1.06,382739
000150,宜华健康,430.09,-83.59,1,55.97,14.41,99.69,10428.33,0,0,医疗保健,广东,0,52.7,0,0,--  ,0
000151,中成股份,-42.61,-16.51,17.37,10.22,5.66,-22.49,37.91,559042368,0.93,商贸代理,北京,15.74,18.91,140108,155497,0.9,0
000153,丰原药业,-7.89,-0.51,2.42,3.38,2.3,133.43,70.73,96084176,0.57,化学制药,安徽,11.91,8.69,59904,50713,1.18,54
000155,*ST川化,-77.66,52.91,-90.28,19.47,-3.12,182.59,--  ,86297720,0.9,农药化肥,四川,4.29,6.24,68013,70334,0.97,904
000156,华数传媒,11.1,50.28,18.2,34.44,4.89,166.51,87.36,204111616,1.4,影视音像,浙江,18.24,29.16,35152,34846,1.01,131224
000157,中联重科,-24.43,-134.42,-3.88,3.9,1.03,-9.86,--  ,467282528,0.56,工程机械,湖南,7.13,5.54,445832,397550,1.12,2153
000158,常山股份,106.16,32.19,-0.83,2.84,2.56,131.79,--  ,206750144,0.71,纺织,河北,13.92,10.69,97830,95571,1.02,310
000159,国际实业,-31.59,614.38,27.87,10.78,1.53,-32.96,32.93,108098224,0.68,石油贸易,新疆,10.75,7,78648,75686,1.04,60
000166,申万宏源,0,0,59.14,7.86,2.9,1.27,9.11,654364288,0.69,证券,新疆,7.14,9.18,363523,349676,1.04,1087
000301,东方市场,-12.88,-11.59,39.58,16.52,1.67,153.74,29.88,107632920,0.72,综合类,江苏,9.66,4.58,128583,106422,1.21,2567
000333,美的集团,6.7,25.93,12.37,1.49,2.67,13.91,7.37,1821117184,1.4,家用电器,广东,5.72,28.3,402499,240973,1.67,163835
000338,潍柴动力,6.87,-74.26,4.44,1.1,1.25,26.17,20.63,897359936,1.62,汽车配件,山东,12.05,9.69,497880,428177,1.16,121367
000400,许继电气,-33.07,-75.96,3.7,8.32,3.16,-175.67,120.34,554654976,1.13,电气设备,河南,9.72,17.71,191604,121605,1.58,34101
000401,冀东水泥,-27.7,212.8,0.47,2.44,1,382.42,31.54,336792512,1.19,水泥,河北,14.67,8.98,200540,174342,1.15,50
000402,金 融 街,13.93,132.41,24.49,5.53,1.12,-37.81,15.84,686704384,1.25,全国地产,北京,7.9,8.96,400894,365181,1.1,95316
000403,ST生化,61.33,-47.19,24.73,20.9,11.2,78.48,49.87,0,0,生物制药,江西,0,19.57,0,0,--  ,0
000404,华意压缩,-10.02,-13.12,5.7,0.91,1.59,8.9,13.92,121874888,0.69,专用机械,江西,10.08,6.23,95213,100406,0.95,140
000407,胜利股份,14.61,6.83,0.72,2.86,2.39,-54.36,124.16,137126976,0.81,塑料,山东,10.44,5.7,128303,112178,1.14,1451
000408,金谷源,89.23,-210.57,-1.2,25.19,20.46,8612.02,--  ,125824488,0.66,商贸代理,河北,13.01,11.16,59984,52800,1.14,0
000409,山东地矿,-24.5,-276.47,-29.14,20.75,3.05,-33.72,--  ,138320960,0.84,普钢,山东,13.57,6.63,106737,101976,1.05,284
000410,沈阳机床,-18.5,-2841.07,-9.34,4.06,5.2,-10.53,--  ,1151493760,0.75,机床制造,辽宁,13.64,17.12,307580,364947,0.84,0
000411,英特集团,11.24,6.16,1.46,0.4,4.67,-11.85,42.86,76376192,0.74,医药商业,浙江,12.07,14.62,32629,19610,1.66,12
000413,东旭光电,58.97,6.29,23,14.56,3.19,280.49,24.31,986657408,1.14,元器件,河北,8.56,7.76,655870,614786,1.07,91501
000415,渤海租赁,36.98,36.61,19.89,5.41,2.35,7.19,19.2,462245056,0.46,多元金融,新疆,10.12,6.72,380762,306953,1.24,1939
000416,民生控股,-83.61,645.21,79.72,161.09,7,-139.09,118.67,9738924,1.07,百货,山东,0,11.49,150,8326,0.02,0
000417,合肥百货,-1.2,-22.4,5.15,1.19,1.89,-91.69,17.73,202332928,0.9,百货,安徽,11.47,7.79,148074,111700,1.33,37
000418,小天鹅Ａ,22.67,36.14,9.31,2.08,2.77,9.31,14.75,128229120,0.68,家用电器,江苏,8.75,19.59,38745,26725,1.45,9
000419,通程控股,-0.93,11.66,4.95,1.59,1.84,-124.52,20.89,151555152,0.7,百货,湖南,13.92,6.66,121698,106018,1.15,1199
000420,吉林化纤,-17.1,-95.26,-10.81,8.73,4.18,-154.94,375.85,57489976,0.58,化纤,吉林,8.62,5.72,55017,45508,1.21,49
000421,南京中北,-8.8,-40.17,0.58,2.42,2.08,11.86,23.07,182586416,0.92,公共交通,江苏,7.49,7.82,109776,123651,0.89,77167
000422,湖北宜化,-7.99,-22.7,0.07,0.66,0.85,2.1,113.93,127570544,0.9,农药化肥,湖北,8.61,6.55,108395,86405,1.25,62
000423,东阿阿胶,47.53,24.26,35.98,11.09,4.22,-436.57,18.29,611705664,1.02,中成药,山东,4.94,42.81,94263,48628,1.94,19322
000425,徐工机械,-34.62,-99.03,0,2.64,1.18,111.57,1552.53,1565556352,0.71,工程机械,江苏,11.91,10.98,742790,683090,1.09,5868
000426,兴业矿业,6.67,-84.87,5.22,11.63,2.11,-573.71,143.77,0,0,小金属,内蒙,0,9.74,0,0,--  ,0
000428,华天酒店,-31.68,212.05,12.38,8.13,2.67,42.42,46.65,121497288,0.7,酒店餐饮,湖南,12.32,6.15,111745,85963,1.3,3721
000429,粤高速Ａ,5.18,30.11,43.65,10,1.38,13.98,15.62,78604944,0.84,路桥,广东,12.33,5.9,69361,63904,1.09,889
000430,张家界,42.56,146.25,25.72,11.9,5.34,45.32,29.53,95862456,0.79,旅游景点,湖南,12.23,9.28,52265,51010,1.02,645
000488,晨鸣纸业,7.01,13.99,3.66,1.36,0.95,-5.97,24,280777888,1.12,造纸,山东,11.73,6.57,228740,198904,1.15,1
000498,山东路桥,-8.1,29.42,6.9,2.71,2.31,-13.73,26.88,87559440,0.67,建筑施工,山东,10.56,5.88,81536,67418,1.21,1128
000501,鄂武商Ａ,4.78,18.07,6.53,0.97,2.3,38.19,10.03,131493160,1.14,百货,湖北,9.76,16.12,46525,35021,1.33,1317
000502,绿景控股,-10.92,-1180.59,-39.64,213.39,13.42,104.52,--  ,52405596,0.53,区域地产,广东,0,14.41,35794,573,62.47,117426
000503,海虹控股,-13.59,-578.04,-60.88,209.72,13.99,-228.82,--  ,1571146752,0.75,互联网,海南,14.09,21.2,378903,362167,1.05,0
000504,南华生物,-34.09,18.76,-123.94,590.53,-1331.36,-327.37,--  ,168149040,0.64,出版业,湖南,14.09,11.5,71125,75133,0.95,1
000505,珠江控股,9.17,127.97,25.11,22.42,-34.65,-32.13,70.98,142384592,0.77,全国地产,海南,12.72,7.4,91905,100443,0.91,0
000506,中润资源,74.3,104.51,-6.43,20.34,4.24,-102.59,580.05,227163232,0.8,区域地产,山东,12.5,6.68,171378,168771,1.02,0
000507,珠海港,43.36,284.56,5.54,4.53,1.81,35.52,45.19,100874160,0.67,港口,广东,10.07,5.79,92347,81865,1.13,427
000509,华塑控股,-8.34,16.57,-30.95,45.75,161.51,-113.05,--  ,158805552,1.37,其他建材,四川,12.18,4.42,199830,159162,1.26,4612
000510,*ST金路,-18.93,-28.98,-11.82,8.17,9.83,-65.41,--  ,149937312,0.31,化工原料,四川,2.4,10.75,43861,95620,0.46,0
000511,烯碳新材,-14.75,-16.14,2.6,17.4,7.16,-56.24,450.58,0,0,矿物制品,辽宁,0,8.91,0,0,--  ,0
000513,丽珠集团,18.53,17.15,12.11,6.78,4.98,90.27,30.97,0,0,中成药,广东,0,53.35,0,0,--  ,0
000514,渝 开 发,-62.54,-175.3,-30.95,15.86,1.84,-33.84,--  ,72983552,0.61,区域地产,重庆,12.21,6.01,61705,59736,1.03,37
000516,国际医学,3.91,13.69,9.95,5.02,3.16,170.6,32.44,426912064,0.87,百货,陕西,12.73,13.43,158424,159383,0.99,402
000517,荣安地产,-88.98,-89.89,10.34,43.73,3.47,1927.02,285.2,265271024,1.39,区域地产,浙江,9.59,12.12,102789,116167,0.88,0
000518,四环生物,-17.53,-82.08,4.02,40.54,6.43,-26.32,537.81,172762096,0.68,生物制药,江苏,11.71,4.31,208514,192778,1.08,551
000519,江南红箭,-19.02,-25.02,21.78,24.12,4.7,-188.47,66.67,0,0,机械基件,湖南,0,18.57,0,0,--  ,0
000520,长航凤凰,-24.8,-41.76,1.96,6.46,10.54,541.39,11.79,0,0,水运,湖北,0,2.53,0,0,--  ,0
000521,美菱电器,1.3,-0.46,2.61,0.71,1.29,13.23,14.35,78738416,0.77,家用电器,安徽,7.69,5.94,72364,60099,1.2,157
000523,广州浪奇,44.9,3.74,0.44,1.7,4.89,-496.5,193.06,347043872,0.91,日用化工,广东,15.26,12.35,148413,132674,1.12,259
000524,岭南控股,5.8,46.1,19.28,25.4,6.03,223.37,78.73,124301048,0.69,酒店餐饮,广东,15.89,14.27,45705,41431,1.1,7
000525,红 太 阳,0.2,-38.99,5.34,2.13,1.81,12.58,20.09,83896768,0.71,农药化肥,江苏,11.4,13.38,36657,26023,1.41,131
000526,银润投资,130.28,277.9,29.18,276.32,21.84,1174.06,801.77,474293856,0.69,房产服务,福建,15.34,38.15,62267,62050,1,2
000528,柳    工,-34.64,-45.88,2.38,2.44,1,-12.23,51.91,243331376,0.98,工程机械,广西,9.99,7.84,157261,153250,1.03,201
000529,广弘控股,11.5,6.71,4.97,7.85,7.45,66.88,96.06,0,0,食品,广东,0,14.11,0,0,--  ,0
000530,大冷股份,-8.15,-1.5,9.5,6.43,1.58,-35.03,34.93,77973064,0.67,机械基件,辽宁,13.51,13.04,29450,30328,0.97,378
000531,穗恒运Ａ,-58.37,-21.34,31.03,4.47,1.56,61.81,9.4,90091192,0.57,火力发电,广东,8.05,7.69,60385,56783,1.06,118
000532,力合股份,-20.89,16.24,51.87,51.71,5.85,705.21,120.77,168284192,1.38,元器件,广东,11.87,12.31,84189,52476,1.6,0
000533,万 家 乐,4.19,42.94,7.28,2.24,3.04,14.05,23.32,68902536,0.64,家用电器,广东,9.58,6.04,58457,55573,1.05,450
000534,万泽股份,1.82,-19.41,22.18,17.13,3.64,640.65,58.05,0,0,区域地产,深圳,0,9.45,0,0,--  ,0
000536,华映科技,-17.82,-78.57,3.36,2.75,2.74,4.95,109.93,199427200,0.99,元器件,福建,12.77,10.38,109645,82514,1.33,1400
000537,广宇发展,9.68,-50.75,28.54,4.94,1.75,-4.93,18.73,174850464,0.71,区域地产,天津,10.73,6.74,134064,125290,1.07,366
000538,云南白药,10.61,11.07,15.08,7.79,5.98,38.28,29.61,865023680,1.78,中成药,云南,7.69,70.71,83276,39056,2.13,45330
000539,粤电力Ａ,-13.76,4.65,22.9,3.29,1.9,7.45,12.34,780531904,2.06,火力发电,广东,16.87,7.73,598102,411862,1.45,217024
000540,中天城投,54.83,48.23,19.7,3.93,3.75,-9.01,11.06,0,0,区域地产,贵州,0,7.34,0,0,--  ,0
000541,佛山照明,-1.21,-46.94,8.95,9.66,3.4,148.26,73.4,0,0,家用电器,广东,0,11.57,0,0,--  ,0
000543,皖能电力,-13,49.2,25.03,2.24,1.34,7.61,9.19,434907936,1.15,火力发电,安徽,10.26,12.18,179334,177643,1.01,10
000544,中原环保,25.63,3.69,13.71,10.65,3.7,-69.38,45.79,56378180,0.73,环境保护,河南,10.13,12.73,23071,21222,1.09,999
000545,金浦钛业,4.26,204.87,17.27,26.27,6.23,774.92,80.88,0,0,化工原料,吉林,0,10.67,0,0,--  ,0
000546,金圆股份,-15.94,-86.3,-0.19,8.23,2.66,128.34,190.5,67800704,0.73,水泥,吉林,13.78,7.37,47083,44971,1.05,6
000547,航天发展,10.65,102.93,67.18,67.66,5.89,226.94,68.11,601025792,0.87,通信设备,福建,10.84,14.69,219984,189236,1.16,5790
000548,湖南投资,-20.53,-56.57,2.77,44.96,2.58,36.38,434.32,292105376,0.72,路桥,湖南,14.1,7.99,186931,178524,1.05,0
000550,江铃汽车,-2.33,-7.11,8.88,1.81,2,94.21,10.04,193749472,1.98,汽车整车,江西,16.08,24.17,40311,39853,1.01,1660
000551,创元科技,-5.88,-16.2,3.53,2.72,2.31,-1987.78,70.39,104573736,0.75,专用机械,江苏,12.52,7.74,70319,64865,1.08,1883
000552,靖远煤电,-27.08,-32.2,12.1,8.04,1.51,-44.58,37.27,105559616,1.49,煤炭开采,甘肃,12.86,7.73,76184,60422,1.26,9045
000553,沙隆达Ａ,-27.35,-59.2,12.76,5.14,3.07,-329.67,27,0,0,农药化肥,湖北,0,10.7,0,0,--  ,0
000554,泰山石油,-21.97,-46.28,0.58,2.63,4.39,-213.22,1041.47,397630208,1.28,石油贸易,山东,12.06,8.6,207620,254577,0.82,0
000555,神州信息,-1.46,4.06,3.28,4.99,4.75,-26.81,64.22,255413216,1.2,通信设备,深圳,12.23,32.38,33739,45132,0.75,165
000557,*ST广夏,36.86,-97.96,5.4,797.85,27.85,-739.17,32757.73,142282336,1.41,红黄药酒,宁夏,4.96,5.67,164638,86451,1.9,48539
000558,莱茵体育,14.14,-203.74,0.24,11.9,8.77,-274.13,--  ,607383936,0.72,区域地产,浙江,12.27,16.84,131735,229040,0.58,0
000559,万向钱潮,6.66,27.9,9.75,6.8,9.34,60.47,40.14,1791884928,0.89,汽车配件,浙江,14.29,15.47,613219,545303,1.12,58126
000560,昆百大Ａ,-24.42,-92.66,0.72,10.28,2.17,-424.38,895.78,46732528,0.49,百货,云南,12.23,17.14,13369,13893,0.96,0
000561,烽火电子,9.26,3.27,2.96,14.7,5.2,-32.71,414.48,185032064,0.66,通信设备,陕西,11.63,8.48,100035,118097,0.85,0
000563,陕国投Ａ,68.36,31.62,53.62,15.57,2.56,23.23,19.38,174420032,1.05,多元金融,陕西,12.06,8.87,104403,92257,1.13,2837
000564,西安民生,4.08,1.79,1.83,2.88,2.19,68.41,82.63,277966432,0.55,百货,陕西,13,8.35,178688,154370,1.16,186
000565,渝三峡Ａ,-6.39,404.19,64.4,17.57,5.38,-570.55,13.79,269890784,1.18,染料涂料,重庆,11.76,9.92,128239,143942,0.89,0
000566,海南海药,11.72,19.84,16.48,33.57,12.39,-5753.7,119.42,0,0,化学制药,海南,0,49.97,0,0,--  ,0
000567,海德股份,422.26,125.04,147.17,204.05,9.13,776.41,67,117524760,0.83,区域地产,海南,13.26,12.95,48867,41917,1.17,71
000568,泸州老窖,1.62,6.58,36.37,8.26,3.08,-24.73,14.94,695536192,1.18,白酒,四川,6.96,21.4,201806,123239,1.64,32782
000570,苏常柴Ａ,1.49,9.5,3.3,3.12,2,90.82,56.49,84854360,0.63,农用机械,江苏,11.17,7.88,57894,49852,1.16,76
000571,新大洲Ａ,-5.03,-2.02,16.7,10.05,1.84,-27.71,40.79,80439232,0.69,煤炭开采,海南,8.3,5.13,80250,76554,1.05,1308
000572,海马汽车,6.57,55.17,4.12,1.6,1.3,15.35,24.81,259466448,1.06,汽车整车,海南,13.78,5.64,256222,203617,1.26,11
000573,粤宏远Ａ,-62.27,-233.3,-13.07,13.57,1.73,56.59,--  ,86353528,0.72,区域地产,广东,11.92,4.44,99255,95195,1.04,2907
000576,广东甘化,-13.62,-493.74,-14.11,21.31,4.14,-69.36,--  ,111700144,0.7,综合类,广东,10.86,9.66,62388,53279,1.17,859
000581,威孚高科,-3.95,24.44,33.57,6.98,2.04,54.03,11.32,635948032,1.06,汽车配件,江苏,7.82,22.86,148804,129381,1.15,38240
000582,北部湾港,-21.9,-19,19.15,10.09,2.72,49.73,31.49,51178788,1.14,港口,广西,11.31,15.55,17556,15346,1.14,2157
000584,友利控股,-38.68,-70.07,9,8.87,3.04,73.22,69.62,230836752,0.8,化纤,江苏,14.22,10.11,115550,112888,1.02,44
000585,东北电气,-7.2,12.3,-1.99,67.66,15.56,-152.83,--  ,274124736,0.77,电气设备,辽宁,14.98,5.28,258163,260800,0.99,4210
000586,汇源通信,-5.08,-54.69,-2.55,22.55,17.89,-82.07,2002.54,0,0,通信设备,四川,0,19.69,0,0,--  ,0
000587,金叶珠宝,10.02,4.87,1.8,2.3,7.93,368.48,76.09,0,0,批发业,黑龙江,0,19.6,0,0,--  ,0
000589,黔轮胎Ａ,-28.86,-26.46,3.76,2.05,1.14,7.17,33.5,167497856,0.72,汽车配件,贵州,10.64,5.78,155134,134596,1.15,597
000590,*ST古汉,70.53,470.27,8.57,28.44,23.2,-1969.83,201.65,0,0,中成药,湖南,0,20.41,0,0,--  ,0
000591,桐 君 阁,2.03,0.56,0.48,1.38,8.4,105.69,91.98,121070824,0.89,医药商业,重庆,11.35,13.47,42608,47270,0.9,4
000592,平潭发展,30.64,2.71,4.48,20.62,8.9,-616.72,168.36,689762816,1,林业,福建,12.61,12.66,273987,270950,1.01,0
000593,大通燃气,-0.94,225.73,4.86,11.04,3.43,155.82,163.9,185023648,0.66,供气供热,四川,9.8,8.25,111076,113209,0.98,0
000595,宝塔实业,-32.9,-33.84,-34.23,31.74,5.01,-111.95,--  ,0,0,机械基件,宁夏,0,11.27,0,0,--  ,0
000596,古井贡酒,13.51,6.34,18.59,5.53,3.32,44.65,19.73,163786352,1.06,白酒,安徽,6.57,29.29,34409,21514,1.6,1807
000597,东北制药,-10.25,-209.88,-3.87,1.56,1.28,-26.86,--  ,69525648,0.62,化学制药,辽宁,9.47,7.06,51685,46833,1.1,625
000598,兴蓉环境,15.31,8.23,32.4,12.75,2.44,32.1,21.85,572019008,1.1,水务,四川,7.7,6.31,440020,466064,0.94,96589
000599,青岛双星,-31.26,2.14,1.63,2.83,1.71,3886.41,82,121539608,0.76,汽车配件,山东,12.06,6.59,88143,96409,0.91,358
000600,建投能源,-10.51,14.3,37.39,3.39,1.69,9.66,7.46,227088752,1.22,火力发电,河北,10.9,8.81,138950,118819,1.17,5908
000601,韶能股份,1.41,-24.72,13.7,9.21,3.58,39.48,48.71,0,0,火力发电,广东,0,12.6,0,0,--  ,0
000603,盛达矿业,48.55,58.82,68.71,16.36,8.24,39.56,25.45,153969792,1.05,铅锌,北京,12.33,13.04,62796,55262,1.14,664
000605,渤海股份,-5.13,3.65,5.72,7.92,2.7,38.1,118.81,67347616,1,水务,北京,13.08,13.95,22626,25663,0.88,11
000606,青海明胶,-14.98,-93.25,-30.84,20.22,3.87,467.86,--  ,88584880,0.65,化学制药,青海,11.03,6.67,71034,61845,1.15,27
