代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区,振幅%%,均价,内盘,外盘,内外比,买量
300348,长亮科技,66.16,980.07,1.96,40.1,12.12,-87.01,918.47,202225232,0.97,软件服务,深圳,19.25,43.73,21312,24935,0.85,75
300349,金卡股份,-0.81,-15.8,22.74,15.39,4.56,-194.47,35.26,213590512,0.94,电器仪表,浙江,11.88,23.94,54985,34231,1.61,0
300350,华鹏飞,5.63,-10.35,5.5,18.46,8.23,611.18,204.82,109889680,0.84,仓储物流,深圳,17.39,39.98,17588,9896,1.78,54317
300351,永贵电器,35.53,6.91,24.81,26.97,6.27,-363.15,56.52,115297448,1.13,元器件,浙江,14.14,19.45,30363,28913,1.05,382
300352,北信源,21.67,28.49,2.5,66.57,10.04,-189.07,257.38,0,0,软件服务,北京,0,26.38,0,0,--  ,0
300353,东土科技,30.42,787.56,6.42,107.75,30.3,-4822.81,498.35,0,0,通信设备,北京,0,76.22,0,0,--  ,0
300354,东华测试,40.96,-46.02,-1.16,51.5,7.12,-264.31,613.05,22800234,0.63,电器仪表,江苏,13.6,18.2,7249,5281,1.37,28
300355,蒙草抗旱,6.77,4.71,15.28,5.21,3.08,-20.14,20.85,161497280,0.88,环境保护,内蒙,11.71,10.9,71778,76380,0.94,420
300356,光一科技,47.49,-75.71,5.37,12.5,2.55,-50.19,238.39,127674576,0.95,电气设备,江苏,16.85,21.24,29846,30251,0.99,376
300357,我武生物,11.87,30.49,49.17,46.1,10.51,93.12,52.89,22886186,0.38,生物制药,浙江,10.21,33.45,3434,3407,1.01,26
300358,楚天科技,-13.76,-29.46,11.75,12.14,5.3,-327.89,52.34,55148364,0.91,专用机械,湖南,13.31,20.27,13955,13254,1.05,96
300359,全通教育,51.75,10.94,29.9,81.42,28.66,-8316.78,169.64,335829760,0.97,文教休闲,广东,18.52,55.31,29476,31245,0.94,560
300360,炬华科技,24.92,11.23,22.83,20.34,11.48,-131.56,50.49,0,0,电器仪表,浙江,0,44.08,0,0,--  ,0
300362,天保重装,3.21,16.61,7.56,17.24,5.43,-87.53,115.23,25309868,0.76,电气设备,四川,13.37,32.83,3420,4289,0.8,2
300363,博腾股份,45.92,30.67,12.3,14.79,9.18,55.88,71.61,141164976,0.45,化学制药,重庆,15.8,29.99,27051,20015,1.35,22
300364,中文在线,22.99,-10.03,1.09,74.05,20.6,-1014.37,689.4,335498560,1.04,出版业,北京,19.11,81.74,23245,17800,1.31,2
300365,恒华科技,45.95,33.4,19.09,29.29,5.48,-65.51,79.11,33466950,0.62,软件服务,北京,14.77,17.91,8796,9892,0.89,34
300366,创意信息,12.87,7.9,17.3,19.19,7.29,-40.54,63.15,92202352,0.92,软件服务,四川,13.72,23.43,22377,16969,1.32,2
300367,东方网力,65.98,17.25,6.95,30.66,11.53,-110.61,125.35,210555472,1.05,电脑设备,北京,17.32,35.35,28498,31068,0.92,28
300368,汇金股份,94.6,-196.79,-1.99,25.94,7.46,-48.16,--  ,96454512,0.79,专用机械,河北,15.77,16.17,31734,27920,1.14,1022
300369,绿盟科技,10.05,-48.56,-19.12,40.46,6.2,-166.74,--  ,318204544,1.7,软件服务,北京,18.55,24.88,75679,52209,1.45,124
300370,安控科技,30.98,34.14,-9.5,19.02,6.07,-53.99,--  ,48324312,0.79,电器仪表,北京,11.55,10.72,22010,23067,0.95,196
300371,汇中股份,13.78,9.1,22.73,26.84,4.64,-202.95,54.19,20862122,0.61,电器仪表,河北,12.08,18.27,6323,5097,1.24,10
300372,欣泰电气,-5.42,-29.53,6.05,8.15,2.62,-17.25,53.05,41100176,0.89,电气设备,辽宁,11.3,10.41,20006,19471,1.03,1884
300373,扬杰科技,6.83,12.35,21.76,14.35,6.36,126.12,37.42,75255616,0.68,半导体,江苏,12.57,30.12,11728,13256,0.88,20
300374,恒通科技,0,0,12.48,13.01,3.52,-19.51,64.1,29890742,0.85,其他建材,北京,12.86,13.72,10680,11109,0.96,34
300375,鹏翎股份,-6.94,-11.05,13.64,4.78,2.51,36.04,19.96,52128792,0.56,汽车配件,天津,13.12,13.62,20724,17547,1.18,100
300376,易事特,74.14,38.64,7.88,4.74,5.8,-29.54,31.74,118783736,0.97,电气设备,广东,13.8,27.74,20957,21864,0.96,2
300377,赢时胜,26.51,26.38,7.48,53.93,12.61,-166.01,389.71,453875072,1.49,软件服务,深圳,18.84,46.19,70042,28223,2.48,303
300378,鼎捷软件,-5.46,-38.58,4.42,12.31,5.28,-607.78,134.56,230511008,1.2,软件服务,上海,18.3,31.64,32246,40613,0.79,472
300379,东方通,25.01,320.56,-6.54,58.2,6.23,907.56,352.08,140966352,1.19,软件服务,北京,19.72,44.07,20152,11833,1.7,5
300380,安硕信息,62.29,-41.48,3.75,45.58,13.07,-98.17,380.37,351932224,1.4,软件服务,上海,18.66,40.03,60406,27503,2.2,9
300381,溢多利,73.77,35.85,11.46,10.58,3.79,2707.8,53.95,60874636,0.8,饲料,广东,13.54,25.3,13398,10664,1.26,1
300382,斯莱克,-17.06,-4.96,39.38,25.16,5.7,-62.41,34.51,24049350,0.59,专用机械,江苏,12.61,29.72,4538,3552,1.28,259
300383,光环新网,30.73,20.25,20.68,101.03,37.23,-483.98,284.02,0,0,电信运营,北京,0,97.06,0,0,--  ,0
300384,三联虹普,5.01,51.25,36.87,27.04,7.63,-60.27,42.68,236753504,1.01,纺织机械,北京,18.46,37.61,33372,29577,1.13,5
300385,雪浪环境,14.78,15.88,17.27,17.28,6.27,204.15,68.97,91721784,1.49,专用机械,江苏,12.26,36.05,11146,14297,0.78,0
300386,飞天诚信,-21.43,-52.46,11.11,16.85,4.66,-82.15,53.53,202200752,1.34,软件服务,北京,18,31.72,35100,28643,1.23,26
300387,富邦股份,14.64,7.95,19.33,12.1,3.59,124.22,35.51,46015556,0.53,化工原料,湖北,12.91,36.45,6222,6403,0.97,0
300388,国祯环保,14.25,-16.86,6.76,11.37,7.37,-37.53,122.66,165557168,1.66,环境保护,安徽,20.03,22.26,25122,49237,0.51,0
300389,艾比森,-3.36,-43.09,11.97,6.82,4.14,-50.22,35.16,44358956,0.8,半导体,深圳,12.08,19.97,10827,11383,0.95,26
300390,天华超净,20.75,23.01,12.98,9.04,6.05,131.01,43.71,42078136,0.65,电脑设备,江苏,13.3,18.14,13175,10016,1.32,219
300391,康跃科技,-9.87,-46.54,1.44,20.7,6.24,-243.71,135.82,19824446,0.54,机械基件,山东,13.4,14.23,7294,6633,1.1,18
300392,腾信股份,68.22,48.19,10.72,12.82,9.65,-824.48,68.82,119713152,0.75,互联网,北京,15.45,62.95,10455,8561,1.22,2
300393,中来股份,12.57,-32.12,21.68,17.44,5.55,-123.71,47.61,37060612,1.08,塑料,江苏,11.02,36.51,5435,4716,1.15,3
