date,open,max,min,close,turn,volume,dailyreturn
2004-08-09,1.3077,1.4428,1.2969,1.2985,14176646,232606251.1,
2004-08-10,1.2251,1.2735,1.2093,1.2577,5767246,85916883.1,-3.14%
2004-08-11,1.2501,1.2927,1.2143,1.2693,4257552,64325079.5,0.92%
2004-08-12,1.2593,1.2593,1.2135,1.2318,2539036,37602448,-2.95%
2004-08-13,1.216,1.2426,1.1209,1.1209,4119213,57265212,-9.00%
2004-08-16,1.0909,1.1034,1.0216,1.0266,3332872,42554524.1,-8.41%
2004-08-17,1.0291,1.05,1.0025,1.0091,1978727,24266998.7,-1.70%
2004-08-18,1.0133,1.03,0.9691,0.9899,1869000,22279226.2,-1.90%
2004-08-19,0.9991,1.0558,0.9991,1.0325,3116409,38430315.7,4.30%
2004-08-20,1.0408,1.0408,0.9908,1.0258,1712258,20896122.3,-0.65%
2004-08-23,0.9983,0.9983,0.9232,0.9241,2729391,30925557,-9.91%
2004-08-24,0.9332,0.9758,0.9216,0.9424,1507176,17122515.2,1.98%
2004-08-25,0.9407,1,0.9274,0.9599,2092783,24388573.8,1.86%
2004-08-26,0.9591,0.9958,0.9532,0.9549,1564282,18286797,-0.52%
2004-08-27,0.9449,0.9708,0.9399,0.9557,1012693,11562084.3,0.08%
2004-08-30,0.9432,1.0517,0.9432,1.0517,1529148,18678946.2,10.04%
2004-08-31,1.1259,1.1517,1.0833,1.0892,6460045,86492019.8,3.57%
2004-09-01,1.0725,1.1159,1.0675,1.0975,3067790,40219948.9,0.76%
2004-09-02,1.0925,1.1134,1.0592,1.1092,2095242,27252139.4,1.07%
2004-09-03,1.0992,1.1059,1.055,1.0583,1933810,24992847,-4.59%
2004-09-06,1.0542,1.1084,1.0542,1.0892,1754459,22897321.4,2.92%
2004-09-07,1.0859,1.1075,1.0675,1.1,1240542,16192680.6,0.99%
2004-09-08,1.1034,1.115,1.0808,1.1009,1120035,14764571.7,0.08%
2004-09-09,1.0975,1.0984,1.0683,1.0725,1166554,15098051.6,-2.58%
2004-09-10,1.0725,1.0833,1.0533,1.0717,1027995,13210998.9,-0.07%
2004-09-13,1.0633,1.0758,0.9716,0.9799,2060572,25066121.4,-8.57%
2004-09-14,0.9849,1.0558,0.9849,1.0375,2589418,32033803.2,5.88%
2004-09-15,1.0375,1.1409,1.0216,1.1409,4948342,65991276.7,9.97%
