date,open,max,min,close,turn,volume,dailyreturn
2007-03-02,5.32,5.35,5,5.01,151.4,8730000,
2007-03-05,4.9,4.95,4.72,4.8,58.59,3599500,-4.19%
2007-03-06,4.75,4.83,4.75,4.8,17.67,1095000,0.00%
2007-03-07,4.81,4.99,4.81,4.95,29,1751500,3.13%
2007-03-08,4.95,4.96,4.87,4.93,17.18,1039600,-0.40%
2007-03-09,4.93,4.96,4.87,4.91,15.85,959100,-0.41%
2007-03-12,4.91,5.01,4.88,4.98,23.22,1392500,1.43%
2007-03-13,4.96,4.99,4.92,4.96,15.97,958700,-0.40%
2007-03-14,4.92,4.92,4.83,4.91,18.16,1107000,-1.01%
2007-03-15,4.89,4.95,4.87,4.94,18.52,1117900,0.61%
2007-03-16,4.94,4.95,4.82,4.84,15.96,971800,-2.02%
2007-03-19,4.75,5,4.75,4.95,28.8,1730400,2.27%
2007-03-20,4.95,5,4.91,4.99,18.08,1081100,0.81%
2007-03-21,4.99,5,4.93,4.97,17.3,1036400,-0.40%
2007-03-22,4.99,5.11,4.97,5.01,32.93,1940500,0.80%
2007-03-23,4.97,5.09,4.97,5.06,20.21,1196100,1.00%
2007-03-26,5.08,5.19,5.06,5.15,30.66,1772800,1.78%
2007-03-27,5.15,5.19,5.14,5.17,31.41,1803500,0.39%
2007-03-28,5.16,5.18,4.96,5.1,31.28,1830100,-1.35%
2007-03-29,5.11,5.14,5.03,5.13,22.77,1329200,0.59%
2007-03-30,5.15,5.43,5.14,5.29,40.61,2276500,3.12%
2007-04-02,5.29,5.31,5.21,5.29,22.51,1269800,0.00%
2007-04-03,5.31,5.34,5.26,5.31,13.71,769300,0.38%
2007-04-04,5.31,5.33,5.26,5.27,16.83,947800,-0.75%
2007-04-05,5.25,5.32,5.19,5.31,23.05,1305500,0.76%
2007-04-06,5.25,5.31,5.2,5.27,16.96,955800,-0.75%
2007-04-09,5.35,5.41,5.29,5.34,28.45,1580400,1.33%
2007-04-10,5.37,5.39,5.26,5.35,19.98,1111400,0.19%
2007-04-11,5.35,5.36,5.29,5.34,19.74,1101400,-0.19%
2007-04-12,5.35,5.46,5.35,5.42,26.08,1428500,1.50%
2007-04-13,5.42,5.42,5.42,5.42,0,0,0.00%
2007-04-16,5.45,5.46,5.38,5.44,25.59,1401500,0.37%
