date,open,max,min,close,turn,volume,dailyreturn
1997-11-25,1.7073,1.7933,1.6188,1.6314,126835800,1715134044,
1997-11-26,1.6441,1.6757,1.6036,1.6416,26930600,349335000,0.63%
1997-11-27,1.6441,1.7288,1.6289,1.6631,22259700,295525000,1.31%
1997-11-28,1.6694,1.8212,1.6631,1.8148,47859100,668063000,9.12%
1997-12-01,1.8148,1.8439,1.7655,1.7744,28441100,404628984,-2.23%
1997-12-02,1.768,1.7857,1.7048,1.72,18974900,260818268,-3.07%
1997-12-03,1.7137,1.7465,1.6871,1.7073,9943000,134598880,-0.74%
1997-12-04,1.7137,1.7567,1.701,1.7187,7721400,105537772,0.67%
1997-12-05,1.7326,1.7503,1.7061,1.7061,7766500,106072144,-0.73%
1997-12-08,1.7174,1.7301,1.6884,1.6947,6746100,90569480,-0.67%
1997-12-09,1.6959,1.7288,1.6959,1.7061,4093900,55459138,0.67%
1997-12-10,1.72,1.7516,1.7073,1.7389,5213200,71194304,1.92%
1997-12-11,1.7453,1.7465,1.7023,1.7276,3613600,48990790,-0.65%
1997-12-12,1.7263,1.7541,1.7149,1.7162,5129500,70385535,-0.66%
1997-12-15,1.7174,1.7389,1.7048,1.7149,4868200,66085237,-0.08%
1997-12-16,1.72,1.7807,1.72,1.7491,7730900,107444918,1.99%
1997-12-17,1.7389,1.7453,1.6947,1.6985,9394300,126815233,-2.89%
1997-12-18,1.6947,1.7174,1.6884,1.701,5177500,69621610,0.15%
1997-12-19,1.6947,1.7099,1.6567,1.6719,8988800,118944830,-1.71%
1997-12-22,1.6567,1.6972,1.6289,1.6959,8682900,112948137,1.44%
1997-12-23,1.6947,1.6959,1.6681,1.6694,3471400,46110916,-1.56%
1997-12-24,1.6694,1.6909,1.6631,1.6694,3786500,50121745,0.00%
1997-12-25,1.6694,1.682,1.6416,1.6542,4824300,63163967,-0.91%
1997-12-26,1.6795,1.7111,1.6529,1.6833,6553200,87772717,1.76%
1997-12-29,1.682,1.6947,1.6492,1.6517,3994000,52776647,-1.88%
1997-12-30,1.6517,1.6719,1.639,1.6466,3885200,50665673,-0.31%
1997-12-31,1.6479,1.6884,1.6479,1.6529,2592000,34083024,0.38%
1998-01-05,1.6757,1.7314,1.6567,1.72,7328700,98247007,4.06%
1998-01-06,1.72,1.7883,1.6947,1.7541,11318200,157054466,1.98%
1998-01-07,1.768,1.7731,1.7301,1.7301,6509400,89982869,-1.37%
1998-01-08,1.7326,1.7554,1.72,1.7212,4547200,62431866,-0.51%
1998-01-09,1.72,1.8085,1.7073,1.7718,14942700,209025565,2.94%
1998-01-12,1.7718,1.7895,1.72,1.7212,8078900,112598865,-2.86%
1998-01-13,1.7061,1.7162,1.5492,1.6567,13592400,177011303,-3.75%
1998-01-14,1.6567,1.7073,1.6567,1.682,6074400,80903131,1.53%
1998-01-15,1.8338,1.8401,1.7339,1.7832,27491300,387556894,6.02%
1998-01-16,1.7819,1.7832,1.7276,1.7314,8600500,119063711,-2.90%
1998-01-19,1.7516,1.7706,1.682,1.7073,3860600,52366407,-1.39%
1998-01-20,1.7048,1.7276,1.6972,1.72,3442600,46553407,0.74%
1998-01-21,1.7187,1.7503,1.7099,1.7238,2955100,40416195,0.22%
1998-01-22,1.7263,1.7263,1.7048,1.7099,3381400,45792569,-0.81%
1998-01-23,1.7073,1.7212,1.7061,1.7174,3127300,42334723,0.44%
1998-02-09,1.7453,1.7668,1.7035,1.7048,3698500,50501036,-0.73%
1998-02-10,1.7174,1.7174,1.677,1.6896,2312100,30889782,-0.89%
1998-02-11,1.6884,1.7137,1.6757,1.6896,2524900,33726041,0.00%
1998-02-12,1.6934,1.72,1.6732,1.7111,3928100,52725869,1.27%
1998-02-13,1.7073,1.7187,1.6795,1.6846,2731800,36545691,-1.55%
1998-02-16,1.7048,1.7073,1.6441,1.6593,4097200,53904782,-1.50%
1998-02-17,1.6567,1.6757,1.6555,1.6694,2218400,29205361,0.61%
1998-02-18,1.682,1.682,1.6352,1.6492,4317100,56255813,-1.21%
1998-02-19,1.6454,1.658,1.6365,1.6454,3430700,44577373,-0.23%
1998-02-20,1.6542,1.6833,1.6517,1.6567,2016500,26565024,0.69%
1998-02-23,1.6504,1.6757,1.6314,1.6593,2803700,36386718,0.16%
1998-02-24,1.6631,1.682,1.6504,1.6504,1918200,25270049,-0.54%
1998-02-25,1.6504,1.6529,1.6289,1.639,2027000,26287660,-0.69%
1998-02-26,1.6378,1.6492,1.6188,1.6378,1788600,23122980,-0.07%
1998-02-27,1.6466,1.6681,1.639,1.6504,2230600,29140207,0.77%
1998-03-02,1.6378,1.6454,1.6201,1.6226,2689800,34630221,-1.68%
1998-03-03,1.6251,1.6441,1.6175,1.6441,1509900,19400151,1.33%
1998-03-04,1.6314,1.6922,1.6264,1.6732,3338600,44239882,1.77%
1998-03-05,1.6795,1.6909,1.6631,1.6669,1636900,21699134,-0.38%
1998-03-06,1.6694,1.7301,1.6681,1.6871,2635100,35359211,1.21%
1998-03-09,1.7061,1.72,1.677,1.6884,2271900,30522410,0.08%
1998-03-10,1.6833,1.7048,1.682,1.6947,2337800,31286942,0.37%
1998-03-11,1.6959,1.701,1.6542,1.6922,1900400,25198690,-0.15%
1998-03-12,1.6795,1.6795,1.6567,1.6631,1195300,15732584,-1.72%
1998-03-13,1.6643,1.6694,1.6555,1.6631,1299600,17067000,0.00%
1998-03-16,1.6694,1.6997,1.6517,1.6858,1873000,24886440,1.36%
1998-03-17,1.7048,1.7921,1.6947,1.7491,16930500,235496340,3.75%
1998-03-18,1.7579,1.7642,1.7174,1.72,4194800,57480959,-1.66%
1998-03-19,1.72,1.7579,1.7086,1.72,3007900,41299315,0.00%
1998-03-20,1.7225,1.7389,1.7086,1.7263,2022900,27538824,0.37%
1998-03-23,1.72,1.7655,1.7137,1.7314,3996200,55266849,0.30%
1998-03-24,1.7314,1.7453,1.7137,1.7427,1787300,24418816,0.65%
1998-03-25,1.7731,1.7744,1.7099,1.7263,2695600,36950259,-0.94%
1998-03-26,1.7212,1.7326,1.6896,1.6934,2194900,29630632,-1.91%
1998-03-27,1.6922,1.7895,1.6833,1.7706,14795600,205868570,4.56%
1998-03-30,1.7769,1.7769,1.7402,1.7579,4140700,57463517,-0.72%
